[2017-12-28 15:00:32+00:00; jrguzzofatos; @LeonardoBittar Online in Rio.; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/946395448318873600; None; None]
[2017-12-28 15:00:03+00:00; jrguzzofatos; @LeonardoBittar É isso. Enquanto o carioca se imagina “malandro”, os malandros de verdade fazem com que ele tenha uma vida de otario todos os dias.; 0; 2; 6; 0; https://twitter.com/jrguzzofatos/status/946395324838445057; None; None]
[2017-12-28 14:58:21+00:00; jrguzzofatos; @GladysCastanho Já vimos para onde Lei de Gerson nos levou ....; 0; 1; 1; 0; https://twitter.com/jrguzzofatos/status/946394896939839492; None; None]
[2017-12-28 14:57:56+00:00; jrguzzofatos; @GladysCastanho Muito obrigado, Gladys !!!; 1; 1; 2; 0; https://twitter.com/jrguzzofatos/status/946394794313617413; None; None]
[2017-12-28 14:56:36+00:00; jrguzzofatos; @EDUARDORMATOS Excelente, Eduardo ! Ninguém pode nos obrigar a estar de acordo com uma mentalidade destrutiva como essa.; 0; 1; 6; 0; https://twitter.com/jrguzzofatos/status/946394459595567105; None; None]
[2017-12-28 14:55:00+00:00; jrguzzofatos; @rosangela_bolze Aê, Rosângela, é exatamente isso ... Vamos continuar na nossa.; 0; 2; 6; 0; https://twitter.com/jrguzzofatos/status/946394052819390464; None; None]
[2017-12-28 14:49:13+00:00; jrguzzofatos; @robertomota 👍👍👍 !!!; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/946392599492997121; None; None]
[2017-12-27 12:36:55+00:00; jrguzzofatos; @victortamoios @maisvalia Nem um pouco ...; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945996917611384836; None; None]
[2017-12-27 12:33:01+00:00; jrguzzofatos; @virgilioblm @Helenova31 Cada vez mais alto.; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/945995936974680064; None; None]
[2017-12-27 12:32:30+00:00; jrguzzofatos; @rodrigo_mpessoa Já está começando, meu amigo. Quanto menos o sujeito sabe, mais intolerante ele fica com o saber dos outros.; 1; 0; 4; 0; https://twitter.com/jrguzzofatos/status/945995805290266624; None; None]
[2017-12-27 12:29:03+00:00; jrguzzofatos; @_gigiofer Está tudo no lugar errado...; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945994938340270080; None; None]
[2017-12-27 12:27:32+00:00; jrguzzofatos; @pindorama17 @AcordouAcordou Uma lista como a que você sugere não teria fim ... Abs; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945994554632736771; None; None]
[2017-12-27 12:26:53+00:00; jrguzzofatos; @_gigiofer Está tudo no lugar errado.; 1; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945994391591759873; None; None]
[2017-12-26 15:00:32+00:00; jrguzzofatos; @MarceloVianade2 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945670670578483206; None; None]
[2017-12-26 15:00:09+00:00; jrguzzofatos; @MariaHe16753090 Com certeza ! 👍; 1; 1; 1; 0; https://twitter.com/jrguzzofatos/status/945670573572620289; None; None]
[2017-12-26 14:59:39+00:00; jrguzzofatos; @LuciaUSP Muito obrigado, Lúcia ! Fico feliz  pot  continuar contando com o seu apoio ...; 1; 0; 0; 0; https://twitter.com/jrguzzofatos/status/945670447970029570; None; None]
[2017-12-26 14:56:36+00:00; jrguzzofatos; @Mfrison Prezado Marcos: Comentários como o seu são uma tremenda força. Muito grato !; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945669681507176448; None; None]
[2017-12-26 14:54:47+00:00; jrguzzofatos; @arnaudmattoso Obrigado!!!; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/945669226018295808; None; None]
[2017-12-26 12:44:01+00:00; jrguzzofatos; @EzequiasrockR @JooBosc67220947 Lamento, amigo . Espero que você encontre razões para voltar. Um forte abraço!; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/945636316259201024; None; None]
[2017-12-26 12:41:48+00:00; jrguzzofatos; @rosa_portela Não sou especialista para dar aula sobre nada, mas fico feliz que o artigo tenha sido útil para você. Muito obrigado!; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945635760060977152; None; None]
[2017-12-26 12:36:56+00:00; jrguzzofatos; @rosa_portela Muito obrigado! Não sou especialista em nada para dar aula, mas fico feliz em saber que o texto foi útil para você. Abração!; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/945634531830362113; None; None]
[2017-12-26 12:34:16+00:00; jrguzzofatos; @vivianeffac Fico feliz de ter podido proporcionar este momento para você. Muito obrigado pelos comentários!; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945633862629064704; None; None]
[2017-12-25 13:52:42+00:00; jrguzzofatos; @GladysCastanho 👍🎄🎁; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945291214135398400; None; None]
[2017-12-25 13:52:04+00:00; jrguzzofatos; @silvaniasalomao Muito obrigado ! Pois é, a gente vai se cansando das celebridades idiotizantes ...; 0; 1; 6; 0; https://twitter.com/jrguzzofatos/status/945291052877012993; None; None]
[2017-12-25 13:50:31+00:00; jrguzzofatos; @EDUARDORMATOS Pois é, meu caro:  “ arte” ?; 1; 0; 2; 0; https://twitter.com/jrguzzofatos/status/945290663163244549; None; None]
[2017-12-25 13:49:30+00:00; jrguzzofatos; @Adilsoncapel Fico muito feliz em ver meus pontos de vista compartilhados com você. Às vezes a gente tem a impressão de estar falando sozinho, neste e em outros assuntos ...; 2; 1; 16; 1; https://twitter.com/jrguzzofatos/status/945290409470722048; None; None]
[2017-12-25 01:25:51+00:00; jrguzzofatos; @joaomauricio001 Muito obrigado, meu caro !; 0; 0; 5; 0; https://twitter.com/jrguzzofatos/status/945103263485054978; None; None]
[2017-12-25 01:24:38+00:00; jrguzzofatos; @DlcioBlack Muitíssimo obrigado !; 0; 0; 3; 0; https://twitter.com/jrguzzofatos/status/945102954096414720; None; None]
[2017-12-25 01:22:40+00:00; jrguzzofatos; @antoniodib Além da imensa inspiração e talento, uma técnica sem igual ... Arte com “A”.; 0; 0; 7; 0; https://twitter.com/jrguzzofatos/status/945102459143417856; None; None]
[2017-12-25 01:19:48+00:00; jrguzzofatos; @lumaltezsco 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945101741586026496; None; None]
[2017-12-25 01:17:39+00:00; jrguzzofatos; @dorrighell 👍👍👍; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/945101200093048833; None; None]
[2017-12-25 01:17:27+00:00; jrguzzofatos; @DarkRaposao Está certo ... quando a gente tira a lógica da frente já é outro jogo .; 1; 0; 8; 0; https://twitter.com/jrguzzofatos/status/945101147416743936; None; None]
[2017-12-25 01:16:13+00:00; jrguzzofatos; @DeVilhena 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/945100837319270402; None; None]
[2017-12-25 01:16:00+00:00; jrguzzofatos; @sulamitafonseca 👏👏👏 para você!; 0; 0; 8; 0; https://twitter.com/jrguzzofatos/status/945100781207908352; None; None]
[2017-12-25 01:15:19+00:00; jrguzzofatos; @jlsfreire Obrigado, amigo !; 0; 0; 14; 0; https://twitter.com/jrguzzofatos/status/945100609899900928; None; None]
[2017-12-24 12:40:12+00:00; jrguzzofatos; @rosangela_bolze @RedeGlobo Obrigado a você, Rosangela !; 1; 0; 3; 0; https://twitter.com/jrguzzofatos/status/944910578488954881; None; None]
[2017-12-24 12:38:36+00:00; jrguzzofatos; @MuddyJohn @pdevechi Não é certo, claro, para ninguém. Mas é um caso entre o Willy e a sua consciência, e não um acontecimento da vida pública. Ele não falou absolutamente nada para o ar.; 2; 1; 3; 0; https://twitter.com/jrguzzofatos/status/944910177018503168; None; None]
[2017-12-24 12:34:42+00:00; jrguzzofatos; @nobregafelipe84 @jose_neumanne Em nenhum momento posso deixar de dar razão aos pontos centrais da sua argumentação sobre o racismo. Só insisto em lembrar a vida exemplar que W. Leva há 65 anos. Abs; 0; 6; 24; 0; https://twitter.com/jrguzzofatos/status/944909195819847680; None; None]
[2017-12-24 12:30:47+00:00; jrguzzofatos; @cezarAFgomes Certo, Cézar, você tem muita munição para sustentar os seus argumentos. O caso de fato se tornou polêmico com a exposição do que o Willy disse. Garanto, de qualquer jeito, que ele não é um racista.; 1; 3; 4; 0; https://twitter.com/jrguzzofatos/status/944908209357230080; None; None]
[2017-12-23 19:24:27+00:00; jrguzzofatos; @KromwellJoachin @jose_neumanne 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/944649924943204353; None; None]
[2017-12-23 19:23:31+00:00; jrguzzofatos; @somara_19 @jose_neumanne Com certeza ...; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/944649691106603010; None; None]
[2017-12-23 19:21:34+00:00; jrguzzofatos; @nobregafelipe84 @jose_neumanne Gostaria de lembrar que o comentário foi feito fora do ar, um ano atrás, numa conversa pessoal e em tom de brincadeira.; 5; 7; 32; 1; https://twitter.com/jrguzzofatos/status/944649197848006656; None; None]
[2017-12-23 19:17:17+00:00; jrguzzofatos; @MariaAm84606518 Obrigado pelas palmas !; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/944648122906611712; None; None]
[2017-12-23 19:16:13+00:00; jrguzzofatos; @janecristinaaqu 👏👏👏 ... para você!; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/944647851363258368; None; None]
[2017-12-23 19:15:35+00:00; jrguzzofatos; @hilbird5 @adrianohidalgo Muito obrigado ! Espero continuar merecendo a sua atenção...; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/944647694341033984; None; None]
[2017-12-23 19:14:22+00:00; jrguzzofatos; @ammcsalles Obrigado !; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/944647388265934850; None; None]
[2017-12-23 19:12:01+00:00; jrguzzofatos; @RBMonte Fico honrado ! 👍👍👍; 0; 0; 3; 0; https://twitter.com/jrguzzofatos/status/944646797141651456; None; None]
[2017-12-23 12:18:48+00:00; jrguzzofatos; @upincelli De fato. Há pessoas que têm imensa dificuldade de conviver com qualquer ser humano que não seja medíocre.; 1; 4; 10; 0; https://twitter.com/jrguzzofatos/status/944542806009417729; None; None]
[2017-12-23 12:13:55+00:00; jrguzzofatos; @pccuppoloni Muito obrigado ! Forte abraço!; 0; 1; 3; 0; https://twitter.com/jrguzzofatos/status/944541575706705921; None; None]
[2017-12-23 12:13:12+00:00; jrguzzofatos; @rosanalyra44 Põe imenso nisso...; 0; 1; 3; 0; https://twitter.com/jrguzzofatos/status/944541395607543808; None; None]
[2017-12-23 12:10:25+00:00; jrguzzofatos; @Tiamat_o_PT Excelente pergunta. Ficamos com menos.; 1; 3; 4; 0; https://twitter.com/jrguzzofatos/status/944540697067171840; None; None]
[2017-12-23 12:08:52+00:00; jrguzzofatos; @RBMonte É verdade. O ambiente de trabalho não é o mesmo. É preciso conviver, da melhor maneira que for possível, com essa realidade.; 2; 4; 10; 0; https://twitter.com/jrguzzofatos/status/944540308150382593; None; None]
[2017-12-23 12:05:25+00:00; jrguzzofatos; @TaniaVarella Mas não favorece mesmo ... É uma opção deliberada pelo “downgrade”.; 0; 2; 6; 1; https://twitter.com/jrguzzofatos/status/944539437119229952; None; None]
[2017-12-23 12:02:09+00:00; jrguzzofatos; @JorgianaSilv @RedeGlobo Muito bem lembrado. Mas Willy não é de esquerda — é isso é um problema, hoje ...; 1; 5; 14; 0; https://twitter.com/jrguzzofatos/status/944538615866064896; None; None]
[2017-12-23 12:00:49+00:00; jrguzzofatos; @cezarAFgomes Caro Cézar: acho que uma pessoa deve ser julgado por seus atos, e não pelas impressões que causa. Os atos de Willy Waak jamais mostraram um único caso de comportamento racista  em toda a sua vida.; 2; 4; 13; 1; https://twitter.com/jrguzzofatos/status/944538279789154304; None; None]
[2017-12-23 11:57:03+00:00; jrguzzofatos; @lucasrsj1977 Muito obrigado, meu amigo. Torço para continuar com a sua torcida !; 0; 1; 6; 0; https://twitter.com/jrguzzofatos/status/944537333172527104; None; None]
[2017-12-23 11:56:02+00:00; jrguzzofatos; @mila_milaella57 Muito superior, sem dúvida .; 0; 2; 9; 0; https://twitter.com/jrguzzofatos/status/944537078808875010; None; None]
[2017-12-22 21:50:54+00:00; jrguzzofatos; @fcardenas33 👍👍👍 !!! Obrigado ...; 0; 2; 4; 0; https://twitter.com/jrguzzofatos/status/944324393756430337; None; None]
[2017-12-22 21:50:05+00:00; jrguzzofatos; @GusmaoTato Com 100% de certeza.; 0; 1; 7; 0; https://twitter.com/jrguzzofatos/status/944324188797587464; None; None]
[2017-12-22 21:48:41+00:00; jrguzzofatos; @MariaHe16753090 😊😊😊; 0; 2; 3; 0; https://twitter.com/jrguzzofatos/status/944323835754635265; None; None]
[2017-12-22 19:59:21+00:00; jrguzzofatos; @MarceloVianade2 👍👍👍 Obrigado!; 0; 0; 3; 0; https://twitter.com/jrguzzofatos/status/944296317928574976; None; None]
[2017-12-22 19:58:48+00:00; jrguzzofatos; @EoLili2010 Para você: 👏👏👏 ...; 0; 3; 6; 0; https://twitter.com/jrguzzofatos/status/944296180892209152; None; None]
[2017-12-22 19:57:52+00:00; jrguzzofatos; @MariaHe16753090 Grato pelo comentário generoso.; 1; 2; 7; 0; https://twitter.com/jrguzzofatos/status/944295946283831296; None; None]
[2017-12-22 19:56:55+00:00; jrguzzofatos; @BGARRUDA Obrigado, meu caro !; 0; 1; 5; 0; https://twitter.com/jrguzzofatos/status/944295706067701761; None; None]
[2017-12-22 19:56:22+00:00; jrguzzofatos; @GladysCastanho Ótimo negócio, deste ponto de vista... 😀😀😀; 0; 3; 11; 0; https://twitter.com/jrguzzofatos/status/944295571128537093; None; None]
[2017-12-22 19:54:22+00:00; jrguzzofatos; @Lourdesregina Cara Lourdes: ha outros muito bons, mas você tem toda razão ao recomendar prudência ...; 0; 4; 15; 0; https://twitter.com/jrguzzofatos/status/944295066495016960; None; None]
[2017-12-22 16:23:01+00:00; jrguzzofatos; Talento profissional é o pior perigo que ameaça um jornalista brasileiro hoje em dia. Willy Waak foi desligado da Globo por  provar todos os dias o abismo de qualidade existente entre ele e seus chefes e colegas. Viviam com o medo permanente da comparação. Estão, enfim, aliviados; 105; 611; 1624; 46; https://twitter.com/jrguzzofatos/status/944241878052102144; None; None]
[2017-12-22 01:44:22+00:00; jrguzzofatos; @ricardosetti Grande Setti ! Prazer imenso em ouvi-lo, muita saudade e votos de um esplêndido período de festas em Menorca. Por sinal: palmas 👏 entusiasmadas para Menorca, onde celular não pega !!!; 0; 0; 7; 0; https://twitter.com/jrguzzofatos/status/944020759701327872; None; None]
[2017-12-20 22:25:56+00:00; jrguzzofatos; @GladysCastanho Grande ideia, Gladys ! Não sei como não pensaram nisso antes .; 1; 1; 6; 0; https://twitter.com/jrguzzofatos/status/943608432459943936; None; None]
[2017-12-19 15:02:27+00:00; jrguzzofatos; @DeVilhena Você tem toda a razão, meu caro. Só foi para lá porque votaram nele; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/943134437964959744; None; None]
[2017-12-15 18:41:47+00:00; jrguzzofatos; @ricardosetti Querido Setti : não vamos esquecer que nestes 100.000 há também os que foram assassinados pelo outro lado.  O costumeiro “tiro na nuca”, tão apreciado por certos “conselheiros internacionais” que apoiavam, em geral de alguma sala de comando, a luta contra o general Franco.; 0; 1; 6; 0; https://twitter.com/jrguzzofatos/status/941740085552340992; None; None]
[2017-12-12 21:50:24+00:00; jrguzzofatos; @augustosnunes Aê, Augusto, valeu ..,; 0; 0; 9; 0; https://twitter.com/jrguzzofatos/status/940700388906463234; None; None]
[2017-12-09 21:35:50+00:00; jrguzzofatos; @jose_neumanne 👍👍👍 !!!; 0; 0; 3; 0; https://twitter.com/jrguzzofatos/status/939609558212898816; None; None]
[2017-12-08 17:27:23+00:00; jrguzzofatos; @jose_neumanne Aê Nêumanne, você é quem brilha.; 0; 0; 5; 0; https://twitter.com/jrguzzofatos/status/939184645010280450; None; None]
[2017-12-08 12:45:32+00:00; jrguzzofatos; @pierrices Sim, sou eu. Muito obrigado pela generosa acolhida.; 1; 1; 1; 0; https://twitter.com/jrguzzofatos/status/939113716913762304; None; None]
[2017-12-07 01:14:06+00:00; jrguzzofatos; @silvionavarro Aê, Silvio, valeu ! Você é um príncipe. Acredite. Muito obrigado ...; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/938577325301686272; None; None]
[2017-12-07 01:12:38+00:00; jrguzzofatos; @silvionavarro Aê Silvio, valeu ! Você é um príncipe, meu caro. Acredite.; 1; 0; 2; 0; https://twitter.com/jrguzzofatos/status/938576953485025281; None; None]
[2017-11-17 20:09:20+00:00; jrguzzofatos; Nelson Rodrigues não cabe no Brasil de 2017 https://t.co/UGkODAIFV5; 15; 54; 119; 16; https://twitter.com/jrguzzofatos/status/931615257155522561; None; None] 
