[2020-10-28 03:54:25+00:00; jrguzzofatos; @juniorde_sa Vou seguir 🤙🤙🤙; 3; 0; 4; 0; https://twitter.com/jrguzzofatos/status/1321299254321827842; None; None] 
[2020-10-27 20:22:20+00:00; jrguzzofatos; Oi Ana ... 🥰🤙🥰; 15; 16; 296; 0; https://twitter.com/jrguzzofatos/status/1321185483049885698; None; None] 
[2020-10-27 19:06:33+00:00; jrguzzofatos; @Iris_Descente 😊😊😊 Exatamente ... Tudo na frente dos bois 🐂; 1; 0; 40; 0; https://twitter.com/jrguzzofatos/status/1321166412329660416; None; None] 
[2020-10-27 19:05:00+00:00; jrguzzofatos; @SoniaRe51027358 Querida Sonia Realmente, não está fácil... Coragem... 🥰; 0; 0; 112; 0; https://twitter.com/jrguzzofatos/status/1321166022532096000; None; None] 
[2020-10-27 17:03:39+00:00; jrguzzofatos; @marcelvanhattem São as nossas instituições em funcionamento. Elas têm proprietários — todos 100% contra o Brasil; 7; 47; 439; 6; https://twitter.com/jrguzzofatos/status/1321135483766951937; None; None] 
[2020-10-27 17:01:02+00:00; jrguzzofatos; @Clauwild1 Querida Claudia  Muito bem lembrado ! 🥰; 0; 10; 201; 0; https://twitter.com/jrguzzofatos/status/1321134824258707456; None; None] 
[2020-10-27 16:54:58+00:00; jrguzzofatos; @ninaloiola Querida Nina Todos os dias tem alguém tentando criar uma ditadura por aqui. Em muitas coisas já conseguiram ... 🥰; 10; 3; 138; 1; https://twitter.com/jrguzzofatos/status/1321133300589756427; None; None] 
[2020-10-27 16:53:50+00:00; jrguzzofatos; @Marciaaol Concordo 100% com você. 🥰🤙🥰🤙; 0; 0; 10; 0; https://twitter.com/jrguzzofatos/status/1321133011774197762; None; None] 
[2020-10-27 16:53:05+00:00; jrguzzofatos; @miro_lacerda Perfeito !!! 👏👏👏👏👏👏👏👏; 0; 0; 11; 0; https://twitter.com/jrguzzofatos/status/1321132826503372807; None; None] 
[2020-10-27 16:51:55+00:00; jrguzzofatos; @Luciana_ads_ 👏👏👏👏👏👏👏; 0; 0; 65; 0; https://twitter.com/jrguzzofatos/status/1321132531652153345; None; None] 
[2020-10-27 16:48:44+00:00; jrguzzofatos; @SandroCamposBRA 🤙🤙🤙; 0; 1; 4; 0; https://twitter.com/jrguzzofatos/status/1321131728161935361; None; None] 
[2020-10-27 16:40:40+00:00; jrguzzofatos; O Brasil é possivelmente o único país do mundo onde a suprema corte de justiça está sendo acionada para obrigar 220 milhões de pessoas a tomarem uma vacina que ainda não existe — quer dizer, cuja validade não está confirmada. A propósito: qual vacina? Não dizem. Só exigem.; 657; 3271; 16229; 475; https://twitter.com/jrguzzofatos/status/1321129700937338883; None; None] 
[2020-10-27 13:47:10+00:00; jrguzzofatos; @jlbaba @revistaoeste Talvez fazendo o que o texto da matéria sugere: fim do voto obrigatório, do horário de propaganda eleitoral, das verbas para os políticos se elegerem. dos suplentes, do foro privilegiado e da máquina da “Justiça Eleitoral que custa R$ 20 mi por dia.; 1; 0; 1; 0; https://twitter.com/jrguzzofatos/status/1321086037637111809; None; None] 
[2020-10-26 18:11:33+00:00; jrguzzofatos; @LucianaACBarros Exatamente, linda  🥰🥰🥰; 0; 0; 23; 0; https://twitter.com/jrguzzofatos/status/1320790183009263621; None; None] 
[2020-10-26 18:10:07+00:00; jrguzzofatos; @nadia1monteiro Querida Nadia ... NEM EU !!!! ♥️🥰♥️; 1; 2; 44; 0; https://twitter.com/jrguzzofatos/status/1320789822336880640; None; None] 
[2020-10-26 18:02:55+00:00; jrguzzofatos; @Otaviofopf Caro O Negociata xing -ling !!!! Campeã do mês ... Abração !; 0; 1; 7; 0; https://twitter.com/jrguzzofatos/status/1320788011102195713; None; None] 
[2020-10-26 18:01:31+00:00; jrguzzofatos; @msalute Concordo em gênero, número e grau.  (Principalmente jornalistas, os grandes sem-noção do planeta Terra 🌍.) Abração; 0; 0; 9; 0; https://twitter.com/jrguzzofatos/status/1320787658960998401; None; None] 
[2020-10-26 16:36:24+00:00; jrguzzofatos; A pergunta que mais interessa ao público neste debate sobre a vacina contra a covid é a que menos está sendo feita: a vacina chinesa que o governo de SP quer aplicar na população e que o governo federal não quer, é ou não é eficaz contra a infecção? https://t.co/dKWAcsUkIS; 473; 350; 3667; 64; https://twitter.com/jrguzzofatos/status/1320766237480280065; None; None] 
[2020-10-25 20:31:09+00:00; jrguzzofatos; @moema05483699 Imagine, minha amiga... Feliz por ajudar ! Beijão 🥰🤙; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/1320462926080299008; None; None] 
[2020-10-25 18:47:27+00:00; jrguzzofatos; @moema05483699 * fornecem; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/1320436830802759680; None; None] 
[2020-10-25 18:46:22+00:00; jrguzzofatos; @moema05483699 Cara Moema, Os especialistas saberão te responder melhor mas , tanto quanto eu saiba, quase tudo o que o agro brasileiro exporta é soja, milho e proteína. Nada disso está faltando no mercado interno. A vantagem para o consumidor é que as exportações do campo forcem dólar ... bjs; 3; 0; 3; 0; https://twitter.com/jrguzzofatos/status/1320436556663017479; None; None] 
[2020-10-25 18:42:28+00:00; jrguzzofatos; @Easyoil_Br Oi Marly Winnie  Que honra para mim ... sempre é uma honra quando um leitor nos da s sua aprovação. Se eu tiver sorte, vc vai ler esta resposta também .  🤞🍀🤞🍀🤞; 0; 0; 8; 0; https://twitter.com/jrguzzofatos/status/1320435577691529217; None; None] 
[2020-10-25 17:53:18+00:00; jrguzzofatos; @celineimbert  Prezada Celine  Me permita a satisfação de dizer que eu acho o seu programa de domingo melhor da rádio Cultura. Um show, todas as vezes.  👏🏆👏🏆👏🏆👏🏆; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/1320423202145882113; None; None] 
[2020-10-25 16:14:36+00:00; jrguzzofatos; @cariocaedai Não sei não, meu caro. Os grandes vultos da nossa vida pública, de Rodrigo Maia a FHC, continuam tratando o homem como se ele fosse o maior gênio político que o universo já viu desde a junção de matéria e energia. Abs ...; 10; 13; 219; 2; https://twitter.com/jrguzzofatos/status/1320398362475114496; None; None] 
[2020-10-25 16:05:10+00:00; jrguzzofatos; O agronegócio foi a única força, desde que o homem plantou a primeira semente 10.000 anos atrás, que conseguiu resolver a fome no mundo. Lula acha o contrário. É claro: quando vc não tem nada de aproveitável na cabeça, acaba falando qq coisa. É fácil, mas também é 100% inútil.; 216; 1426; 9899; 130; https://twitter.com/jrguzzofatos/status/1320395991556804608; None; None] 
[2020-10-24 16:24:32+00:00; jrguzzofatos; @renatoantunesmg Obrigado !!! 🤙🤙🤙; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/1320038476323131393; None; None] 
[2020-10-24 16:19:25+00:00; jrguzzofatos; @Jrodrigues1954 Obrigado a você, meu caro ! Idem, idem. ...; 0; 2; 20; 0; https://twitter.com/jrguzzofatos/status/1320037187434483714; None; None] 
[2020-10-24 14:56:52+00:00; jrguzzofatos; Lula, talvez por saber que nunca vai ter mais do que dois votos entre os trabalhadores mais produtivos do Brasil — os agricultores— disse que o “agronegócio não resolve o problema da fome”. Já resolveu, há muito tempo, mas Lula tem um problema fatal: ficou sem assunto. Dá nisso.; 205; 1285; 8873; 127; https://twitter.com/jrguzzofatos/status/1320016415798251523; None; None] 
[2020-10-23 21:57:53+00:00; jrguzzofatos; Se nem Bolsonaro escapou da acusação de ter matado 160 mil pessoas, inclusive por parte do STF, por que um simples médico que tem de ganhar o seu sustento iria se meter na contramão das psicoses que comandam o pensamento atual? https://t.co/qU29Wdjj0z; 51; 281; 2135; 28; https://twitter.com/jrguzzofatos/status/1319759976689291266; None; None] 
[2020-10-20 18:47:48+00:00; jrguzzofatos; @userp1p2 Obrigadíssimo !!!! ✌️✌️✌️; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/1318624979731337221; None; None] 
[2020-10-20 18:47:13+00:00; jrguzzofatos; @47Zelia Certo, meu amigo. Já fiz a correção num novo tuíte ... 🤙🤙🤙; 3; 0; 23; 0; https://twitter.com/jrguzzofatos/status/1318624831982764034; None; None] 
[2020-10-20 18:04:29+00:00; jrguzzofatos; @desacocheio73 Querida Robô Você está certíssima, minha amiga. Jornalista é isso aí: quanto mais escreve, mais erra. Tá osso 🍖 . 🥰; 1; 1; 23; 0; https://twitter.com/jrguzzofatos/status/1318614077011333122; None; None] 
[2020-10-20 17:51:06+00:00; jrguzzofatos; 120 dias. Erro de digitação; 12; 16; 265; 1; https://twitter.com/jrguzzofatos/status/1318610708716789763; None; None] 
[2020-10-20 17:50:04+00:00; jrguzzofatos; Em relação à nota abaixo: o coreto teria sido dizer que o senador será substituído pelo filho se ficar mais de 130 afastado. Por enquanto o rapaz é só suplente. Desculpem nossa falha. 🤗🤗🤗; 21; 87; 1097; 2; https://twitter.com/jrguzzofatos/status/1318610451266240513; None; None] 
[2020-10-20 17:47:43+00:00; jrguzzofatos; @masepossivel Sim, é isso. Em vez de “foi substituído” o texto deveria dizer: “a ser substituído”. Obrigado !!!; 1; 0; 6; 0; https://twitter.com/jrguzzofatos/status/1318609860137750528; None; None] 
