[2020-11-13 23:30:15+00:00; vidadestra; Importante...; https://www.instagram.com/p/CHjKe5mp7yt/; 16; 0] 
[2020-11-13 14:16:12+00:00; vidadestra; Artigo importante, ainda mais com eleições próximas; https://www.instagram.com/p/CHiLE7UpThY/; 5; 0] 
[2020-11-13 14:15:36+00:00; vidadestra; Atualização da sexta; https://www.instagram.com/p/CHiLAmgJBh-/; 7; 0] 
[2020-11-13 14:15:03+00:00; vidadestra; Usamos @lunespay na redação. Aprenda mais sobre esse app; https://www.instagram.com/p/CHiK8g3JNDe/; 5; 0] 
[2020-11-13 14:14:08+00:00; vidadestra; '' colinha'' para as eleições; https://www.instagram.com/p/CHiK1xeJPLZ/; 5; 0] 
[2020-11-12 16:47:48+00:00; vidadestra; Atualização da tarde.; https://www.instagram.com/p/CHf3obKJ_z0/; 43; 1] 
[2020-11-12 12:35:43+00:00; vidadestra; Começa uma série de artigos no Vida Destra sobre resenha de livros conservadores.; https://www.instagram.com/p/CHfayI7JgHU/; 13; 0] 
[2020-11-12 12:35:05+00:00; vidadestra; Ótimo artigo, com verdades sobre o Maia; https://www.instagram.com/p/CHfatfpph6O/; 23; 1] 
[2020-11-11 16:27:55+00:00; vidadestra; Geração mimimi; https://www.instagram.com/p/CHdQj6qJVWN/; 23; 3] 
[2020-11-11 16:27:17+00:00; vidadestra; Artigo importante, eleitores; https://www.instagram.com/p/CHdQfOcJheA/; 16; 2] 
[2020-11-11 16:26:44+00:00; vidadestra; Aviso!; https://www.instagram.com/p/CHdQbL_JMmM/; 28; 0] 
[2020-11-11 00:46:30+00:00; vidadestra; Conheça mais sobre a @lunespay, sistema de pagamentos que estamos usando na redação; https://www.instagram.com/p/CHbk00NJjY0/; 3; 0] 
[2020-11-11 00:45:37+00:00; vidadestra; Hora de atualização; https://www.instagram.com/p/CHbkuQNpcTp/; 5; 0] 
[2020-11-10 14:56:48+00:00; vidadestra; Nota de utilidade pública; https://www.instagram.com/p/CHahVrcJzwU/; 7; 0] 
[2020-11-10 14:56:10+00:00; vidadestra; Hora de atualizar a leitura do dia; https://www.instagram.com/p/CHahQ_PJBnn/; 1; 0] 
[2020-11-09 21:28:04+00:00; vidadestra; Utilidade pública; https://www.instagram.com/p/CHYpUlHpODn/; 8; 0] 
[2020-11-09 21:27:36+00:00; vidadestra; É hora da direita acordar; https://www.instagram.com/p/CHYpRIxJyyC/; 12; 1] 
[2020-11-09 15:13:53+00:00; vidadestra; :); https://www.instagram.com/p/CHX-f8_JQo1/; 4; 0] 
[2020-11-09 15:13:27+00:00; vidadestra; Excelente dia no Twitter; https://www.instagram.com/p/CHX-cyPpwLq/; 20; 1] 
[2020-11-09 15:11:07+00:00; vidadestra; Tem artigo novo do Caravana; https://www.instagram.com/p/CHX-Ltsp_Jg/; 3; 0] 
[2020-11-09 15:10:37+00:00; vidadestra; Abrindo a categoria de utilidades e tecnologia no Vida Destra; https://www.instagram.com/p/CHX-H9tpeqo/; 2; 0] 
[2020-11-09 15:09:41+00:00; vidadestra; Artigo mais do que importante; https://www.instagram.com/p/CHX-BNDJG7I/; 12; 0] 
[2020-11-08 18:04:07+00:00; vidadestra; Mais um artigo importante sobre a luta  conservadora nas eleições; https://www.instagram.com/p/CHVtL7OJNia/; 10; 1] 
[2020-11-08 18:03:12+00:00; vidadestra; Seguindo a suíte de artigos sobre a  eleição americana; https://www.instagram.com/p/CHVtFHrJayF/; 15; 1] 
[2020-11-07 23:04:34+00:00; vidadestra; Retratação Parte 3; https://www.instagram.com/p/CHTqxifpTqg/; 11; 0] 
[2020-11-07 23:03:36+00:00; vidadestra; Retratação Vida Destra; https://www.instagram.com/p/CHTqqcupzgN/; 20; 0] 
[2020-11-07 22:13:56+00:00; vidadestra; Retratação Vida Destra; https://www.instagram.com/p/CHTk-qJpv5G/; 9; 0] 
[2020-11-07 15:52:06+00:00; vidadestra; Continuando os trabalhos, segue o Podcast Boletim Vida Destra 32; https://www.instagram.com/p/CHS5SD5Jhzm/; 3; 0] 
[2020-11-07 12:05:56+00:00; vidadestra; Artigo do dia; https://www.instagram.com/p/CHSfZlFpJw6/; 6; 0] 
[2020-11-07 12:05:26+00:00; vidadestra; Denúncia gravíssima; https://www.instagram.com/p/CHSfV8AJmBg/; 13; 0] 
[2020-11-06 21:13:34+00:00; vidadestra; Excelente artigo do Laerte; https://www.instagram.com/p/CHQ5RpoJMcW/; 5; 0] 
[2020-11-06 16:44:24+00:00; vidadestra; Carinho dos nossos leitores; https://www.instagram.com/p/CHQaePnpWaz/; 13; 3] 
[2020-11-06 16:44:02+00:00; vidadestra; Artigo importante para aprendermos a lição. Mais uma leitura obrigatória; https://www.instagram.com/p/CHQabi5JvZ-/; 8; 0] 
[2020-11-06 16:42:01+00:00; vidadestra; Leitura obrigatória do dia; https://www.instagram.com/p/CHQaM15pwn6/; 5; 1] 
[2020-11-06 16:41:08+00:00; vidadestra; Atualização sobre a Argentina; https://www.instagram.com/p/CHQaGX4p0pt/; 6; 0] 
[2020-11-05 12:29:09+00:00; vidadestra; Excelente redação da filha do Veiga; https://www.instagram.com/p/CHNYd50J-tP/; 4; 0] 
[2020-11-04 16:52:13+00:00; vidadestra; É hora de baixar o Boletim Vida Destra 32 e distribuir.; https://www.instagram.com/p/CHLRxtPpSaH/; 4; 0] 
[2020-11-04 13:35:31+00:00; vidadestra; Artigo super importante; https://www.instagram.com/p/CHK7RC-p-k9/; 7; 0] 
[2020-11-03 17:24:22+00:00; vidadestra; Artigo da tarde; https://www.instagram.com/p/CHIwqZ2JosC/; 7; 1] 
[2020-11-03 15:04:37+00:00; vidadestra; Artigo do dia; https://www.instagram.com/p/CHIgqwapJaa/; 6; 0] 
