[2020-07-03 14:19:58+00:00; JesseSouzaecht; A lava jato não apenas vendeu o Brasil a seus inimigos e empobreceu a população. Ela destruiu também os frágeis consensos democráticos construídos com enorme esforço nas últimas décadas. Mas não agiu sozinha. Onde estão todos e todas que a tornaram possível?; 195; 2647; 9947; 153; https://twitter.com/JesseSouzaecht/status/1279057299907194883; None; None]
[2020-07-03 13:02:50+00:00; JesseSouzaecht; Daqui a pouco! https://t.co/VdRbDOlVO3; 4; 25; 163; 0; https://twitter.com/JesseSouzaecht/status/1279037888232132608; None; None]
[2020-06-21 10:08:52+00:00; JesseSouzaecht; Não nos esqueçamos do principal: Wassef é advogado de bandido pequeno, miliciano, rachadinha e assassinato; Paulo Guedes é o advogado de bandido grande, que privatiza a riqueza que deveria ser de todos. A função do roubo menor é tornar o maior invisível!; 220; 4562; 22284; 236; https://twitter.com/JesseSouzaecht/status/1274645454819647489; None; None]
[2020-06-18 21:59:27+00:00; JesseSouzaecht; Hoje, por várias razões, é o começo do fim do governo Bolsonaro. Vai cair como dominó o clã miliciano inteiro. Bolsonaro já é tóxico e moralmente indefensável. Tudo mudou! So é necessário preservar a vida de Queiroz. O jogo com o clã é pesado!; 219; 1932; 12682; 137; https://twitter.com/JesseSouzaecht/status/1273737114774048768; None; None]
[2020-06-08 21:23:10+00:00; JesseSouzaecht; Não percebemos a importância dos aprendizados sociais, como o do respeito à verdade, até que sejam agredidos. A institucionalização da mentira, com a subnotificação de Bolsonaro, mostra o envenenamento de tudo que é mais precioso pelo seu projeto destruidor.; 36; 804; 3936; 27; https://twitter.com/JesseSouzaecht/status/1270104102236762116; None; None]
[2020-05-31 16:54:08+00:00; JesseSouzaecht; A negação, o pouco caso e a sabotagem de Bolsonaro, sabemos agora pela comparação com a Europa, causará 70% de mortes evitáveis. Um genocídio nas costas de Bolsonaro. #Somos70porcento; 63; 744; 3877; 42; https://twitter.com/JesseSouzaecht/status/1267137298832990208; None; None]
[2020-05-30 09:30:19+00:00; JesseSouzaecht; Pela primeira vez em muito tempo vejo uma luz no fim do túnel. Pela primeira vez se constrói uma resistência institucionalizada contra o presidente miliciano. Otimismo cauteloso substitui a desesperança.; 393; 2012; 20200; 196; https://twitter.com/JesseSouzaecht/status/1266663218941964289; None; None]
[2020-05-27 11:50:31+00:00; JesseSouzaecht; A entrevista de Bonner a Bial mostra como as classes do privilégio, que exerceram seu racismo de classe e raça para impedir um mínimo de igualdade, não percebem nenhuma relação de causa e efeito quando aparece um Bolsonaro. Aprendizado zero!; 153; 1899; 11438; 113; https://twitter.com/JesseSouzaecht/status/1265611339558457345; None; None]
[2020-05-26 18:47:40+00:00; JesseSouzaecht; O presidente miliciano só foge para frente,buscando o confronto. Começou hoje o estágio final do golpe com a milicianização da PF. O perigo é o exército prostituído e transformado em guarda pessoal do PR. Só a cassação da chapa nos salva. Crime não falta!; 97; 1483; 7296; 62; https://twitter.com/JesseSouzaecht/status/1265353929379983360; None; None]
[2020-05-22 21:53:50+00:00; JesseSouzaecht; O raciocínio fascista de gente como gen. Heleno e Gandra é confundir o ocupante do executivo com o poder executivo. Um presidente criminoso é um cidadão comum e abaixo da lei. E quem julga os crimes do cidadão presidente e o STF. Simples assim.; 23; 397; 1722; 13; https://twitter.com/JesseSouzaecht/status/1263951226275868672; None; None]
[2020-05-20 15:08:09+00:00; JesseSouzaecht; A família de João Pedro, evangélica, insistiu na recusa dele ser “bandido” para mostrar sua indignação. É, no entanto, a manipulação da falsa oposição pobre honesto vs pobre delinquente que permite o fascismo político/religioso que vivemos.; 52; 571; 3621; 24; https://twitter.com/JesseSouzaecht/status/1263124358492553221; None; None]
[2020-05-19 22:28:40+00:00; JesseSouzaecht; O desembargador Abel Gomes disse que a operação que atingiria Flávio Bolsonaro não foi adiada. PF, MP e judiciário decidiram apenas esperar passar a eleição para “evitar uso político”! A cara de pau desse pessoal é estarrecedora!; 89; 1358; 6609; 56; https://twitter.com/JesseSouzaecht/status/1262872832612216834; None; None]
[2020-05-19 21:17:57+00:00; JesseSouzaecht; A PF, o MP, e todo o aparato policial/jurídico do Estado age como um partido. Sem controle externo efetivo passaremos a vida na mão dessa “nobreza de Estado”, que atua como máfia de interesse privado.; 41; 617; 2402; 22; https://twitter.com/JesseSouzaecht/status/1262855033525284866; None; None]
[2020-05-16 20:32:50+00:00; JesseSouzaecht; Além da elite cínica que só pensa no saque dos 200 milhões de trouxas, o Bolsonarismo tem três pilares 1) a máfia miliciana/militar; 2) a bolha evangélica do “pobre honesto” 3) os 10% de infelizes e ressentidos de todas as classes. O esgoto da sociedade!; 159; 2224; 9424; 113; https://twitter.com/JesseSouzaecht/status/1261756518468370434; None; None]
[2020-05-14 14:46:23+00:00; JesseSouzaecht; Para compreender como o racismo dos ricos contra os pobres e entre os pobres é a verdadeira energia do bolsonarismo https://t.co/UbnApE2wlh #brasil #bolsonaro #racismo #elpaisbrasil; 6; 112; 349; 6; https://twitter.com/JesseSouzaecht/status/1260944551872774145; None; None]
[2020-05-14 12:29:58+00:00; JesseSouzaecht; https://t.co/mis3oBAex9; 14; 155; 657; 5; https://twitter.com/JesseSouzaecht/status/1260910221888827393; None; None]
[2020-05-11 15:47:43+00:00; JesseSouzaecht; Meu artigo sobre Bolsonaro no jornal alemão Die Blaeter. https://t.co/FHd4eQ7Xi5; 12; 49; 277; 3; https://twitter.com/JesseSouzaecht/status/1259872824812015616; None; None]
[2020-05-10 11:05:08+00:00; JesseSouzaecht; “200 milhões de trouxas são explorados por seis bancos” Paulo Guedes. A verdade reprimida sempre emcontra um caminho para se expressar.; 115; 1548; 8772; 65; https://twitter.com/JesseSouzaecht/status/1259439321620283392; None; None]
[2020-05-08 17:21:45+00:00; JesseSouzaecht; Mais tarde hoje https://t.co/Gm8WAoTPRM; 20; 145; 969; 4; https://twitter.com/JesseSouzaecht/status/1258809324681428994; None; None]
