[2020-08-19 21:00:17+00:00; renansantosmbl; Eis meu bisavô João com minha mãe, @sueli_lfs, no colo. Ao seu lado, meu primo Astelinho, pai da @liwandick e da Lígia.; https://www.instagram.com/p/CEFc9TqHufo/; 424; 4]
[2020-08-13 15:18:21+00:00; renansantosmbl; Voa, meu prefeito!; https://www.instagram.com/p/CD1ZDsondYO/; 914; 35]
[2020-08-13 01:42:50+00:00; renansantosmbl; Tempos antigos, pré-mbl, em que não era tão odiado, não era acusado de lavar 400 milhões, e podia ficar lagartando na praia  📸 by @sijna , 2014; https://www.instagram.com/p/CDz7ulunKYM/; 1261; 60]
[2020-08-11 14:44:57+00:00; renansantosmbl; Esses dois aí da foto são @arthurmoledoval e @fernandoholiday . Antes de serem parceiros de grandes aventuras e pessoas da mais alta qualidade, são meus amigos, e isso me importa mais do que qualquer coisa. Do Arthur falarei mais tarde - e bastante -, posto que é pré-candidato a prefeito. Falarei, agora, do Fernando.  Holiday é o vereador de facto mais conhecido do Brasil. Retiro da lista o Carluxo, que é qualquer coisa menos vereador. Ele tem 23 anos, tomou posse com 19, e fez algo impensável no Brasil: cumpriu aquilo que prometeu. Vocês sabem o peso disso?  Holiday cortou gastos, economizou, doou parte do seu salário. Para muitos - novistas, principalmente - era bastante. Não pra ele. Foi Holiday a salvar o Uber, em São Paulo, das garras de um João Doria louco pra cooptar os táxis; foi Holiday a barrar aumentos de impostos, gastos abusivos do TCM; foi Holiday a permitir multas a flanelinhas; foi Holiday a permitir a poda privada de árvores; foi Holiday a humanizar os velórios na cidade, concentrados nas mãos da prefeitura; foi Holiday a fazer um revogaço de CENTENAS de leis absurdas que atrapalham a vida na cidade. É muito para um primeiro mandato - sabendo das limitações de quem pratica a tal “nova política”. Mas não para aí.   Holiday, aos 22, foi o único vereador a TOPAR ser relator da previdência na cidade. Todos fugiram. Seu relatório foi aprovado, o rombo na cidade enfraqueceu, mas o preço foi caro: ele foi vítima de uma tentativa de assassinato - um tiro - por parte de sindicalistas que protestavam contra ele. Não morreu. Mas quem liga?  A imprensa quis fazer parecer que era “bolinha de gude”. Alguns negros são menos negros que outros. Fosse uma negra de esquerda, estaríamos discutindo racismo estrutural; com Holiday, o assunto é jogado pra debaixo do tapete.  Holiday ainda é menino. Aguenta uma barra absurda. O peso de uma visão de mundo inteira, que insiste em te-lo como inconveniente. É isso. Holiday é INCONVENIENTE. Um incômodo. Ciro o chamou de “Capitão do Mato”. Algumas vezes. Insiste em rotular, pois o inconveniente - o desajustado - precisa ser destruído.  Holiday é um problema.   Mas é o melhor problema que sua geração produziu.; https://www.instagram.com/p/CDwLpSFH4_g/; 2380; 122]
[2020-08-10 20:04:26+00:00; renansantosmbl; #tbt Viagem pra Manaus, pré-pandemia.; https://www.instagram.com/p/CDuLaVNnNz5/; 1208; 43]
[2020-08-09 19:02:02+00:00; renansantosmbl; ; https://www.instagram.com/p/CDrfdJVHk2P/; 306; 25]
[2020-08-07 21:26:31+00:00; renansantosmbl; E tá errado?; https://www.instagram.com/p/CDmma7bHVMo/; 1880; 66]
[2020-08-07 02:37:31+00:00; renansantosmbl; Amigos, quem puder, entra no zap do @pavinatto e ajude ele na campanha. Será incrível ter um vereador como ele na câmara!; https://www.instagram.com/p/CDklN1nn_Ji/; 380; 6]
[2020-08-06 00:34:16+00:00; renansantosmbl; Ok, por hoje chega!; https://www.instagram.com/p/CDhyUPpHfR-/; 1610; 61]
[2020-08-05 20:19:59+00:00; renansantosmbl; É meu candidato a prefeito. Vai ganhar.; https://www.instagram.com/p/CDhVN67nJ6B/; 2082; 66]
[2020-08-02 22:53:30+00:00; renansantosmbl; Renan, 36 anos, comemorando o impacto das redes sociais no debate público no momento em que Felipe Neto debate com STF e Allan dos Santos foge do Brasil por conta de conluio sino-coreano-kakayano.   Vai dar tudo certo!  Ou não.; https://www.instagram.com/p/CDZ4ZmGHeoN/; 1618; 75]
[2020-07-03 01:57:12+00:00; renansantosmbl; Lutando pra perder pança; https://www.instagram.com/p/CCKYx-sHjeJ/; 480; 223]
[2020-06-28 16:56:51+00:00; renansantosmbl; Arroz alicantino (ou arroz a banda) feito na lenha, com sabor defumado. Obra de arte.; https://www.instagram.com/p/CB_HseyHx9x/; 809; 70]
[2020-06-23 04:54:13+00:00; renansantosmbl; Fds a gente tá só o mendigo do corona; https://www.instagram.com/p/CBw9Fvinq65/; 1333; 69]
[2020-06-18 01:45:16+00:00; renansantosmbl; Hahahah via @mblshitpost; https://www.instagram.com/p/CBjvfZ_ntUA/; 1114; 52]
[2020-06-14 00:52:15+00:00; renansantosmbl; Algumas versões femininas da galera do MBL hahahaha; https://www.instagram.com/p/CBZWPp8HVks/; 2297; 386]
[2020-06-11 01:35:47+00:00; renansantosmbl; Lançando onda...; https://www.instagram.com/p/CBRs1zJnUB9/; 1286; 227]
[2020-06-08 04:11:29+00:00; renansantosmbl; É sério! Aparentemente, GSI está na minha cola....; https://www.instagram.com/p/CBKQLdwH5Qt/; 1624; 681]
[2020-06-07 23:49:49+00:00; renansantosmbl; Tem news de domingo? Tem! Bora assistir, pois a semana vai pegar fogo!; https://www.instagram.com/p/CBJyVJnHwMo/; 542; 49]
[2020-06-05 18:10:04+00:00; renansantosmbl; Elogiei Freixo no Twitter. E agora?; https://www.instagram.com/p/CBEBkapHn-n/; 1101; 146]
[2020-06-01 04:17:41+00:00; renansantosmbl; Hahahahahahaha; https://www.instagram.com/p/CA4Pa3knVK3/; 1097; 61]
[2020-05-31 16:47:55+00:00; renansantosmbl; Das 14 as 18!; https://www.instagram.com/p/CA3Ae1oHwwU/; 496; 39]
[2020-05-22 02:05:18+00:00; renansantosmbl; Eu e @alexandrehfs , em 2004, com nosso primo ainda baby! 20 anos de idade kkk; https://www.instagram.com/p/CAeQUfcnBYv/; 1417; 90]
[2020-05-20 03:20:07+00:00; renansantosmbl; FOLGADA PRA CARALHO!!!; https://www.instagram.com/p/CAZPRYSHBGX/; 839; 65]
[2020-05-19 17:36:25+00:00; renansantosmbl; Hoje o news tem @andreazzaeditor ! Bora!; https://www.instagram.com/p/CAYMfoeHjpk/; 464; 29]
[2020-05-18 19:52:05+00:00; renansantosmbl; Mudou! O news de hoje será com o Fábio Rabin!; https://www.instagram.com/p/CAV3OaAn6gE/; 669; 46]
[2020-05-17 01:26:15+00:00; renansantosmbl; Noite será longa; https://www.instagram.com/p/CART4GlnEcq/; 1868; 173]
[2020-05-16 06:02:21+00:00; renansantosmbl; ; https://www.instagram.com/p/CAO_oQ8HHRn/; 735; 90]
[2020-05-11 14:31:26+00:00; renansantosmbl; Hoje o news será maravilhoso!; https://www.instagram.com/p/CADQ9ulHE2F/; 598; 87]
[2020-05-10 21:49:00+00:00; renansantosmbl; Feliz dia das mães pra todas que me seguem (incluindo minha irmã, agora mamãe da Angelina), e em especial para a minha, que não vejo já fazem uns 3 meses por conta do Coronga. Obrigado por tudo! Saudades!; https://www.instagram.com/p/CABePtJHGzC/; 888; 33]
[2020-05-08 18:07:12+00:00; renansantosmbl; Descascando batata e cenoura enquanto acompanho as notícias. Rotina de quarentena. Depois rolou um almoço daorinha; https://www.instagram.com/p/B_77RZuHhjr/; 1368; 113]
[2020-05-08 04:35:02+00:00; renansantosmbl; Ao unir-se ao centrão, Bolsonaro entrega uma vítima óbvia: o povo do Nordeste que permanecerá refém destes canalhas.; https://www.instagram.com/p/B_6eMTnnIL_/; 696; 69]
