2020-12-09 01:39:10+00:00; marcosmion; Sabe aquele dia que o fogo no feno vai nas alturas? Então... É HOJE! Quem vc acha que vai ser indicado pela Fazendeira Lidi na votação de logo mais? #RoçaAFazenda #AFazenda12 (1/2); 209; 61; 7; 4; https://twitter.com/marcosmion/status/1336485507983929345; None; None
2020-12-08 03:13:12+00:00; marcosmion; Ao vivo no Instagramooola!!; 1366; 141; 15; 12; https://twitter.com/marcosmion/status/1336146785513988098; None; None
2020-12-08 03:08:46+00:00; marcosmion; Aqui na minha cozinha não tá com cara que vai ter roça, viu... 😂 #ProvaDeFogo #AFazenda12 https://t.co/yFKaaoQweC; 901; 76; 7; 11; https://twitter.com/marcosmion/status/1336145668608581632; None; https://twitter.com/blacmari/status/1336144057706405889
2020-12-08 03:06:39+00:00; marcosmion; Hahaha vcs gostam de um fogo no feno molhado na gasolina, né? 🔥 #ProvaDeFogo #AFazenda12 https://t.co/Jx648MkGhP; 630; 63; 11; 7; https://twitter.com/marcosmion/status/1336145135713873920; None; https://twitter.com/LerooDaSilva/status/1336144241433726977
2020-12-08 02:42:19+00:00; marcosmion; Você tá do lado de quem nessa treta? #ProvaDeFogo #AFazenda12; 3341; 1260; 510; 302; https://twitter.com/marcosmion/status/1336139014278098952; None; None
2020-12-08 02:38:21+00:00; marcosmion; “Vai atrasar o nosso jogo...” 😂 #ProvaDeFogo #AFazenda12; 2186; 105; 40; 19; https://twitter.com/marcosmion/status/1336138013697597443; None; None
2020-12-08 02:37:07+00:00; marcosmion; 👊🏼👊🏼👊🏼 https://t.co/7PbRk4ojs9; 274; 31; 4; 2; https://twitter.com/marcosmion/status/1336137703495229442; None; https://twitter.com/eutonton_/status/1336135877446283265
2020-12-08 02:25:22+00:00; marcosmion; EXATAMENTE, CLEBERZOLA! E EM CAIXA ALTA QUE É PRA TODO MUNDO OUVIR! #ProvaDeFogo #AFazenda12 https://t.co/jGNFqaarDg; 356; 30; 6; 1; https://twitter.com/marcosmion/status/1336134746754199552; None; https://twitter.com/cleber136543/status/1336133660576256001
2020-12-08 02:19:49+00:00; marcosmion; Hahaha pergunta sincera! #ProvaDeFogo #AFazenda12 https://t.co/UMkhLdL0JZ; 531; 89; 6; 8; https://twitter.com/marcosmion/status/1336133351988744193; None; https://twitter.com/Wands_Ferreira/status/1336133092445220865
2020-12-08 02:02:12+00:00; marcosmion; AOOO! Essa é das minhas 🤣 A prova tá pra começar... #ProvaDeFogo #AFazenda12 https://t.co/Ep6EcwS1tN; 229; 12; 3; 0; https://twitter.com/marcosmion/status/1336128916172443648; None; https://twitter.com/PattyRi07432371/status/1336127415395999746
2020-12-08 01:59:54+00:00; marcosmion; Acharam? 😂 fiquem de olho que tem mais de onde vieram esses easter eggs! #ProvaDeFogo #AFazenda12 https://t.co/sMSj46Pr22; 376; 31; 7; 1; https://twitter.com/marcosmion/status/1336128337526321159; None; https://twitter.com/gabriel_costals/status/1336127489865867265
