[2020-10-02 02:11:06+00:00; profbunazar; Um dia feliz de comemoração; https://www.instagram.com/p/CF0utXEjdeZ/; 1430; 34]
[2020-09-28 18:50:08+00:00; profbunazar; Essa semana começa mais um curso meu e do @jfsimao. Temos a alegria de informar que as vagas foram quase que completamente preenchidas. Acho que temos menos de dez vagas restantes. Agradeço a generosidade e a confiança de nossos alunos. Se você tiver interesse no tema, corre lá na minha bio e faça sua inscrição. Ótima semana a todos!; https://www.instagram.com/p/CFsN2-xjxSI/; 165; 10]
[2020-09-27 20:50:44+00:00; profbunazar; O Santo Evangelho de hoje. Ótimo domingo a todos. Paz e bem.; https://www.instagram.com/p/CFp23eGDNkX/; 470; 15]
[2020-09-25 22:51:05+00:00; profbunazar; Quais nomes têm em mente?; https://www.instagram.com/p/CFk7DL7DcRM/; 307; 104]
[2020-09-24 18:44:15+00:00; profbunazar; Após um dia longo; uma sustentação oral sobre tema dificílimo, é uma benção poder assistir à missa das 15 na Igreja de São Francisco. “Vaidade das vaidades. Tudo é vaidade...”. Deus, todo poderoso, livre-nos a todos desse vicio terrível que é a vaidade. Paz e bem.; https://www.instagram.com/p/CFh6AefjJpS/; 1272; 68]
[2020-09-24 17:45:36+00:00; profbunazar; Presente da amiga e brilhante jurista @mariliapedrosoxavier . Já nasceu como obra de referência!! Parabéns; https://www.instagram.com/p/CFhzS2xD6zx/; 1104; 23]
[2020-09-22 12:11:02+00:00; profbunazar; Pessoal, eu e o @jfsimao convidamos vocês para esse curso sobre questões relevantes acerca da prestação de alimentos. Como todos os nossos cursos, daremos ênfase aos aspectos práticos envolvidos. O link está na minha bio. Obrigado a todos. #direitoprivado #direitocivil #direitodefamilia #pensaoalimenticia #bunazar #simao #simaoebunazarcursoseeventos #simaoebunazaradvogados; https://www.instagram.com/p/CFcDavnjvoI/; 223; 6]
[2020-09-13 21:54:55+00:00; profbunazar; Uma semana abençoada a todos. Paz e Bem.; https://www.instagram.com/p/CFF7FTHDbn6/; 386; 11]
[2020-09-08 21:10:31+00:00; profbunazar; Pessoal, essa é uma oportunidade muito interessante. Além do mais, é gratuito!!! Aproveitem e se associem a Associação Iberoamericana de Direito Privado.; https://www.instagram.com/p/CE4-ByUDT3q/; 88; 2]
[2020-09-07 00:31:40+00:00; profbunazar; São José e o menino Jesus. Que a Sagrada Família seja sempre nosso exemplo. Paz e Bem; https://www.instagram.com/p/CE0LdTDjuM0/; 515; 24]
[2020-09-06 22:07:48+00:00; profbunazar; Hoje comemoramos 100 anos da Capela dedicada a Santa Catarina de Alexandria. O coração do hospital Santa Catarina. Deus seja louvado. Paz e bem.; https://www.instagram.com/p/CEz6_h-DNzL/; 679; 20]
[2020-09-04 17:15:00+00:00; profbunazar; Depois de uma considerável luta, consegui receber o livro!!!; https://www.instagram.com/p/CEuP5PBl4r6/; 217; 6]
[2020-08-30 00:25:09+00:00; profbunazar; Ontem foi dia de Santo Agostinho. Deixo aqui esse trecho que sempre me trouxe muito conforto. Abraços a todos. Paz e Bem; https://www.instagram.com/p/CEfkWgPDXh2/; 396; 6]
[2020-08-27 20:59:08+00:00; profbunazar; Pessoal, como muitos mostraram interesse no curso e como as vagas do primeiro acabaram quase que instantaneamente, montamos outra turma do curso de Cláusulas Contratuais.  Vocês pediram e nós atendemos! Esta criada a nossa mais nova turma do curso de Cláusulas Contratuais.  Link na bio.  #Direito #DireitoCivil#Bunazar #PeofessorBunazar #Simão #ProfessorSimão  #usp #Ibdfam #Ibdcont #SimãoeBunazar  #TeoriaePrática  #Migalhas #Conjur #CartaForense #revistadostribunais   #contratos #cláusulas #gen  Link na bio.; https://www.instagram.com/p/CEaDL22jTfu/; 182; 3]
[2020-08-26 01:31:41+00:00; profbunazar; Agradeço muito a confiança de vocês. Fico honrado de saber que boa parte das vagas (mais da metade) foi preenchida pelos alunos dos cursos anteriores. Isso nos alegra demais. Obrigado!!!; https://www.instagram.com/p/CEVYyRUjav_/; 270; 7]
[2020-08-24 21:32:08+00:00; profbunazar; Amigos, eu e o @jfsimao convidamos vocês para mais um curso. Nesse novo curso, analisaremos a redação, as funções e os efeitos de importantes cláusulas contratuais, levando em conta diversos contextos, como o da pandemia do Covid-19, entre outros. Um instrumento contratual bem redigido é fundamental para a segurança das relações jurídicas. As informações sobre o curso estão na minha bio: é só clicar!!!; https://www.instagram.com/p/CESYk83DooR/; 592; 27]
[2020-08-23 20:59:42+00:00; profbunazar; Domingo. Dia do Senhor. Dia de pedir perdão pelos infinitos pecados e agradecer pelos generosos dons de Deus. Paz e Bem.; https://www.instagram.com/p/CEPwEdxjftZ/; 917; 32]
[2020-08-17 21:17:46+00:00; profbunazar; Acabou de chegar! Esse livro, embora não seja antigo, não é fácil de ser encontrado!!!; https://www.instagram.com/p/CEAVXnEj8w9/; 432; 3]
[2020-08-15 17:45:18+00:00; profbunazar; Que alegria!!! Meu livro, hoje, é o mais vendido da editora Revista dos Tribunais!!!; https://www.instagram.com/p/CD6zds4jTfj/; 370; 46]
[2020-08-13 19:29:34+00:00; profbunazar; Curso imperdível com dois grandes estudiosos do Direito de Família. #direitodefamilia #Direito #DireitoCivil #Simão #Bunazar #ProfessorSimão #professorbunazar#SimãoIndica #RJLB #usp #Ibdfam #Ibdcont #SimãoeBunazar  #TeoriaePrática #ConcursoPúblico #Migalhas #Conjur #CartaForense #Literatura #Arte; https://www.instagram.com/p/CD11zirDfty/; 81; 0]
[2020-08-13 00:41:23+00:00; profbunazar; Essa aula é imperdível. O professor Cássio Juvenal Faria é o melhor professor que conheço, e olha que conheço mestres excepcionais. A didática dele é obra de genialidade. Tenho a honra de ter sido seu aluno, ser seu colega e, principalmente, ser seu amigo. #damasioeducacional #direitoconstitucional; https://www.instagram.com/p/CDz0se9Dvfu/; 190; 10]
[2020-08-09 21:48:55+00:00; profbunazar; Feliz dia dos pais a todos. Que Deus os abençoe. Paz e bem.; https://www.instagram.com/p/CDrykvVDFmj/; 341; 12]
[2020-08-07 20:27:57+00:00; profbunazar; Curso imperdível com os @jfsimao e @mariliapedrosoxavier vejam no site www.professorsimao.com.br; https://www.instagram.com/p/CDmft-eDKtz/; 70; 0]
[2020-08-04 20:02:08+00:00; profbunazar; Pessoal, acabo de saber que meu livro, fruto de minha tese de doutoramento na Faculdade de Direito do Largo de São Francisco, está já em pré-venda. Estou muito feliz! O link está na minha bio.; https://www.instagram.com/p/CDeuYSlD1lu/; 1139; 152]
[2020-08-04 15:29:49+00:00; profbunazar; Feliz dia do Padre a todos os sacerdotes do Brasil. Que o Senhor sempre os abençoe e guarde. Paz e bem.; https://www.instagram.com/p/CDePNzgjrHs/; 357; 5]
[2020-07-27 12:19:54+00:00; profbunazar; Pessoal, ótima oportunidade para publicarem artigo científico.; https://www.instagram.com/p/CDJTHxkjtys/; 121; 6]
[2020-07-24 19:12:59+00:00; profbunazar; Pessoal, compartilho com vocês a mensagem desta instituição fantástica: @casaprovidamaeimaculada  Acolher e salvar vidas, eis a nossa missão! Vamos ao encontro das gestantes que estão pensando em abortar para acolhê-las, dissuadi-las deste terrível objetivo e ampará-las nas suas diversas necessidades, mesmo após o parto.  Em 8 anos, já alcançamos 1 mil mulheres e temos centenas de bebês nascidos! 👶🏻👩🏽❤️  Você pode nos ajudar a salvar mais vidas, saiba como: 👉 https://casaprovidami.com.br/doacao/  #casaprovida #casaprovidamaeimaculada #gestante #gestacao #gravida #gravidez #maternidade #mae #adocao #abortonao; https://www.instagram.com/p/CDCUAnmDwm3/; 140; 3]
[2020-07-22 00:38:13+00:00; profbunazar; Pessoal, a primeira turma esgotou em menos de três dias. Ficamos muito honrados. Abrimos uma segunda turma. As informações estão na minha bio! Obrigado pela confiança de vocês.; https://www.instagram.com/p/CC7K2JAj20-/; 239; 20]
[2020-07-13 11:34:28+00:00; profbunazar; ‪Nenhuma ideia deve ser proibida. Absolutamente nenhuma. O paradoxo da tolerância é uma falácia gigantesca. Ideias ruins devem ser combatidas com ideias melhores, e não com censura. Leiam este belo editorial do Estadão. ‬Excelente semana a todos; https://www.instagram.com/p/CClKywfDC4X/; 277; 7]
[2020-07-10 15:55:09+00:00; profbunazar; Caros amigos e amigas, é com grande alegria que informamos que, em razão do interesse de vocês, fechamos a primeira turma do nosso curso. Devido aos muitos pedidos, em breve, noticiaremos a abertura de nova turma. Aos interessados, pedimos que preencham a lista de espera no site www.professorsimao.com.br; https://www.instagram.com/p/CCd6PdFjqnO/; 272; 13]
[2020-07-07 11:30:53+00:00; profbunazar; Há tempos, o @jfsimao e eu idealizamos um curso prático de contratos. Em razão de seu viés fundamentalmente prático, o curso é voltado para advogadas e advogados que atuam ou queiram atuam com direito contratual. As informações estão na minha bio.; https://www.instagram.com/p/CCVtnPXjcR6/; 345; 24]
[2020-07-03 16:58:19+00:00; profbunazar; O primeiro (Josef Pieper) acabei essa semana e é fantástico; o segundo acabou de chegar. Conto depois o que achei. Devo a indicação ao filósofo J. Ratzinger (Papa Bento XVI); https://www.instagram.com/p/CCL_5_sDrtX/; 256; 4]
[2020-06-26 16:53:05+00:00; profbunazar; Está já disponível o 3º volume da Revista Brasileira de Direito Contratual, do nosso @ibdcont. Juntem-se a nós!!!; https://www.instagram.com/p/CB59vhbD_DF/; 147; 2]
[2020-06-22 13:42:54+00:00; profbunazar; Hoje terei a honra de participar de um evento verdadeiramente interdisciplinar. Vamos falar do EPD e da tomada de decisão apoiada. Esperamos vocês!! Abraços; https://www.instagram.com/p/CBvUzGLD716/; 158; 11]
[2020-06-17 14:44:06+00:00; profbunazar; Marque seus amigos💣 . Semana passada foi promulgada uma lei importantíssima! A Lei 14.010/20 trata do Regime Jurídico Emergencial e Transitório das relações jurídicas de Direito Privado (RJET) no período da pandemia do coronavírus (Covid-19). Para tratar do assunto, falarei nessa quinta com o @prof_estefam  #Damasioem15 #RJET #concursos #mp #magistratura #defensoria #delegado #procuradoria; https://www.instagram.com/p/CBij06cD6VV/; 165; 1]
[2020-06-15 00:45:48+00:00; profbunazar; Evento imperdível! Agradeço ao @direitocivilbrasileiro pelo gentil convite!!!; https://www.instagram.com/p/CBb6TRUjYUJ/; 157; 7]
[2020-06-13 19:36:14+00:00; profbunazar; Já já; https://www.instagram.com/p/CBYyFGoDR1X/; 232; 1]
[2020-06-11 22:30:20+00:00; profbunazar; Graças e louvores se deem a todo momento, ao Santíssimo e Diviníssimo Sacramento!!! Paz e Bem.; https://www.instagram.com/p/CBT8adNDPdJ/; 538; 34]
[2020-06-10 17:33:48+00:00; profbunazar; Dois queridos alunos, Renê e Priscila, surpreenderam-me hoje com este belo presente. O carinho e o reconhecimento dos alunos são a maior recompensa de um professor. Obrigado, Pri e Renê.; https://www.instagram.com/p/CBQ1rpHD9_b/; 345; 7]
[2020-06-07 15:41:22+00:00; profbunazar; Desejo a todos uma santa semana. Paz e Bem.; https://www.instagram.com/p/CBI6bpDDkTP/; 424; 15]
[2020-06-05 14:14:01+00:00; profbunazar; Vejam aí uma verdade insofismável.; https://www.instagram.com/p/CBDm2EiDhcQ/; 1486; 141]
[2020-05-31 21:18:57+00:00; profbunazar; Meus caros, recomendo fortemente a leitura destes dois livrinhos. Ótima semana a todos. Paz e Bem.; https://www.instagram.com/p/CA3ff90D4GU/; 531; 16]
[2020-05-29 22:15:06+00:00; profbunazar; Eu disse que, quando jovem, jogava capoeira. Alguns detratores acharam que era mentira. Está aí a prova. Além deste cordão, peguei outros três.; https://www.instagram.com/p/CAycVgsjZ59/; 1026; 90]
