[2018-12-14 16:57:34+00:00; claudioedantas; Lava Jato denuncia executivos da Trafigura por propina em trading da Petrobras https://t.co/DQqi8ty67g; https://twitter.com/claudioedantas/status/1073623041672970247; None; None]
[2018-12-14 16:57:21+00:00; claudioedantas; Policiais de Goiás aguardam mandado para prender João de Deus https://t.co/00aOvJdMa2; https://twitter.com/claudioedantas/status/1073622987801272320; None; None]
[2018-12-14 15:19:15+00:00; claudioedantas; Ninguém controlava Battisti https://t.co/RJ5TiOwz1T; https://twitter.com/claudioedantas/status/1073598296810315776; None; None]
[2018-12-14 15:18:29+00:00; claudioedantas; VÍDEO: “Que Deus abençoe este submarino” https://t.co/gXW93hIKEy; https://twitter.com/claudioedantas/status/1073598103746478081; None; None]
[2018-12-14 15:17:24+00:00; claudioedantas; JUSTIÇA DETERMINA PRISÃO DE JOÃO DE DEUS https://t.co/gvXtkQ6B2B; https://twitter.com/claudioedantas/status/1073597832022712320; None; None]
[2018-12-14 14:59:05+00:00; claudioedantas; A última vez que Battisti foi visto https://t.co/okje21cs0j; https://twitter.com/claudioedantas/status/1073593224227360771; None; None]
[2018-12-14 13:28:23+00:00; claudioedantas; E o sigilo, Fux? https://t.co/RVXpn4NiPT; https://twitter.com/claudioedantas/status/1073570399202500608; None; None]
[2018-12-14 12:59:28+00:00; claudioedantas; “Não tenho informação a respeito” https://t.co/mYiCwWpsTJ; https://twitter.com/claudioedantas/status/1073563119824318466; None; None]
[2018-12-14 00:56:28+00:00; claudioedantas; MOMENTO ANTAGONISTA: É HORA DE PARTIR https://t.co/3bdxl3xSzp; https://twitter.com/claudioedantas/status/1073381172544180224; None; None]
[2018-12-14 00:46:59+00:00; claudioedantas; Guedes avalia outros nomes para PGFN https://t.co/Sr6UXAGI9u; https://twitter.com/claudioedantas/status/1073378786794762240; None; None]
[2018-12-13 23:27:56+00:00; claudioedantas; Interpol pediu prisão de Battisti https://t.co/4oIkIFpoWm; https://twitter.com/claudioedantas/status/1073358892917252096; None; None]
[2018-12-13 23:13:03+00:00; claudioedantas; #renao https://t.co/NGvVjp99KN; https://twitter.com/claudioedantas/status/1073355145226936326; None; https://twitter.com/Diego1Amorim/status/1073280204364267521]
[2018-12-13 22:35:20+00:00; claudioedantas; “Um absurdo!”, diz Bolsonaro sobre publicidade da Caixa https://t.co/WaKw3SnDE8 @jairbolsonaro; https://twitter.com/claudioedantas/status/1073345656264290304; None; None]
[2018-12-13 22:33:01+00:00; claudioedantas; FUX DETERMINA PRISÃO DE BATTISTI https://t.co/XwqNHB8ScW; https://twitter.com/claudioedantas/status/1073345071494389760; None; None]
[2018-12-13 22:30:41+00:00; claudioedantas; EM DELAÇÃO, FUNARO FALOU DE 20 MI PARA TEMER ABRIR CAPITAL DE COMPANHIAS AÉREAS https://t.co/2ps3WPjnHa; https://twitter.com/claudioedantas/status/1073344486296731654; None; None]
[2018-12-13 21:41:14+00:00; claudioedantas; Relator da CVM vota por absolver ex-integrantes do governo Dilma https://t.co/dZ3jNxfikk; https://twitter.com/claudioedantas/status/1073332038810394630; None; None]
[2018-12-13 20:40:48+00:00; claudioedantas; “Só votamos porque o presidente Bolsonaro pediu”, diz Hauly sobre reforma tributária https://t.co/ciHVC8TnDM; https://twitter.com/claudioedantas/status/1073316830125674497; None; None]
[2018-12-13 20:31:49+00:00; claudioedantas; Moro tinha medo de “uma lei maluca” contra a Lava Jato e cita indulto de Natal de Temer https://t.co/hoPjVOV084; https://twitter.com/claudioedantas/status/1073314569202868225; None; None]
[2018-12-13 20:31:38+00:00; claudioedantas; AO VIVO: Moro dá entrevista para Datena https://t.co/KW0xhhTjRt; https://twitter.com/claudioedantas/status/1073314525603082245; None; None]
[2018-12-13 20:15:57+00:00; claudioedantas; Agripino Maia recebeu depósitos suspeitos de motorista, diz Coaf https://t.co/8vPvktIBfp; https://twitter.com/claudioedantas/status/1073310578003898368; None; None]
[2018-12-13 20:05:11+00:00; claudioedantas; PGR denuncia Agripino Maia por funcionário fantasma https://t.co/YzPmekWPWs; https://twitter.com/claudioedantas/status/1073307866554089472; None; None]
[2018-12-13 19:19:05+00:00; claudioedantas; Silvio Santos, o paraquedista https://t.co/H540F10YPH; https://twitter.com/claudioedantas/status/1073296266820575232; None; None]
[2018-12-13 18:10:59+00:00; claudioedantas; Equipe econômica irritada com Hauly https://t.co/x36U7fF6A7; https://twitter.com/claudioedantas/status/1073279130618224641; None; None]
[2018-12-13 17:44:44+00:00; claudioedantas; Governo libera até 100% de capital estrangeiro em companhias aéreas https://t.co/SVJCDD4Xe9; https://twitter.com/claudioedantas/status/1073272521116524551; None; None]
[2018-12-13 17:20:39+00:00; claudioedantas; Brigadeiro vai revisar 2,5 bi em contratos de publicidade e patrocínio da Caixa https://t.co/eWiJ700T25; https://twitter.com/claudioedantas/status/1073266461278433282; None; None]
[2018-12-13 17:06:03+00:00; claudioedantas; Renan na cola dos senadores https://t.co/yppAcuWPeh; https://twitter.com/claudioedantas/status/1073262787521069056; None; None]
[2018-12-13 16:57:34+00:00; claudioedantas; PF mira esquema de servidores fantasmas na Alerj https://t.co/eXi6T3k7c1; https://twitter.com/claudioedantas/status/1073260651806670849; None; None]
[2018-12-13 16:56:52+00:00; claudioedantas; “Fui ao pé de goiaba quando criança para me matar”, diz Damares https://t.co/uKd6rWzTIO; https://twitter.com/claudioedantas/status/1073260474664398849; None; None]
[2018-12-13 16:56:25+00:00; claudioedantas; O endurecimento de Moro https://t.co/eXrLRGdqUC; https://twitter.com/claudioedantas/status/1073260362491936770; None; None]
[2018-12-13 16:30:59+00:00; claudioedantas; Jair Bolsonaro almoça com Silvio Santos https://t.co/EujVRH2b0S; https://twitter.com/claudioedantas/status/1073253964727181312; None; None]
[2018-12-13 14:16:01+00:00; claudioedantas; ‘Voto de confiança’ em Jair Bolsonaro https://t.co/DMGMlyH7uu; https://twitter.com/claudioedantas/status/1073219995893682176; None; None]
[2018-12-13 14:15:48+00:00; claudioedantas; “Estabilidade não é uma clausula pétrea” https://t.co/GJaRtBXSqI; https://twitter.com/claudioedantas/status/1073219944375037954; None; None]
[2018-12-13 14:01:16+00:00; claudioedantas; Selva! https://t.co/85jhtli25J; https://twitter.com/claudioedantas/status/1073216283867537409; None; https://twitter.com/OGlobo_Rio/status/1073200423249633284]
[2018-12-13 13:48:50+00:00; claudioedantas; Carro fúnebre https://t.co/mHzCD9G4mT; https://twitter.com/claudioedantas/status/1073213155596222464; None; None]
[2018-12-13 12:59:57+00:00; claudioedantas; Ibope: 64% têm expectativa positiva em relação a Bolsonaro https://t.co/bAZ0r22rfP; https://twitter.com/claudioedantas/status/1073200856579878912; None; None]
[2018-12-13 12:59:37+00:00; claudioedantas; TSE arquiva ação do PT contra Bolsonaro e Hang https://t.co/jrBntiVOJA; https://twitter.com/claudioedantas/status/1073200770525339648; None; None]
[2018-12-13 12:59:20+00:00; claudioedantas; Bolsonaro entre os mais pobres https://t.co/KdYpbpe6Ud; https://twitter.com/claudioedantas/status/1073200698731491329; None; None]
[2018-12-13 12:59:01+00:00; claudioedantas; Bolsonaro aprovado https://t.co/G7o9zlkCsA; https://twitter.com/claudioedantas/status/1073200618561527808; None; None]
[2018-12-13 12:58:17+00:00; claudioedantas; Rachid deve deixar Receita Federal https://t.co/B69IYFXFzR; https://twitter.com/claudioedantas/status/1073200436138704898; None; None]
[2018-12-13 12:29:30+00:00; claudioedantas; “Com que direito ele porta esse fuzil?” https://t.co/x5LUB59qfh; https://twitter.com/claudioedantas/status/1073193192026198016; None; None]
[2018-12-13 12:26:41+00:00; claudioedantas; Bolsonaro no Einstein https://t.co/Jxf66aSmMp; https://twitter.com/claudioedantas/status/1073192480961638400; None; None]
[2018-12-13 12:26:24+00:00; claudioedantas; “Deve a Carta Magna ser interpretada à luz do princípio da publicidade” https://t.co/ZmUY52O5h7; https://twitter.com/claudioedantas/status/1073192413013921792; None; None]
[2018-12-13 12:25:39+00:00; claudioedantas; Haddad é condenado a pagar R$ 79 mil a Edir Macedo https://t.co/o4M8Ml1jlD; https://twitter.com/claudioedantas/status/1073192222873542656; None; None]
[2018-12-13 12:25:32+00:00; claudioedantas; TSE nega pedido do PSL contra Haddad e Roger Waters https://t.co/rhXTzE03H3; https://twitter.com/claudioedantas/status/1073192191890255873; None; None]
[2018-12-13 12:25:13+00:00; claudioedantas; Flávio Bolsonaro se diz angustiado: “Não fiz nada de errado” https://t.co/dzuzqZNHib; https://twitter.com/claudioedantas/status/1073192114396295169; None; None]
[2018-12-13 00:50:06+00:00; claudioedantas; MOMENTO ANTAGONISTA: A LAVA TOGA VEM AÍ https://t.co/tL9t4nfEtW; https://twitter.com/claudioedantas/status/1073017182823596032; None; None]
[2018-12-12 23:23:28+00:00; claudioedantas; Oprah Winfrey divulga nota sobre João de Deus https://t.co/RWSQU2GqVl; https://twitter.com/claudioedantas/status/1072995378260250625; None; None]
[2018-12-12 23:22:44+00:00; claudioedantas; Outro ex-funcionário de Flávio Bolsonaro passou metade do tempo no cargo fora do Brasil https://t.co/QzbH481SuE; https://twitter.com/claudioedantas/status/1072995197070516224; None; None]
[2018-12-12 23:22:05+00:00; claudioedantas; Maduro diz que Mourão tem ‘cara de louco’ e quer invadir a Venezuela https://t.co/l5jOGMUZ7a; https://twitter.com/claudioedantas/status/1072995030741204997; None; None]
[2018-12-12 22:56:20+00:00; claudioedantas; TCU multa Mantega e Augustin por empréstimos de risco https://t.co/kDyVsKgVCR; https://twitter.com/claudioedantas/status/1072988550558298118; None; None]
[2018-12-12 22:56:00+00:00; claudioedantas; “Dói no coração” https://t.co/o36btEszzM; https://twitter.com/claudioedantas/status/1072988468597456902; None; None]
[2018-12-12 22:47:45+00:00; claudioedantas; Câmara aumenta cargos comissionados https://t.co/6ehRRBDMjG; https://twitter.com/claudioedantas/status/1072986390911164417; None; None]
[2018-12-12 22:47:16+00:00; claudioedantas; “Se algo estiver errado, que paguemos a conta”, diz Jair Bolsonaro https://t.co/91oDeEkD7x; https://twitter.com/claudioedantas/status/1072986269385396229; None; None]
[2018-12-12 22:42:20+00:00; claudioedantas; Exclusivo em Crusoé: Bolsonaro está sob ‘grave ameaça’, diz Mourão https://t.co/29acJBoHQ1; https://twitter.com/claudioedantas/status/1072985026453753857; None; None]
[2018-12-12 22:17:15+00:00; claudioedantas; Ninguém solta a mão de ninguém https://t.co/NkD8HERfs4; https://twitter.com/claudioedantas/status/1072978716257632262; None; None]
[2018-12-12 22:17:01+00:00; claudioedantas; Destino Portugal https://t.co/vOTqhDK86N; https://twitter.com/claudioedantas/status/1072978657675755520; None; None]
[2018-12-12 22:16:52+00:00; claudioedantas; FHC: Bolsonaro “faz parte das forças raivosas” https://t.co/B1R4a0IUip; https://twitter.com/claudioedantas/status/1072978620975583233; None; None]
[2018-12-12 22:16:40+00:00; claudioedantas; Lasier vai ao STF por voto aberto na eleição do Senado https://t.co/awgXQCqKvr; https://twitter.com/claudioedantas/status/1072978569742168065; None; None]
[2018-12-12 22:16:12+00:00; claudioedantas; TCU recomenda abertura da aviação para investidores estrangeiros https://t.co/9wmTF6ZIeX; https://twitter.com/claudioedantas/status/1072978450166792194; None; None]
[2018-12-12 22:15:52+00:00; claudioedantas; “Teatro do absurdo”, diz Aécio sobre delação da J https://t.co/My7Qx0bqf1; https://twitter.com/claudioedantas/status/1072978366536536064; None; None]
[2018-12-12 22:15:21+00:00; claudioedantas; Ex-advogado de Trump pega três anos de prisão https://t.co/hgJRixhtKh; https://twitter.com/claudioedantas/status/1072978236773228546; None; None]
[2018-12-12 22:15:04+00:00; claudioedantas; PF encontra droga com ex-marqueteiro de Aécio https://t.co/1Cs4132oW6; https://twitter.com/claudioedantas/status/1072978168343085057; None; None]
[2018-12-12 21:24:54+00:00; claudioedantas; Jacob Barata diz que pagou R$ 145 milhões a Cabral https://t.co/ijOACwAeMj; https://twitter.com/claudioedantas/status/1072965542980583429; None; None]
[2018-12-12 21:04:02+00:00; claudioedantas; Boa noite, Roberto Teixeira https://t.co/hn3PdPd6uv; https://twitter.com/claudioedantas/status/1072960291837804551; None; None]
[2018-12-12 20:54:48+00:00; claudioedantas; STJ em pânico https://t.co/ak0iS5oM6B; https://twitter.com/claudioedantas/status/1072957968000409601; None; None]
[2018-12-12 20:39:23+00:00; claudioedantas; Novaes também vai atacar a farra na CASSI https://t.co/gZet8DV0Rp; https://twitter.com/claudioedantas/status/1072954086562127872; None; None]
[2018-12-12 20:22:07+00:00; claudioedantas; Orlando Diniz negocia delação premiada https://t.co/afxfhRcdmt; https://twitter.com/claudioedantas/status/1072949741812662273; None; None]
[2018-12-12 19:48:29+00:00; claudioedantas; Exclusivo: MP de Goiás pede prisão preventiva de João de Deus https://t.co/H5GJLpW1vD atenção!; https://twitter.com/claudioedantas/status/1072941275756797952; None; None]
[2018-12-12 18:43:08+00:00; claudioedantas; Em plena campanha, Fábio Ramalho defende aumento de salário dos deputados https://t.co/nqVjmZqIlf; https://twitter.com/claudioedantas/status/1072924832654901248; None; None]
[2018-12-12 18:32:49+00:00; claudioedantas; GILMAR EMPLACA INDICADOS NO CNJ E CNMP https://t.co/iF1QMyOcAV; https://twitter.com/claudioedantas/status/1072922236548513797; None; None]
[2018-12-12 18:32:29+00:00; claudioedantas; Bolsonaro pratica tiro ao alvo na PF https://t.co/rCT7WnhAZ1; https://twitter.com/claudioedantas/status/1072922151592910848; None; None]
[2018-12-12 18:22:40+00:00; claudioedantas; E o Botafogo, Raquel? https://t.co/sP6fGus6zh; https://twitter.com/claudioedantas/status/1072919681370071042; None; None]
[2018-12-12 18:11:47+00:00; claudioedantas; Novaes deve cortar benefícios criados pelo PT no Banco do Brasil https://t.co/Zvr30eficF; https://twitter.com/claudioedantas/status/1072916943009652737; None; None]
[2018-12-12 17:56:01+00:00; claudioedantas; “Gratidão é um dos valores éticos e morais que abracei”, diz Múcio https://t.co/jKqKCJZFhu; https://twitter.com/claudioedantas/status/1072912974506049536; None; None]
[2018-12-12 17:22:37+00:00; claudioedantas; No apagar das luzes, deputados tentarão aumentar poder da Polícia Legislativa https://t.co/4cz81MC5U3; https://twitter.com/claudioedantas/status/1072904569255092225; None; None]
[2018-12-12 17:21:54+00:00; claudioedantas; Morre quinta vítima do massacre de Campinas https://t.co/noPS8SWqKu; https://twitter.com/claudioedantas/status/1072904386819575810; None; None]
[2018-12-12 17:05:32+00:00; claudioedantas; Bolsonaro tem favorito para comandar a Câmara https://t.co/bGTbL2vbF6; https://twitter.com/claudioedantas/status/1072900268906434560; None; None]
[2018-12-12 16:56:03+00:00; claudioedantas; AO VIVO: Bolsonaro se reúne com bancada do DEM https://t.co/SIyOMfoKYT; https://twitter.com/claudioedantas/status/1072897881869295618; None; None]
[2018-12-12 14:09:51+00:00; claudioedantas; Toffoli: “É hora de o Judiciário se recolher” https://t.co/THOw8BBD0J; https://twitter.com/claudioedantas/status/1072856058853515266; None; None]
[2018-12-12 14:09:19+00:00; claudioedantas; “Temos que ver até que ponto esse rapaz inviabiliza o PSDB” https://t.co/uRzKoa0FgK; https://twitter.com/claudioedantas/status/1072855924119879681; None; None]
[2018-12-12 14:08:58+00:00; claudioedantas; O golpista em chamas https://t.co/fFkrhHho1B; https://twitter.com/claudioedantas/status/1072855836400214017; None; None]
[2018-12-12 13:37:10+00:00; claudioedantas; O baixo clero e o alto clero https://t.co/8NcvTag8Vt; https://twitter.com/claudioedantas/status/1072847832128937984; None; None]
[2018-12-12 13:35:29+00:00; claudioedantas; “Vocês terão câncer e voltarão todos aqui” https://t.co/X3tO77CwTO 🤔👹; https://twitter.com/claudioedantas/status/1072847407837315072; None; None]
[2018-12-12 00:55:24+00:00; claudioedantas; MOMENTO ANTAGONISTA: UM TUCANO DEPENADO https://t.co/I5p8gHHAX0; https://twitter.com/claudioedantas/status/1072656129354842112; None; None]
[2018-12-12 00:52:08+00:00; claudioedantas; A compra de um jornal para divulgar o ‘bom nome’ de Aécio https://t.co/Sbujd2OXhd; https://twitter.com/claudioedantas/status/1072655307225075713; None; None]
[2018-12-12 00:51:54+00:00; claudioedantas; Depósitos para Fabrício Queiroz coincidem com pagamento de salários https://t.co/wWNyRnFtsL; https://twitter.com/claudioedantas/status/1072655247351443456; None; None]
[2018-12-12 00:51:35+00:00; claudioedantas; TSE rejeita segunda ação do PT contra Bolsonaro https://t.co/Q7eqq8YpGj; https://twitter.com/claudioedantas/status/1072655166300655616; None; None]
[2018-12-11 20:08:24+00:00; claudioedantas; Aécio não explica motivo para não depor https://t.co/SQAzAHNaKo; https://twitter.com/claudioedantas/status/1072583901598703616; None; None]
[2018-12-11 20:04:24+00:00; claudioedantas; Aprovação da PEC do fim do foro ‘salva’ longo trabalho https://t.co/DEroDNBiVO; https://twitter.com/claudioedantas/status/1072582894504284160; None; None]
[2018-12-11 20:04:04+00:00; claudioedantas; “O PSDB ficou muito parecido com o PT” https://t.co/O8Hu37McC1; https://twitter.com/claudioedantas/status/1072582811515785216; None; None]
[2018-12-11 20:02:59+00:00; claudioedantas; COMISSÃO APROVA PEC DO FIM DO FORO https://t.co/v4FCz3U8Xc; https://twitter.com/claudioedantas/status/1072582536856027136; None; None]
[2018-12-11 20:00:52+00:00; claudioedantas; Atirador de Campinas é identificado; polícia retifica número de mortes https://t.co/p6l7h3DmL4; https://twitter.com/claudioedantas/status/1072582005861302272; None; None]
[2018-12-11 17:41:26+00:00; claudioedantas; Sobe para seis o número de mortos em Campinas https://t.co/c013JTHRZG; https://twitter.com/claudioedantas/status/1072546918125969408; None; None]
[2018-12-11 17:01:50+00:00; claudioedantas; Joice e Eduardo Bolsonaro são só amor https://t.co/wsgGCIfTiK; https://twitter.com/claudioedantas/status/1072536948768677888; None; None]
[2018-12-11 17:01:20+00:00; claudioedantas; Aécio e J https://t.co/bSa75ZBAYs; https://twitter.com/claudioedantas/status/1072536824067833856; None; None]
[2018-12-11 17:01:13+00:00; claudioedantas; Há “farta prova documental” de que Lula era “proprietário de fato” do sítio https://t.co/VvzfDIZti6; https://twitter.com/claudioedantas/status/1072536794263113731; None; None]
[2018-12-11 16:27:17+00:00; claudioedantas; Marco Aurélio sobre Aécio: “Inexistem elementos objetivos acerca do risco de abandono do país” https://t.co/ZkJ9uZpY2q; https://twitter.com/claudioedantas/status/1072528257252278272; None; None]
[2018-12-11 16:27:03+00:00; claudioedantas; Editora suspende distribuição de livro sobre João de Deus https://t.co/2GCsca47Yh; https://twitter.com/claudioedantas/status/1072528196363534338; None; None]
[2018-12-11 16:26:45+00:00; claudioedantas; Venezuela 1.000.000% https://t.co/c4IUrLZGNA; https://twitter.com/claudioedantas/status/1072528123323928576; None; None]
[2018-12-11 16:26:32+00:00; claudioedantas; Dois deputados eleitos são presos no Acre https://t.co/rZJnqWNMj1; https://twitter.com/claudioedantas/status/1072528066650492933; None; None]
[2018-12-11 16:26:16+00:00; claudioedantas; Irmã de Aécio depõe em Minas https://t.co/ZnkHyeJ3yB; https://twitter.com/claudioedantas/status/1072528000556642304; None; None]
[2018-12-11 16:26:08+00:00; claudioedantas; A íntegra da decisão que autorizou a Operação Ross https://t.co/2qwFJbTpPF; https://twitter.com/claudioedantas/status/1072527966993817600; None; None]
[2018-12-11 16:25:15+00:00; claudioedantas; Novo chefe do TCU grato a Lula https://t.co/qCwLtN4Hip; https://twitter.com/claudioedantas/status/1072527744276328449; None; None]
[2018-12-11 16:24:17+00:00; claudioedantas; BNDESPar vende JBS https://t.co/daDh7gVBTv; https://twitter.com/claudioedantas/status/1072527502734700545; None; None]
[2018-12-11 16:23:24+00:00; claudioedantas; Escola Sem Partido arquivado na Câmara https://t.co/nBdsJp7FIO; https://twitter.com/claudioedantas/status/1072527276712042496; None; None]
[2018-12-11 16:22:49+00:00; claudioedantas; O tamanho do buraco https://t.co/qNqQi0JAGI; https://twitter.com/claudioedantas/status/1072527129928237056; None; None]
[2018-12-11 15:36:01+00:00; claudioedantas; PT e PSOL articulam obstrução da PEC do fim do foro https://t.co/1OBS6ymywz; https://twitter.com/claudioedantas/status/1072515354612690944; None; None]
[2018-12-11 15:35:48+00:00; claudioedantas; Líder do PT quer mais flexibilidade para empregar apadrinhados https://t.co/IfMexgWeJB; https://twitter.com/claudioedantas/status/1072515301311430661; None; None]
[2018-12-11 13:08:07+00:00; claudioedantas; O Pai Nosso de João de Deus https://t.co/z0sZ34zWve; https://twitter.com/claudioedantas/status/1072478132446347268; None; None]
[2018-12-11 13:06:08+00:00; claudioedantas; Coladinho em Aécio https://t.co/doz3moSHOh; https://twitter.com/claudioedantas/status/1072477634788028417; None; None]
[2018-12-11 13:03:10+00:00; claudioedantas; Meirelles aceita ser secretário de Fazenda do governo Doria https://t.co/zyHWVhIRSE; https://twitter.com/claudioedantas/status/1072476889745367040; None; None]
[2018-12-11 13:02:39+00:00; claudioedantas; MPF reforça pedido de nova condenação para Lula https://t.co/rsrVkLf4Up; https://twitter.com/claudioedantas/status/1072476757905809410; None; None]
[2018-12-11 13:02:14+00:00; claudioedantas; Mais de 200 relatos contra João de Deus https://t.co/nN9BksXJ9R; https://twitter.com/claudioedantas/status/1072476651844440064; None; None]
[2018-12-11 09:57:02+00:00; claudioedantas; A pedido de Aécio, Anastasia concedeu benefício tributário à JBS https://t.co/3yXr9vDcRZ; https://twitter.com/claudioedantas/status/1072430045573115905; None; None]
