[2017-12-29 18:11:56+00:00; claudioedantas; Nada de farra para Pizzolato https://t.co/YEdsNIlWrQ; 2; 4; 14; 0; https://twitter.com/claudioedantas/status/946806002405576705; None; None]
[2017-12-29 17:31:44+00:00; claudioedantas; @geraldoalckmin Não existe almoço grátis e nem a 1 real.; 2; 7; 40; 0; https://twitter.com/claudioedantas/status/946795886138527753; None; None]
[2017-12-29 17:27:58+00:00; claudioedantas; Pezão diz que não voltará a disputar cargos políticos https://t.co/oZKJgOHzlJ Mais um Tiririca.; 23; 25; 74; 3; https://twitter.com/claudioedantas/status/946794939245056002; None; None]
[2017-12-29 15:36:44+00:00; claudioedantas; Gilmar Mendes 2017 https://t.co/qVl6lcvY34; 4; 6; 10; 1; https://twitter.com/claudioedantas/status/946766945248010241; None; None]
[2017-12-29 15:35:19+00:00; claudioedantas; Pizzolato pode voltar à prisão, garante Barroso https://t.co/XRmriwZLJd; 14; 12; 42; 1; https://twitter.com/claudioedantas/status/946766590359621634; None; None]
[2017-12-29 15:34:54+00:00; claudioedantas; MST não poderá acampar perto do TRF-4 no julgamento de Lula https://t.co/z5KxqeJCWL; 5; 7; 30; 1; https://twitter.com/claudioedantas/status/946766482775691264; None; None]
[2017-12-29 15:33:00+00:00; claudioedantas; Lula candidato? Lula preso? Gilmar responde https://t.co/h034Q7R4QA; 1; 8; 17; 0; https://twitter.com/claudioedantas/status/946766006285979648; None; None]
[2017-12-29 14:05:30+00:00; claudioedantas; A propaganda de Meirelles está pronta https://t.co/yjmoVYxHJe; 1; 3; 10; 1; https://twitter.com/claudioedantas/status/946743983828553729; None; None]
[2017-12-29 14:02:34+00:00; claudioedantas; De pai para filho https://t.co/xkrDTUjypC; 1; 1; 10; 1; https://twitter.com/claudioedantas/status/946743245828247555; None; None]
[2017-12-29 13:38:28+00:00; claudioedantas; Pizzolato não quer pagar, ministro https://t.co/I5EVREDpMS; 5; 5; 15; 0; https://twitter.com/claudioedantas/status/946737184190750720; None; None]
[2017-12-29 13:37:07+00:00; claudioedantas; O Carnaval da Rouanet https://t.co/R1s2UD9BCB; 3; 19; 32; 3; https://twitter.com/claudioedantas/status/946736842656841728; None; None]
[2017-12-29 13:36:41+00:00; claudioedantas; Pizzolato não quer pagar mais nada https://t.co/1w8BEEvZjg; 3; 2; 9; 2; https://twitter.com/claudioedantas/status/946736735240769537; None; None]
[2017-12-29 13:01:20+00:00; claudioedantas; A empulhação petista https://t.co/wpSWNAXid8; 2; 6; 17; 0; https://twitter.com/claudioedantas/status/946727839067406337; None; None]
[2017-12-29 12:58:10+00:00; claudioedantas; @GABRlELPlNHElRO  https://t.co/i722ObgbmT; 1; 2; 11; 0; https://twitter.com/claudioedantas/status/946727040966852608; None; None]
[2017-12-29 12:39:30+00:00; claudioedantas; Avisa lá https://t.co/8CPrsUA915; 1; 5; 17; 2; https://twitter.com/claudioedantas/status/946722342771875840; None; None]
[2017-12-29 12:38:30+00:00; claudioedantas; Fake news https://t.co/d5haMKqeiM; 0; 1; 7; 0; https://twitter.com/claudioedantas/status/946722089876287488; None; None]
[2017-12-29 12:38:08+00:00; claudioedantas; País perdeu quase 1 milhão de vagas com carteira assinada https://t.co/rsnMfMogKO; 2; 4; 15; 2; https://twitter.com/claudioedantas/status/946721997593161728; None; None]
