[2019-11-30 00:37:15+00:00; ProfBunazar; @MAIQUE49 Cara, espera..... ele foi MUITO BURRO; https://twitter.com/ProfBunazar/status/1200574475630252032; None; None]
[2019-11-30 00:32:12+00:00; ProfBunazar; Sabe o que mais me irrita? A Folha se afunda por aí mesma. Aí o incontinente do Bolsonaro vai e faz uma imbecilidade dessas que só serve para desestabilizar o país. É muita burrice para uma pessoa só https://t.co/qaOdaaDPpZ; https://twitter.com/ProfBunazar/status/1200573206664495104; None; https://twitter.com/jairbolsonaro/status/1200569062692179968]
[2019-11-30 00:30:32+00:00; ProfBunazar; @WesleyVaz Burrice. Ele vai cair por idiotices como essas. A Folha se estraga por si mesma; https://twitter.com/ProfBunazar/status/1200572785099231233; None; None]
[2019-11-30 00:29:43+00:00; ProfBunazar; @maugustoadv Está no perfil dela. Se puder, leia lá; https://twitter.com/ProfBunazar/status/1200572582199746560; None; None]
[2019-11-30 00:28:47+00:00; ProfBunazar; @maugustoadv @folha @jairbolsonaro Você não entendeu nada. Nada; https://twitter.com/ProfBunazar/status/1200572346282790912; None; None]
[2019-11-30 00:27:45+00:00; ProfBunazar; Que atitude burra. Que idiotice. Coitados do Moro e do Paulo Guedes. https://t.co/qaOdaaDPpZ; https://twitter.com/ProfBunazar/status/1200572087766863872; None; https://twitter.com/jairbolsonaro/status/1200569062692179968]
[2019-11-30 00:25:26+00:00; ProfBunazar; @oficialMMarta Me dá block por favor?; https://twitter.com/ProfBunazar/status/1200571504980905984; None; None]
[2019-11-30 00:23:42+00:00; ProfBunazar; Eu detesto a Folha de São Paulo. Dito isso, completo: um ataque de um Presidente da República a um veículo de imprensa é algo estúpido, abjeto, autoritário. Atitude desprezível e reprovável. Que coisa cansativa. https://t.co/qaOdaaDPpZ; https://twitter.com/ProfBunazar/status/1200571065535225857; None; https://twitter.com/jairbolsonaro/status/1200569062692179968]
[2019-11-29 12:09:39+00:00; ProfBunazar; Hoje é aniversário de uma pessoa realmente especial. Sua alegria é contagiante. Meus parabéns e Deus a abençoe sempre minha querida @profaflavia!!!; https://twitter.com/ProfBunazar/status/1200386337892896771; None; None]
[2019-11-29 12:07:46+00:00; ProfBunazar; @VladimirAras @ministro_Og Concordo em gênero, número e grau; https://twitter.com/ProfBunazar/status/1200385864104370177; None; None]
[2019-11-27 21:35:47+00:00; ProfBunazar; @surra @zuda_carol Credo; https://twitter.com/ProfBunazar/status/1199804035416625152; None; None]
[2019-11-27 21:03:47+00:00; ProfBunazar; @belinera Hahahahahhahahahahaha; https://twitter.com/ProfBunazar/status/1199795979911860228; None; None]
[2019-11-27 18:03:14+00:00; ProfBunazar; Tem razão. Quando o Eduardo Bolsonaro falou do AI-5, eu o critiquei duramente. A fala do Eduardo foi uma imbecilidade completa. O PAULO GUEDES FALOU CONTRA O AI-5!!!!! Parem de polemizar onde não há polêmica. https://t.co/JGaCK2s3xn; https://twitter.com/ProfBunazar/status/1199750541808676866; None; https://twitter.com/Estadao/status/1199621634593886208]
[2019-11-27 17:46:22+00:00; ProfBunazar; @marcelaslobo @paulobaccarat @maridorego @fonseca_aline @carolhimura @madeiradez @DaniloRua1 Xiii; https://twitter.com/ProfBunazar/status/1199746298943070210; None; None]
[2019-11-27 16:43:19+00:00; ProfBunazar; @MorenoJose0809 Que legal!!!; https://twitter.com/ProfBunazar/status/1199730431614164998; None; None]
[2019-11-27 14:41:20+00:00; ProfBunazar; @VladimirAras Indico essa obra aos meus alunos sempre, em especial aos do primeiro ano.; https://twitter.com/ProfBunazar/status/1199699735277395968; None; None]
[2019-11-27 01:50:30+00:00; ProfBunazar; @GordoGeek @Claudio_PPotter @ProfessorSimao Ele e o macaco Simão; https://twitter.com/ProfBunazar/status/1199505748243419136; None; None]
[2019-11-27 01:39:26+00:00; ProfBunazar; @sparklingsp @oa3c_ Deus nos ajude; https://twitter.com/ProfBunazar/status/1199502960562188289; None; None]
[2019-11-27 01:32:32+00:00; ProfBunazar; @Claudio_PPotter Claro; https://twitter.com/ProfBunazar/status/1199501225143746560; None; None]
[2019-11-27 01:26:12+00:00; ProfBunazar; @Claudio_PPotter Bom nome; https://twitter.com/ProfBunazar/status/1199499630846922752; None; None]
[2019-11-27 01:25:22+00:00; ProfBunazar; @StanleyBresh :); https://twitter.com/ProfBunazar/status/1199499423845363718; None; None]
[2019-11-27 01:25:18+00:00; ProfBunazar; @prof_clever Hahah; https://twitter.com/ProfBunazar/status/1199499405755326464; None; None]
[2019-11-27 01:21:31+00:00; ProfBunazar; Em quem votarão para prefeito de SP?; https://twitter.com/ProfBunazar/status/1199498452369125376; None; None]
[2019-11-26 23:01:34+00:00; ProfBunazar; @dracitto Melhor assim; https://twitter.com/ProfBunazar/status/1199463233263951872; None; None]
[2019-11-26 22:44:50+00:00; ProfBunazar; @dracitto Não brigue com seu namorado; https://twitter.com/ProfBunazar/status/1199459024254722049; None; None]
[2019-11-26 19:04:20+00:00; ProfBunazar; @ofernando34 Hahahhahahahaha; https://twitter.com/ProfBunazar/status/1199403531385659392; None; None]
[2019-11-26 18:16:07+00:00; ProfBunazar; @dracitto 😂; https://twitter.com/ProfBunazar/status/1199391397910065153; None; None]
[2019-11-26 18:12:49+00:00; ProfBunazar; Criança: arqueólogo: (Indiana Jones)
Pré adolescente: agente secreto (James Bond)
Adolescente: professor
Atualmente: professor e advogado. https://t.co/H2VXIUWix8; https://twitter.com/ProfBunazar/status/1199390567861563392; None; https://twitter.com/mp__machado/status/1199324982259650560]
[2019-11-26 15:25:59+00:00; ProfBunazar; Ajudem a polícia a identificar o gentil e corajoso cavalheiro que espancou essa moça https://t.co/Ihh8Om5xXk; https://twitter.com/ProfBunazar/status/1199348581582245893; None; https://twitter.com/g1/status/1199311845741363200]
[2019-11-26 14:36:24+00:00; ProfBunazar; Pessoal, se puderem ajudar a identificar o criminoso que agrediu grave e covardemente uma mulher em BH por conta de uma mesa de bar, façam isso. Eu não tenho a imagem dele aqui. Vi pela @GloboNews; https://twitter.com/ProfBunazar/status/1199336106166145024; None; None]
[2019-11-26 13:43:23+00:00; ProfBunazar; @giulianobjs Se você me acompanha por aqui, viu que critiquei duramente essa idiotice do AI-5. Uma coisa não anula a outra.; https://twitter.com/ProfBunazar/status/1199322763212800000; None; None]
[2019-11-26 12:17:40+00:00; ProfBunazar; Entender o Lula é fácil. Ele faz um discurso muito agressivo à esquerda, com o que (re)conquista o pessoal de esquerda formalmente fora do PT. Depois, ele aparece sorrindo e chorando, todo fofo, para conquistar a esquerda que vive no armário. Com ele é tudo friamente calculado.; https://twitter.com/ProfBunazar/status/1199301189126512640; None; None]
[2019-11-26 11:57:10+00:00; ProfBunazar; @Cel_Odahcam Amém; https://twitter.com/ProfBunazar/status/1199296029834858496; None; None]
[2019-11-26 01:18:10+00:00; ProfBunazar; @madeiradez @ProfMedina :); https://twitter.com/ProfBunazar/status/1199135223910477825; None; None]
[2019-11-26 01:17:56+00:00; ProfBunazar; @jeffs_araujo35 Eu sei disso!!! 🙏; https://twitter.com/ProfBunazar/status/1199135162531041280; None; None]
[2019-11-26 00:49:52+00:00; ProfBunazar; @ProfMedina Obrigado pela amizade, querido Medina.; https://twitter.com/ProfBunazar/status/1199128102238064640; None; None]
[2019-11-26 00:04:29+00:00; ProfBunazar; Rezar por alguém é um ato de extrema generosidade. Eu já recebi essa dádiva inúmeras vezes e sou muito grato por isso. Se puder (e você pode), reze por um amigo hoje. Ótima semana a todos; https://twitter.com/ProfBunazar/status/1199116677226610690; None; None]
[2019-11-25 16:41:14+00:00; ProfBunazar; Recebi o livro do @JoselitoMuller3. Lerei com atenção!! Obrigado; https://twitter.com/ProfBunazar/status/1199005129942417409; None; None]
[2019-11-24 23:05:35+00:00; ProfBunazar; @opropriopontes A máscara caiu, comuna safado; https://twitter.com/ProfBunazar/status/1198739467554697216; None; None]
[2019-11-24 12:27:18+00:00; ProfBunazar; Político tem essa mania de querer se promover às custas da popularidade alheia e, não raras vezes, para isso, comportam-se de maneira apelativa. Nesse caso, deu no que deu: fez papel de bobo para o mundo inteiro. https://t.co/EmKlMgdVYu; https://twitter.com/ProfBunazar/status/1198578838948720641; None; https://twitter.com/Estadao/status/1198575742969245696]
[2019-11-24 12:21:06+00:00; ProfBunazar; @jeffs_araujo35 Semana que vem, verei; https://twitter.com/ProfBunazar/status/1198577278256586754; None; None]
[2019-11-23 22:53:36+00:00; ProfBunazar; @bethmoreno @fabiorabin 😂😂😂; https://twitter.com/ProfBunazar/status/1198374064223670272; None; None]
[2019-11-23 22:17:49+00:00; ProfBunazar; @galvaobueno Salve, Galvão. Amém; https://twitter.com/ProfBunazar/status/1198365061292732418; None; None]
[2019-11-23 22:08:54+00:00; ProfBunazar; @mmargareth 😂😂vou apanhar; https://twitter.com/ProfBunazar/status/1198362815842705408; None; None]
[2019-11-23 22:06:51+00:00; ProfBunazar; @Claudio_PPotter Jahahahahaha; https://twitter.com/ProfBunazar/status/1198362299054088192; None; None]
[2019-11-23 22:03:03+00:00; ProfBunazar; @MichelePradoBa Eita; https://twitter.com/ProfBunazar/status/1198361341867765762; None; None]
[2019-11-23 22:00:44+00:00; ProfBunazar; @MichelePradoBa Que jogo; https://twitter.com/ProfBunazar/status/1198360761518694402; None; None]
[2019-11-23 21:59:16+00:00; ProfBunazar; Bom, pelo menos a Argentina elegeu um bom presidente. Hahahahahahahahahahah; https://twitter.com/ProfBunazar/status/1198360389949558785; None; None]
[2019-11-23 21:56:16+00:00; ProfBunazar; Que jogo, amigos!!! Que jogo; https://twitter.com/ProfBunazar/status/1198359637680099338; None; None]
[2019-11-23 21:55:02+00:00; ProfBunazar; @RodCunha Eu também, pqp; https://twitter.com/ProfBunazar/status/1198359327108685832; None; None]
[2019-11-23 21:51:14+00:00; ProfBunazar; Pqp...... que isso; https://twitter.com/ProfBunazar/status/1198358368596963328; None; None]
[2019-11-23 21:48:08+00:00; ProfBunazar; Futebol é foda!!!; https://twitter.com/ProfBunazar/status/1198357590859751424; None; None]
[2019-11-23 20:25:23+00:00; ProfBunazar; Eu assumo: sinto falta do Galvão; https://twitter.com/ProfBunazar/status/1198336766819868673; None; None]
[2019-11-23 19:54:25+00:00; ProfBunazar; @StanleyBresh @Miltonneves Opa. Não tinha visto; https://twitter.com/ProfBunazar/status/1198328972343463936; None; None]
[2019-11-23 19:50:08+00:00; ProfBunazar; @Miltonneves Quem leva, Miltão?; https://twitter.com/ProfBunazar/status/1198327892712841222; None; None]
[2019-11-23 19:41:58+00:00; ProfBunazar; @jeffs_araujo35 Hahahahahahah; https://twitter.com/ProfBunazar/status/1198325837579345920; None; None]
