2019-12-14 13:42:50+00:00; miriamleitao; Meu filho @Mleitaonetto embarcou. Ficarei torcendo ❤️🖤 https://t.co/p74Q5XAKCm; 24; 3; 272; 1; https://twitter.com/miriamleitao/status/1205845605324591104; None; https://twitter.com/lauraabcarvalho/status/1205831933193834497
2019-12-14 13:41:50+00:00; miriamleitao; Um abraço afetuoso https://t.co/JN0WbeSFpz; 6; 2; 98; 0; https://twitter.com/miriamleitao/status/1205845354727514113; None; https://twitter.com/aniellefranco/status/1205839242003390464
2019-12-14 12:21:40+00:00; miriamleitao; Neste sábado, no Rio, Travessa do Leblon, a partir das quatro. Quem for me alegrará. Escrevo infantis para não perder a ternura. https://t.co/3nBHFnQg28; 91; 28; 448; 9; https://twitter.com/miriamleitao/status/1205825178334306305; None; None
2019-12-13 18:10:05+00:00; miriamleitao; Escrevi muitas vezes contra esse hidrelétrica, ouvindo o MPF que esteve vigilante, os cientistas e os especialistas em energia. Na época o governo dizia que era a maior hidrelétrica do país com 11 mil megawatts e na verdade era muito menos. Os críticas é que tinham razão. https://t.co/eFsFtq8v4e; 46; 58; 418; 7; https://twitter.com/miriamleitao/status/1205550474608422912; None; https://twitter.com/AlanMansur/status/1205533825587142656
2019-12-13 11:53:09+00:00; miriamleitao; AI-5 faz 51 anos e deveria ser assunto pacificado, mas voltou à pauta em função do sonho autoritário dos que hoje ocupam posição de poder.  A coluna:  https://t.co/ATbokfycY7; 2609; 527; 4535; 186; https://twitter.com/miriamleitao/status/1205455612722786304; None; None
2019-12-13 00:31:27+00:00; miriamleitao; Começando o programa com sobre PISA e IDH https://t.co/LLoJN672p1; 67; 5; 96; 1; https://twitter.com/miriamleitao/status/1205284057900294144; None; None
2019-12-12 18:06:23+00:00; miriamleitao; Weintraub é o pior ministro da Educação que o país já teve; sua saída seria um avanço.  https://t.co/Zo1Q508FHP; 7866; 2336; 18669; 825; https://twitter.com/miriamleitao/status/1205187155028516873; None; None
2019-12-12 11:20:57+00:00; miriamleitao; Juros reais abaixo de 1% reduzem o custo da dívida, estimulam o crédito e alteram os portfólios de poupança e investimento.  A coluna: https://t.co/R7nAOdhdcU; 64; 5; 91; 1; https://twitter.com/miriamleitao/status/1205085123886112768; None; None
2019-12-12 01:45:27+00:00; miriamleitao; Boa entrevista pessoal. Imperdível 👇🏽 https://t.co/ixlX5SeGVG; 24; 0; 35; 1; https://twitter.com/miriamleitao/status/1204940293960880129; None; https://twitter.com/NatuzaNery/status/1204923705064865792
2019-12-11 22:33:54+00:00; miriamleitao; 👇🏽😳 https://t.co/WtaCNJTLCe; 53; 71; 300; 20; https://twitter.com/miriamleitao/status/1204892089760264192; None; None
2019-12-11 11:15:12+00:00; miriamleitao; Dilema argentino é que reduzir a crise social é urgente, mas sem estabilidade na economia qualquer plano estará fadado ao fracasso. A coluna:  https://t.co/ckv7pdmB6B; 60; 9; 101; 3; https://twitter.com/miriamleitao/status/1204721290529136640; None; None
2019-12-10 20:33:32+00:00; miriamleitao; Fernández diz que só paga dívida após Argentina crescer https://t.co/wfCPSDEEDj; 126; 17; 241; 19; https://twitter.com/miriamleitao/status/1204499408387297280; None; None
2019-12-10 13:50:56+00:00; miriamleitao; O que esperar do novo governo argentino https://t.co/xiD9pn4RsX; 37; 2; 38; 4; https://twitter.com/miriamleitao/status/1204398092893786113; None; None
2019-12-10 11:31:10+00:00; miriamleitao; Brasil e Argentina têm questões concretas a resolver. Deveriam cuidar disso e não das birras de Bolsonaro contra o governo que torna posse hoje. A coluna: https://t.co/OyDj0mv6WG; 91; 22; 257; 8; https://twitter.com/miriamleitao/status/1204362920701894656; None; None
2019-12-10 09:04:15+00:00; miriamleitao; Vocês são lindos https://t.co/YD4Yj7VFwx; 34; 18; 936; 1; https://twitter.com/miriamleitao/status/1204325945349419008; None; https://twitter.com/taisdeverdade/status/1204224241534722048
2019-12-10 00:30:46+00:00; miriamleitao; Quero avisar: eu gosto das duas https://t.co/xW7A0op1ke; 1; 1; 49; 0; https://twitter.com/miriamleitao/status/1204196723444326400; None; https://twitter.com/quelnovaes/status/1204067217719074817
