[2020-12-02 13:44:37+00:00; RenanSantosMBL; Nas últimas 24H:  - Eu e @Pavinatto saímos na lista negra do governo  - @FernandoHoliday barrou 100M de abuso na Câmara  - @arthurmoledoval lidera ato pela liberdade da Buser e seus motoristas em BSB - @kimpkat gankou no Dota  Depois não entendem pq o MBL tem ódio e voto.; 22; 38; 653; 5; https://twitter.com/RenanSantosMBL/status/1334131357862273032; None; None]
[2020-12-02 13:14:45+00:00; RenanSantosMBL; Que momento incrível vive o @FernandoHoliday ! Após ser reeleito com votação expressiva, acaba de barrar na justiça os aumentos de salário acima do teto na Câmara de SP.   Eis a diferença entre TRABALHO e fazer arminha com a mão.   https://t.co/IgRNZ4gRII; 6; 19; 542; 2; https://twitter.com/RenanSantosMBL/status/1334123842525159434; None; None]
[2020-12-02 11:45:42+00:00; RenanSantosMBL; @GugaNoblat Hahahahahaha vou enquadrar a minha aqui, chupa o dedo Guga. Sempre soube q vc era meio bolsominion; 0; 0; 14; 0; https://twitter.com/RenanSantosMBL/status/1334101434103631875; None; None]
[2020-12-02 01:15:28+00:00; RenanSantosMBL; @GugaNoblat Hahahahahahah engole essa!!; 1; 1; 51; 0; https://twitter.com/RenanSantosMBL/status/1333942830151184388; None; None]
[2020-12-02 01:03:43+00:00; RenanSantosMBL; Agora tá creme! https://t.co/jhik9RfByF; 32; 16; 702; 2; https://twitter.com/RenanSantosMBL/status/1333939870394408960; None; None]
[2020-12-01 22:34:03+00:00; RenanSantosMBL; O liberal Paulo Guedes usou dinheiro público pra fazer uma lista de detratores privados.  É isso o tweet.; 23; 65; 1397; 5; https://twitter.com/RenanSantosMBL/status/1333902208342089730; None; None]
[2020-12-01 22:24:17+00:00; RenanSantosMBL; Estar na mesma lista do Felipe Neto não é nada perto de fazer parte do seleto grupo de jornalistas da “lista dos apoiadores do governo”. Essa lista sim vai cobrar um preço caro nos próximos anos...; 5; 5; 245; 2; https://twitter.com/RenanSantosMBL/status/1333899748751929345; None; None]
[2020-12-01 22:08:53+00:00; RenanSantosMBL; Aparecer na lista de detratores do Paulo Guedes não é nada perto da canalhice que eles fizeram conosco. Esse governo é sujo e Guedes um farsantes.; 12; 21; 604; 3; https://twitter.com/RenanSantosMBL/status/1333895873554767872; None; None]
[2020-11-30 16:40:37+00:00; RenanSantosMBL; @RMBarros_me @deadzao O dono do comércio não tem nada a ver com isso. Mas simplesmente não dá pra repetir o que ocorreu no começo do ano. Volto a repetir: não sou gado. Fui favorável a Lockdown. Mas HOJE, repetir isso é insanidade.; 2; 0; 0; 0; https://twitter.com/RenanSantosMBL/status/1333450876690833414; None; None]
[2020-11-30 16:37:10+00:00; RenanSantosMBL; Não se confia em tucano. https://t.co/x1UBjhQHxg; 12; 9; 169; 1; https://twitter.com/RenanSantosMBL/status/1333450006880276480; None; https://twitter.com/jdoriajr/status/1327371649847586816]
[2020-11-30 15:04:09+00:00; RenanSantosMBL; @RMBarros_me @deadzao Isso, faz assim, fecha todos os negócios possíveis e foda-se. Sinceramente, sua perspectiva é de uma infantilidade atroz.; 3; 0; 0; 0; https://twitter.com/RenanSantosMBL/status/1333426598398267394; None; None]
[2020-11-30 14:27:45+00:00; RenanSantosMBL; @deadzao Não somos o Canadá. Fizemos uma quarentena fraca no começo (nós defendíamos algo mais restrito), longa e com resultados ruins. Agora não há condições de restringir mais o comércio. É desumano.; 2; 0; 11; 0; https://twitter.com/RenanSantosMBL/status/1333417438000635907; None; None]
[2020-11-30 14:24:59+00:00; RenanSantosMBL; Conforme avisado pelo Arthur em debate, tão logo as eleições passaram teremos medidas de restrição contra comerciantes. Covas, ao final, é só...Covas.; 13; 10; 454; 1; https://twitter.com/RenanSantosMBL/status/1333416740009750530; None; None]
[2020-11-30 03:04:37+00:00; RenanSantosMBL; Uma breve análise das eleições 2020. Espero que gostem!  https://t.co/AgAZFEcZ3q; 30; 27; 561; 3; https://twitter.com/RenanSantosMBL/status/1333245521830567938; None; None]
[2020-11-30 02:50:00+00:00; RenanSantosMBL; Efeito COVID ou Efeito Bolsonaro? https://t.co/stZG6VFdjk; 13; 9; 126; 1; https://twitter.com/RenanSantosMBL/status/1333241842649980929; None; None]
[2020-11-30 01:40:45+00:00; RenanSantosMBL; Argumentos sólidos do rapaz considerado “gênio político” pelo JORNALISMO PROFISSIONAL®. https://t.co/8eippzUHgX; 17; 16; 511; 3; https://twitter.com/RenanSantosMBL/status/1333224415056818180; None; None]
[2020-11-30 01:36:54+00:00; RenanSantosMBL; @Akiechan8 Não da pra dizer que foi o fundamento único, mas ajudou e somou demais. O ponto é que a fórmula foi “revalidada” e ela é ruim para a democracia. É reserva de mercado e concentração de dinheiro.; 1; 0; 9; 0; https://twitter.com/RenanSantosMBL/status/1333223445543448577; None; None]
[2020-11-30 01:32:42+00:00; RenanSantosMBL; Atenção: Felipe Neto sentiu novamente.; 21; 32; 1576; 2; https://twitter.com/RenanSantosMBL/status/1333222391695220736; None; None]
[2020-11-30 01:22:16+00:00; RenanSantosMBL; @Akiechan8 Isso não invalida o ponto central: esse mesmo centro se vale de regras políticas grotescas e privilégios fora do comum quem geram externalidades naturais. É muito fundão, partido fechado, TV e concentração de dinheiro pra manter essa moderação.; 3; 0; 15; 0; https://twitter.com/RenanSantosMBL/status/1333219764123164672; None; None]
[2020-11-30 01:15:11+00:00; RenanSantosMBL; Também não adianta vir com o papo de “a democracia saiu fortalecida”. Venceu fundão, conchavo e, acima de tudo, o DESINTERESSE do eleitor. Isso vai cobrar um preço mais tarde — na forma de um novo populista salvador.; 18; 42; 673; 6; https://twitter.com/RenanSantosMBL/status/1333217981833338884; None; None]
