[2020-11-24 20:44:05+00:00; gduvivier; COMO FAZER LASANHA? - COZINHA COM PIMENTA! https://t.co/CfZaQ9rvjU; 12; 7; 227; 7; https://twitter.com/gduvivier/status/1331337819218976770; None; None] 
[2020-11-24 04:55:01+00:00; gduvivier; Bora, São Paulo: Boulos subiu de novo e tá a 5 pontos da virada! #ViraSP50  https://t.co/PV8VhokTDU; 142; 494; 10400; 134; https://twitter.com/gduvivier/status/1331098975781449736; None; None] 
[2020-11-24 02:44:41+00:00; gduvivier; https://t.co/3kXlssYmD3; 112; 613; 11201; 160; https://twitter.com/gduvivier/status/1331066178354102272; None; None] 
[2020-11-24 02:42:39+00:00; gduvivier; 𝐌𝐀𝐒 𝐄 𝐎𝐒 𝐓𝐑𝐀𝐍𝐂𝐀𝐂𝐎𝐒 𝐄𝐌 𝟐𝟎𝟏𝟔 𝐏𝐎𝐑 𝐂𝐀𝐔𝐒𝐀 𝐃𝐎 𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐃𝐀 𝐃𝐈𝐋𝐌𝐀?  pergunta foi feita no #rodaviva para um candidato à PREFEITURA DE SÃO PAULO EM 2020 ¯\_(ツ)_/¯; 151; 536; 11367; 93; https://twitter.com/gduvivier/status/1331065664187076612; None; None] 
[2020-11-23 20:16:45+00:00; gduvivier; Na hora do aperto, recorre à ciência. https://t.co/YEiNHvQqph; 85; 107; 2703; 6; https://twitter.com/gduvivier/status/1330968550429716480; None; https://twitter.com/JornalismoWando/status/1330829073220775936] 
[2020-11-23 14:58:42+00:00; gduvivier; Os maiores obcecados com família são a classe política, sobretudo conservadora. Quando os deputados votaram o impeachment da Dilma, 136 justificaram o voto em nome da própria “família”: a palavra apareceu duas vezes mais que “corrupção”. https://t.co/cg9eJdPg7f https://t.co/Gpv0PcpKmF; 46; 90; 1264; 30; https://twitter.com/gduvivier/status/1330888511071850496; None; None] 
[2020-11-23 14:44:11+00:00; gduvivier; TRABALHANDO EM CASA #6 - VOLTA AO ESCRITÓRIO! https://t.co/J4fyiWY8TT; 12; 2; 76; 0; https://twitter.com/gduvivier/status/1330884859590569984; None; None] 
[2020-11-23 14:35:56+00:00; gduvivier; Rosa Weber negou o habeas corpus no dia da consicencia negra #LiberdadeParaLemos; 15; 29; 359; 6; https://twitter.com/gduvivier/status/1330882780943822850; None; None] 
[2020-11-23 14:24:31+00:00; gduvivier; Justiça por André Lemos. Esse caso é bizarro. Racismo descarado https://t.co/63MlBGe0Sh; 28; 94; 671; 17; https://twitter.com/gduvivier/status/1330879908151750660; None; None] 
[2020-11-23 03:15:15+00:00; gduvivier; Toda solidariedade ao povo do Amapá  que achou que finalmente teria um minuto de paz, após 3 semanas de apagão, mas aí veio o Bolsonaro com seu dedo podre e acionou geradores que explodiram a rede elétrica, deixando todo mundo na escuridão novamente. https://t.co/QH1fxRbDcQ; 707; 3386; 24437; 1139; https://twitter.com/gduvivier/status/1330711484305911809; None; None] 
[2020-11-22 02:09:43+00:00; gduvivier; Esse é o Brasil que eu quero! #Boulos50  https://t.co/PM6cukuLTE; 283; 890; 14022; 412; https://twitter.com/gduvivier/status/1330332602524459012; None; None] 
[2020-11-21 14:44:08+00:00; gduvivier; TELESSEXO! https://t.co/SCEBkTBLX0; 14; 3; 99; 2; https://twitter.com/gduvivier/status/1330160070945026061; None; None] 
[2020-11-21 14:24:26+00:00; gduvivier; BOA NOITE, FAMÍLIA é o último programa da 4ª temporada do Greg News.  Assista ao episódio completo: https://t.co/cg9eJdPg7f https://t.co/UOxoiCVAF8; 145; 378; 4318; 164; https://twitter.com/gduvivier/status/1330155113399414787; None; None] 
[2020-11-21 13:45:52+00:00; gduvivier; Manu e a educação https://t.co/5AXN0BJsua; 9; 10; 437; 2; https://twitter.com/gduvivier/status/1330145408539123716; None; https://twitter.com/grisagregorio/status/1329862940116316163] 
[2020-11-21 03:31:18+00:00; gduvivier; Último episódio da 4ª temporada do #GregNews no ar! Um grande viva ao Cadu e a todas as famílias desse Brasil!  Obrigado a geral que fez o programa acontecer neste 2020: toda a nossa maravilhosa equipe e, principalmente a vocês que acompanharam!  BOA NOITE, FAMÍLIA! https://t.co/77pkWuNtda; 179; 433; 5063; 252; https://twitter.com/gduvivier/status/1329990745269350401; None; None] 
[2020-11-21 00:41:14+00:00; gduvivier; “É necessário um país inteiro —negacionista de seu próprio racismo— para espancar um homem negro.” https://t.co/4lGcJtHGfr; 32; 71; 1360; 4; https://twitter.com/gduvivier/status/1329947945979023365; None; https://twitter.com/thiamparo/status/1329944246384812036] 
[2020-11-20 17:02:46+00:00; gduvivier; @xicosa Que saudade, meu amigo!; 2; 0; 52; 0; https://twitter.com/gduvivier/status/1329832569077182466; None; None] 
[2020-11-20 16:44:29+00:00; gduvivier; (TRAILER OFICIAL) TEOCRACIA EM VERTIGEM - ESPECIAL DE NATAL! https://t.co/2Rb89dYPet; 105; 141; 2171; 94; https://twitter.com/gduvivier/status/1329827968382881795; None; None] 
[2020-11-20 02:13:36+00:00; gduvivier; Amanhã encerramento da temporada 2020 do #gregnews! https://t.co/UeMY7MIJb3; 191; 64; 4465; 24; https://twitter.com/gduvivier/status/1329608805173374983; None; https://twitter.com/GregNewsHBO/status/1329431969592172547] 
