2020-12-09 14:03:02+00:00; DouglasGarcia; Segue trecho do parecer da Promotoria de Justiça:   “Não é aceitável o Poder Executivo gastar R$ 90 milhões na Vacina Coronavac e simplesmente negar-se a prestar contas à população que é fundamento (fim) para o desenvolvimento da vacina.; 9169; 71; 1041; 34; https://twitter.com/DouglasGarcia/status/1336672707698634759; None; None
2020-12-09 14:03:01+00:00; DouglasGarcia; URGENTE! MINISTÉRIO PÚBLICO DÁ PARECER FAVORÁVEL À MINHA AÇÃO CONTRA A FALTA DE TRANSPARÊNCIA DO ACORDO ENTRE DÓRIA E A EMPRESA CHINESA E PEDE A PUBLICAÇÃO DO CONTRATO!; 28857; 1555; 5149; 1114; https://twitter.com/DouglasGarcia/status/1336672705823846400; None; None
2020-12-09 11:54:14+00:00; DouglasGarcia; Agora o PDL 22 será pautado em outra sessão extraordinária. Vamos trabalhar para aprová-lo 🙏🏾   João Dória é um monstro cruel e autoritário!; 3013; 50; 348; 18; https://twitter.com/DouglasGarcia/status/1336640293278511105; None; None
2020-12-09 11:54:13+00:00; DouglasGarcia; Atenção: ontem foi pautado o req de urgência do PDL 22 que derruba esse desconto cruel feito por Dória aos idosos, mas a base governista obstruiu e o PDL não foi aprovado! Foi jogado para outra sessão extraordinária. Eu votei pela aprovação da urgência e derrubada do desconto. https://t.co/GNOChi27mY; 6061; 187; 1318; 269; https://twitter.com/DouglasGarcia/status/1336640290149502979; None; None
2020-12-09 03:30:56+00:00; DouglasGarcia; @kimpaim https://t.co/fUvwHgiXzS; 584; 29; 13; 2; https://twitter.com/DouglasGarcia/status/1336513633354919936; None; None
2020-12-09 02:57:33+00:00; DouglasGarcia; Dória tentou aprovar seu requerimento de urgência para prestação de contas do Governo às pressas hoje no plenário... Não conseguiu porque eu não deixei.   É só esse o Tweet https://t.co/p6oEFHcHFu; 10750; 505; 1530; 215; https://twitter.com/DouglasGarcia/status/1336505235410448384; None; None
2020-12-09 02:20:51+00:00; DouglasGarcia; Sem demagogia ou populismo: o que eu quero que vocês saibam é que eu fui eleito por vocês, conservadores, e tudo o que eu fizer no meu mandato será pelos conservadores. Oposição ao Governo Dória está no meu DNA político. Lutarei com todas as armas que eu tenho disponíveis! https://t.co/Oo81UzJKbd; 8580; 280; 1287; 184; https://twitter.com/DouglasGarcia/status/1336495998806450180; None; None
2020-12-09 00:40:28+00:00; DouglasGarcia; Meu discurso hoje no encerramento da Marcha Contra o DitaDória https://t.co/v6Hi6aNEoI; 11099; 371; 1911; 271; https://twitter.com/DouglasGarcia/status/1336470734483447810; None; None
2020-12-08 21:40:49+00:00; DouglasGarcia; O Governo Dória ia aprovar requerimento de urgência para aprovar suas contas nesta sessão ordinária. Obstruí e não deixei passar. Não enquanto o Governo não tirar obstrução do meu PDL 42 que flexibiliza a quarentena no Estado de SP.; 13928; 425; 1835; 181; https://twitter.com/DouglasGarcia/status/1336425526194475011; None; None
2020-12-08 21:23:51+00:00; DouglasGarcia; Meu requerimento de urgência para pautar a flexibilização da quarentena pelo PDL 42 foi obstruído pelo Governo Dória. Será jogado para outra sessão junto a outros requerimentos de urgência. Estou tentando entrar em acordo com outros líderes para colocar em pauta ainda hoje!; 6444; 93; 732; 51; https://twitter.com/DouglasGarcia/status/1336421254643986440; None; None
2020-12-08 21:07:01+00:00; DouglasGarcia; URGENTE!!! Neste momento a ALESP está votando o requerimento de urgência do meu PDL 42/2020 que flexibiliza a quarentena no Estado de SP!; 21517; 490; 2612; 234; https://twitter.com/DouglasGarcia/status/1336417018334097408; None; None
2020-12-08 20:24:07+00:00; DouglasGarcia; Governo Dória na ALESP obstrui projeto que permite a agentes penitenciários andarem armados fora do presídio! https://t.co/Tf1eoslHzm; 3704; 106; 740; 63; https://twitter.com/DouglasGarcia/status/1336406221537075201; None; None
2020-12-08 19:43:18+00:00; DouglasGarcia; A base do Governo Dória na ALESP acaba de me dizer que irá obstruir o meu requerimento de urgência para pautar o PDL 42 que flexibiliza a quarentena no Estado de SP!; 9445; 335; 1334; 102; https://twitter.com/DouglasGarcia/status/1336395949875322883; None; None
2020-12-08 19:11:29+00:00; DouglasGarcia; Em instantes eu subirei à Av Paulista para participar da MARCHA CONTRA O DITADÓRIA; 2755; 59; 261; 27; https://twitter.com/DouglasGarcia/status/1336387944282804227; None; None
2020-12-08 19:09:30+00:00; DouglasGarcia; Estou aqui no plenário da ALESP buscando assinaturas para pautar meu PDL 42 que flexibiliza a quarentena no Estado de SP. 🙏🏾 https://t.co/TZ4PMweQ16; 6117; 101; 769; 52; https://twitter.com/DouglasGarcia/status/1336387443810050048; None; None
2020-12-08 18:08:34+00:00; DouglasGarcia; É PTB, jovem estagiário. https://t.co/g2htpMU56e; 4924; 154; 358; 32; https://twitter.com/DouglasGarcia/status/1336372109606596609; None; https://twitter.com/o_antagonista/status/1336368721951137792
2020-12-08 17:11:45+00:00; DouglasGarcia; @JuarezSantosSo1 @raulnascimentoo Meus sentimentos! 😞 Que Nosso Senhor Jesus Cristo lhe dê forças !; 89; 1; 3; 0; https://twitter.com/DouglasGarcia/status/1336357811786276864; None; None
2020-12-08 12:25:57+00:00; DouglasGarcia; Local de concentração: Av Paulista, 900 (Prédio da Gazeta); 2061; 45; 324; 18; https://twitter.com/DouglasGarcia/status/1336285889220272130; None; None
2020-12-08 12:24:47+00:00; DouglasGarcia; É HOJE! Vamos??? Compartilhem! Concentração: 17h00 Deslocamento: 18h00 Destino: ALESP  Vamos cercar a Assembleia de SP!   #Dia8NaPaulista https://t.co/ofo2YKnt0F; 6391; 118; 1794; 222; https://twitter.com/DouglasGarcia/status/1336285596747239424; None; None
2020-12-08 04:00:54+00:00; DouglasGarcia; Leiam com carinho 🥰 https://t.co/oIuD2VoCLc; 835; 34; 83; 8; https://twitter.com/DouglasGarcia/status/1336158787976237056; None; https://twitter.com/Steh_Papaiano/status/1336152532192808967
2020-12-08 03:30:40+00:00; DouglasGarcia; @esquerdaaquinao Eu preciso sair de porta em porta implorando voto por voto pois o Governo irá pedir votação nominal. Vai ser extremamente difícil, mas nada impossível.; 11; 3; 2; 0; https://twitter.com/DouglasGarcia/status/1336151179055804417; None; None
2020-12-08 03:26:05+00:00; DouglasGarcia; Correção: pode entrar em votação hoje (08/12) na ALESP em sessão extraordinária.; 2386; 21; 152; 6; https://twitter.com/DouglasGarcia/status/1336150025366335488; None; None
2020-12-08 03:24:03+00:00; DouglasGarcia; Prefeitos apoiam meu PDL que flexibiliza a quarentena no Estado de SP. PDL 42  O requerimento de urgência do meu PDL pode entrar em votação amanhã na ALESP!  🙏🏾 https://t.co/x8XUKfVJmK; 4941; 57; 682; 32; https://twitter.com/DouglasGarcia/status/1336149514328154112; None; https://twitter.com/folha/status/1336136676775747585
2020-12-08 02:05:16+00:00; DouglasGarcia; @sihidemi A sessão começa às 19h, meu nobre. Se eu estou pedindo para irmos neste horário é porque eu conheço a Assembleia. Confia 👍🏾; 35; 4; 3; 1; https://twitter.com/DouglasGarcia/status/1336129687995682817; None; None
2020-12-08 01:55:09+00:00; DouglasGarcia; É amanhã! 8 de dezembro às 17h00 na Av Paulista com previsão de deslocamento a partir das 18h00 em Marcha até a ALESP: FORA DITADÓRIA! #Dia8NaPaulista   Posso contar com vocês? Compartilhem! https://t.co/TzzFdfRh9f; 5015; 103; 1278; 169; https://twitter.com/DouglasGarcia/status/1336127142912995328; None; None
2020-12-08 00:48:05+00:00; DouglasGarcia; Estou em live com o professor Hermes Rodrigues Nery falando sobre vacinas. Acompanhem:   https://t.co/3SFXB1VYWA; 1691; 17; 230; 13; https://twitter.com/DouglasGarcia/status/1336110265478344705; None; None
2020-12-07 23:54:38+00:00; DouglasGarcia; Em respeito aos milhões de paulistas, solicito ao Sr Ministro que decline da autorização de distribuição da vacina até que João Dória atenda as exigências do povo e da ciência! Nós estamos tratando de vidas!; 2504; 42; 259; 10; https://twitter.com/DouglasGarcia/status/1336096812160196608; None; None
