2019-11-11 03:43:42+00:00; GabrielaPrioli; Ainda assim ele recorre ao Tribunal Constitucional alegando que concorrer seria um direito humano. Ganha. Assim que ele concorre à última eleição.; 2; 2; 0; 0; https://twitter.com/GabrielaPrioli/status/1193736027099283461; None; None
2019-11-11 03:43:31+00:00; GabrielaPrioli; No exercício desse terceiro mandato, objetivando concorrer ao quarto, faz uma consulta popular sobre reeleições ilimitadas no país e sofre uma derrota. 51% da população vota não.; 3; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1193735984480952322; None; None
2019-11-11 03:43:17+00:00; GabrielaPrioli; Em 2014 ele se candidata novamente. Ele já havia exercido dois mandatos e, em tese, não poderia concorrer, mas ele alega que, na vigência da nova Constituição, exerceu um mandato só. Consegue se reeleger.; 4; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1193735925936918528; None; None
2019-11-11 03:42:37+00:00; GabrielaPrioli; Vamos lá. Me explicando. Evo começa seu primeiro mandato em 2006. Na época não existia reeleição na Bolívia. Em 2009 é promulgada uma nova Constituição na Bolívia e ele ganha o direito de se reeleger. Se reelege.; 4; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1193735754788278272; None; None
2019-11-11 03:28:19+00:00; GabrielaPrioli; @joaocgl Não acho. Disse que é um movimento bizarro e não afastei a ideia de golpe, só quero algo que considere tudo.; 5; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1193732157983866881; None; None
2019-11-11 03:23:07+00:00; GabrielaPrioli; Sabe aquela história de que a porta que abre pra entrar, abre pra sair? Esse é o perigo dos expedientes que fragilizam o regime democrático.; 11; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1193730849117818880; None; None
2019-11-11 03:21:05+00:00; GabrielaPrioli; Gente... eu entendo que a renúncia depois do anúncio de novas eleições seguindo a orientação da OEA é um movimento bizarro, mas ninguém, em defesa da democracia, vai falar do Evo se mantendo no poder no tapetão? Eu só queria ouvir uma opinião que considerasse o todo.; 31; 7; 2; 2; https://twitter.com/GabrielaPrioli/status/1193730336838094852; None; None
2019-11-09 16:40:37+00:00; GabrielaPrioli; @augustodeAB @folha Perfeito!; 1; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1193206772259000320; None; None
2019-11-09 01:39:39+00:00; GabrielaPrioli; @BortoloArtur Tecnicamente é 2011-2014 pq eu passei em 2010, mas começou em 2011. Bom, deu pra ter ideia.; 1; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1192980034228764673; None; None
2019-11-09 01:38:43+00:00; GabrielaPrioli; @BortoloArtur Vixe gente, mestrado tem turma? Sei nem contar a da faculdade (não sei se é o ano do começo ou do final). Sou mackenzista (2005-2010) c mestrado na USP (2010-2014).; 1; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1192979801021337601; None; None
2019-11-09 01:37:22+00:00; GabrielaPrioli; @ChrisLamardo Vc viu só! To uma máquina de tweets!; 3; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1192979459663683586; None; None
