2020-06-03 21:40:28+00:00; LeoLins; . https://t.co/MlgkaAxQKi; 2718; 55; 384; 31; https://twitter.com/LeoLins/status/1268296517682692096; None; None
2020-05-18 14:40:43+00:00; LeoLins; @lf_Rothstein nao; 3; 2; 0; 0; https://twitter.com/LeoLins/status/1262392680597905410; None; None
2020-05-08 22:52:06+00:00; LeoLins; @jaybergamini hahaha falou!; 4; 1; 0; 0; https://twitter.com/LeoLins/status/1258892460434087936; None; None
2020-05-08 15:57:55+00:00; LeoLins; Em breve Whatahell HQ https://t.co/KmFOT8JtgD; 225; 20; 8; 2; https://twitter.com/LeoLins/status/1258788230641614850; None; None
2020-05-06 21:18:34+00:00; LeoLins; Coreano q nada... esse chinês pegou o livrk p copiar! : )RT @PyongLeeTV: @RogerioVilela @LeoLins Me chama no WhatsApp kkkkkk; 268; 10; 10; 1; https://twitter.com/LeoLins/status/1258144147929784327; None; None
2020-04-29 19:36:09+00:00; LeoLins; @rsadovski @lullylucky : / poxa. Jovem, talentoso e super gente boa; 8; 0; 0; 0; https://twitter.com/LeoLins/status/1255581656976633867; None; None
2020-04-26 17:19:34+00:00; LeoLins; Hahahahahah RT @rossetto_pedro: @LeoLins https://t.co/1UFPKntBeV; 88; 15; 2; 1; https://twitter.com/LeoLins/status/1254460123071873024; None; None
2020-04-24 15:39:14+00:00; LeoLins; ... https://t.co/SD8fhCXAGw; 708; 26; 96; 9; https://twitter.com/LeoLins/status/1253710097479536640; None; None
2020-04-24 13:46:58+00:00; LeoLins; Em 15 dias lançamento da HQ Whatahell https://t.co/zcKN2yKb8F; 155; 7; 10; 0; https://twitter.com/LeoLins/status/1253681841770561537; None; None
2020-04-15 12:56:41+00:00; LeoLins; Bom dia https://t.co/2Q4Tw1OoFK; 577; 24; 51; 2; https://twitter.com/LeoLins/status/1250407698446893058; None; None
2020-04-11 21:10:11+00:00; LeoLins; Ja pode comer carne https://t.co/e3YkmGTb4K; 1569; 61; 177; 21; https://twitter.com/LeoLins/status/1249082339566784514; None; None
2020-04-10 15:56:05+00:00; LeoLins; @GTosqu1nha foda : /; 11; 1; 0; 0; https://twitter.com/LeoLins/status/1248640906745577472; None; None
2020-04-05 20:10:33+00:00; LeoLins; . https://t.co/sXIWsY7BES; 817; 19; 93; 6; https://twitter.com/LeoLins/status/1246893007447699456; None; None
2020-04-04 16:48:41+00:00; LeoLins; Ja aprenderam algo na Quarentena? https://t.co/Vez3nLvaO1; 522; 32; 35; 3; https://twitter.com/LeoLins/status/1246479816200683521; None; None
2020-04-03 18:28:28+00:00; LeoLins; 36 dias para o lançamento dessa HQ https://t.co/y7cs6vvyPT; 491; 15; 32; 3; https://twitter.com/LeoLins/status/1246142541319241730; None; None
2020-04-02 13:32:20+00:00; LeoLins; Hahahahahha RT @celsoportiolli: Que porcaria esse tipo de meme. Deveriam banir da rede https://t.co/46rOwVWqAW; 423; 27; 38; 9; https://twitter.com/LeoLins/status/1245705626455379968; None; None
2020-04-02 13:30:56+00:00; LeoLins; A Mafalda você ja deve conhecer, agora deslize pro lado para conhecer Lara, a filha adotada pelo Diabo e sua esposa depressiva Lia. Lara é irmã de Cris o filho gay que está mais preocupado com namorados do que estudos. Essa é a HQ WHATAHELL que será lançada em 37 dias. https://t.co/Em3AiWwV3M; 246; 11; 14; 3; https://twitter.com/LeoLins/status/1245705277783060481; None; None
2020-03-19 17:25:38+00:00; LeoLins; ... mas esse aqui apareceu no meu prédio https://t.co/cV92aICkyb; 1061; 77; 90; 27; https://twitter.com/LeoLins/status/1240690910016327681; None; None
2020-03-19 17:25:15+00:00; LeoLins; Não sei onde apareceu esse cartaz https://t.co/uIOOjunb0P; 231; 10; 9; 2; https://twitter.com/LeoLins/status/1240690812536537088; None; None
2020-03-16 21:24:51+00:00; LeoLins; @_johnalissonx hahahahha vlwwww irmao!!!; 2; 0; 1; 0; https://twitter.com/LeoLins/status/1239663947927752704; None; None
2020-03-16 21:24:37+00:00; LeoLins; @TheMathsVictor porra vlww ter ido la!!!!; 2; 1; 0; 0; https://twitter.com/LeoLins/status/1239663886816759813; None; None
2020-03-16 21:24:00+00:00; LeoLins; @susuvictor vlwww; 1; 0; 0; 0; https://twitter.com/LeoLins/status/1239663732567015425; None; None
2020-03-16 21:22:18+00:00; LeoLins; @KleberOlimpio hahahah vlwww; 1; 0; 0; 0; https://twitter.com/LeoLins/status/1239663305603649542; None; None
2020-03-05 21:56:37+00:00; LeoLins; @RogerioMorgado @albaexpider hahahahhahaah; 21; 0; 0; 0; https://twitter.com/LeoLins/status/1235685674746957824; None; None
2020-03-05 03:04:52+00:00; LeoLins; Nada! Pelo contrário as notícias dizem que realmente deveriam proibir hahahaha RT @albaexpider: Todo mundo falando de um monte de coisa. O @LeoLins foi censurado em Suzano. Alguma manchete?; 1295; 22; 62; 1; https://twitter.com/LeoLins/status/1235400862278664193; None; None
2020-03-01 06:21:15+00:00; LeoLins; @ElianeLuciane vlwwwww; 29; 1; 0; 0; https://twitter.com/LeoLins/status/1234000731109281792; None; None
2020-02-29 18:09:40+00:00; LeoLins; Obrigado Brasil RT @jesseamaral: Boa @LeoLins  A galera pira! https://t.co/eqJVMXzVP8; 321; 55; 14; 5; https://twitter.com/LeoLins/status/1233816621258506242; None; None
2020-02-25 20:09:33+00:00; LeoLins; Hahahahahaha RT @brunoazzo: @hmcpedro @LeoLins Pedro, vc vai denunciar o Léo Lins por estupro? Comeu teu cu ao vivo, faça alguma coisa!!; 686; 42; 21; 1; https://twitter.com/LeoLins/status/1232397240775262208; None; None
2020-02-25 20:07:42+00:00; LeoLins; Cara, so nao vou citar números pra você nao ficar ainda mais deprimido do que ja é. Boa sorte (cont) https://t.co/nqgpVVmK1H; 768; 21; 9; 1; https://twitter.com/LeoLins/status/1232396776264601602; None; None
2020-02-01 04:07:37+00:00; LeoLins; @chevectra87 procura pro @jackimuniz nO instagram que ela te ajuda a resolver o problema. Abs cara; 8; 2; 0; 0; https://twitter.com/LeoLins/status/1223457851093463040; None; None 
