2019-06-13 15:11:33+00:00; LeoLins; Aquela piadinha pra descontrair https://t.co/jygqXBMmai; 1202; 97; 53; 16; https://twitter.com/LeoLins/status/1139188562769907712; None; None
2019-06-08 16:34:41+00:00; LeoLins; Entendedores entenderão RT @AUGUSTOPUPIO: Ah, um brasileiro pra chutar esse castelo, hein, @LeoLins ? https://t.co/EpZhp7HYFl; 117; 4; 4; 0; https://twitter.com/LeoLins/status/1137397545569857536; None; None
2019-06-07 14:29:31+00:00; LeoLins; @aguaantonio01 hahahahah po vlwwww; 2; 1; 0; 0; https://twitter.com/LeoLins/status/1137003660922294272; None; None
2019-06-04 14:21:06+00:00; LeoLins; Ate na foto sou censurado RT @Kassia_Teixeira: E eu que tentei tirar uma foto do cartaz do show do @LeoLins aqui em Porto Alegre e saiu isso 🤦🏻‍♀️ https://t.co/720X6QHxR9; 238; 12; 5; 2; https://twitter.com/LeoLins/status/1135914377725456385; None; None
2019-06-03 15:22:27+00:00; LeoLins; @XboxMilGrau_ ta no caminho certo entao; 884; 54; 45; 14; https://twitter.com/LeoLins/status/1135567429625626624; None; None
2019-06-03 15:21:16+00:00; LeoLins; @_sanjack hahahhaha; 14; 1; 1; 0; https://twitter.com/LeoLins/status/1135567130244595712; None; None
2019-04-29 23:11:15+00:00; LeoLins; Ô louco, bicho! https://t.co/CnJSZkvT4j; 56; 6; 1; 1; https://twitter.com/LeoLins/status/1123001830676553729; None; None
2019-04-25 18:44:11+00:00; LeoLins; https://t.co/ONSYiPPauc; 25; 3; 1; 0; https://twitter.com/LeoLins/status/1121485071578554368; None; None
2019-04-24 01:49:07+00:00; LeoLins; Obg padre! RT @camillians: @LeoLins Parabéns pelo Show 25/04 #bullying #arte #standupcomedy  https://t.co/pfOvGM1SkL; 43; 4; 0; 0; https://twitter.com/LeoLins/status/1120867233570410499; None; None
2019-04-18 21:11:05+00:00; LeoLins; @pcarvalhojp @EvaJovemPan vlwwww!!!! Curti mt; 22; 3; 0; 0; https://twitter.com/LeoLins/status/1118985325269987329; None; None
2019-04-17 15:00:12+00:00; LeoLins; https://t.co/EfdgqcvINE; 25; 2; 2; 0; https://twitter.com/LeoLins/status/1118529599741288448; None; None
2019-04-16 15:00:12+00:00; LeoLins; https://t.co/EKvQ9xaADQ; 19; 1; 3; 0; https://twitter.com/LeoLins/status/1118167212483907584; None; None
2019-04-16 00:35:40+00:00; LeoLins; Vem que a entrevista na Kiss tá sensacional!  https://t.co/Idi7qkVOMU https://t.co/wnNGwQOmZu; 39; 2; 1; 0; https://twitter.com/LeoLins/status/1117949644326174720; None; None
2019-04-13 21:04:06+00:00; LeoLins; Rodada da Noite - Ingressos para Sandy &amp; Jr. https://t.co/oVvabs1lZv; 55; 2; 1; 0; https://twitter.com/LeoLins/status/1117171625496068096; None; None
2019-04-13 14:12:51+00:00; LeoLins; @Felipe_Davi vlwwww; 7; 0; 0; 0; https://twitter.com/LeoLins/status/1117068134182215682; None; None
2019-04-12 18:27:42+00:00; LeoLins; . https://t.co/QrIuJs2ajk; 4344; 339; 362; 41; https://twitter.com/LeoLins/status/1116769879695269888; None; None
2019-04-12 01:41:17+00:00; LeoLins; A verdadeira história de JOINVILLE. DOMINGO to ai!! 75% vendido!!!! ***link para ingresso nos comentários*** https://t.co/U7OrXPV7xm; 79; 2; 3; 0; https://twitter.com/LeoLins/status/1116516605654110208; None; None
2019-04-11 15:15:17+00:00; LeoLins; A verdadeira história de Itajaí. SABADO to ai com vcs, 80% vendidos nos vemos em breve ***link para ingresso nos comentarios*** https://t.co/OrPl1ULZQg; 74; 5; 0; 1; https://twitter.com/LeoLins/status/1116359066828320768; None; None
2019-04-09 13:30:47+00:00; LeoLins; Dorianal, pra entrar melhor no seu dia. https://t.co/RGDxZXXO3o; 48; 2; 2; 0; https://twitter.com/LeoLins/status/1115607995818205190; None; None
