[2020-12-05 00:26:27+00:00; felipeneto; @PriscilaaNeri Então você está me chamando de mentiroso, visto que eu já falei mais de 50 vezes publicamente:  EU NÃO VOU ENTRAR PRA POLÍTICA.; 4; 1; 31; 0; https://twitter.com/felipeneto/status/1335017655288410114; None; None] 
[2020-12-05 00:25:11+00:00; felipeneto; A prova de que o Brasil tem o oportunismo entranhado em sua cultura é q basta qualquer pessoa influente se posicionar sobre política que muita gente presume q ela quer se lançar candidata.  Até hoje tem gente que JURA que eu vou entrar pra política.; 291; 90; 6203; 32; https://twitter.com/felipeneto/status/1335017336433242114; None; None] 
[2020-12-05 00:21:04+00:00; felipeneto; @PriscilaaNeri Oi Priscila, tudo bom? Vc vai admitir q estava completamente equivocada nesse tweet?; 2; 0; 25; 0; https://twitter.com/felipeneto/status/1335016302562381825; None; None] 
[2020-12-04 17:47:27+00:00; felipeneto; O mesmo delegado que me indiciou absurdamente por “corrupção de menores”, agora fez isso com William Bonner e Renata Vasconcelos.  Fiquem atentos. Isso é muito sério. Algo precisa ser feito. https://t.co/iomUjgktYe; 468; 671; 11429; 77; https://twitter.com/felipeneto/status/1334917245848477697; None; https://twitter.com/LuisAdorno/status/1334902167782780936] 
[2020-12-04 14:42:01+00:00; felipeneto; Uma das matérias mais impressionantes que já li em toda a minha vida.  Minha solidariedade a todas as vítimas. Eu não consigo imaginar o que vcs sentiram e sentem ainda hoje.  É muito inacreditável.  https://t.co/jdwvDhiYMj; 517; 982; 18671; 371; https://twitter.com/felipeneto/status/1334870577904050184; None; None] 
[2020-12-04 05:10:11+00:00; felipeneto; @ratoborrachudo Se piorar me liga q eu ligo pra minha psiquiatra.; 4; 1; 260; 1; https://twitter.com/felipeneto/status/1334726671191126016; None; None] 
[2020-12-04 05:07:36+00:00; felipeneto; @ratoborrachudo Não feche os olhos antes de desligar o  celular.  Não desligue o celular antes de ler o resto das dicas.  Ps: isso é o q funciona comigo, pode não funcionar pra vc. Amanhã, procure um especialista médico.; 3; 1; 136; 0; https://twitter.com/felipeneto/status/1334726023930327040; None; None] 
[2020-12-04 05:05:57+00:00; felipeneto; @ratoborrachudo Bom, o q funciona COMIGO:  Feche os olhos; Desligue o celular; Concentre-se fortemente em entender pq vc está com medo; Fale em voz alta consigo mesmo, faça perguntas sobre seus medos e responda, descubra quais são; Todo pensamento negativo q surgir, bloqueie e desvie.; 9; 1; 322; 3; https://twitter.com/felipeneto/status/1334725607587012610; None; None] 
[2020-12-04 05:02:45+00:00; felipeneto; @ratoborrachudo Uns 10 anos atrás, eu chega a ter 2 crises por semana...  Hoje, nos últimos 5 anos eu tive umas 3 ao todo.; 6; 0; 241; 0; https://twitter.com/felipeneto/status/1334724801580175362; None; None] 
[2020-12-04 05:01:12+00:00; felipeneto; @ratoborrachudo Isso é sintoma de ansiedade, q tá acima do normal q seu corpo consegue aguentar, então se manifesta com sintoma físico. Eu só sei pq sofri por anos.  Amanhã procura um psiquiatra, isso é completamente tratável, mas TEM que tratar, não ignora, pq a tendência é piorar.; 3; 1; 336; 3; https://twitter.com/felipeneto/status/1334724412663345152; None; None] 
[2020-12-04 04:40:13+00:00; felipeneto; A Secretaria de Comunicação do governo federal é MENTIROSA.  O tempo todo mente, distorce, manipula tudo pra fingir que o país está indo bem, qnd na verdade nunca estivemos tão mal!  Esse gráfico foi uma vergonha!  Ainda bem q o @DiVasca corrigiu. Compartilhem. https://t.co/O2mHawh3ql; 334; 1275; 12704; 202; https://twitter.com/felipeneto/status/1334719130956607489; None; None] 
[2020-12-04 00:22:24+00:00; felipeneto; @soxdc Eu tb não sei, só sou cara de pau e saio falando merda.; 14; 0; 74; 0; https://twitter.com/felipeneto/status/1334654251814051840; None; None] 
[2020-12-04 00:18:12+00:00; felipeneto; Eu aprendendo a seduzir com a @camilladelucas   https://t.co/HBwdEI4aGQ; 267; 94; 5925; 47; https://twitter.com/felipeneto/status/1334653192425107457; None; None] 
[2020-12-03 17:27:42+00:00; felipeneto; Eu adoro essa galera q fala "ah sonhei que estava em Paris, visitei o Louvre, não tinha fila, foi tão bom"...  Meus sonhos: https://t.co/IENuo5DLcc; 455; 654; 12967; 138; https://twitter.com/felipeneto/status/1334549887862648833; None; None] 
[2020-12-03 16:08:54+00:00; felipeneto; Ah nao mano, isso é bom demais. Mandem suas artes. https://t.co/FzmkHL8SkD; 318; 36; 3603; 18; https://twitter.com/felipeneto/status/1334530055888920578; None; https://twitter.com/netolab_/status/1334527202218610688] 
