2020-10-30 03:32:20+00:00; danilogentili; Mais uma noite legal com meus amigos @diogoportugal @oscarfilho @igorzismo e @crisspaiva . Obrigado pra todos vocês que compareceram lá nessa noite chuvosa. Quinta que vem tamo de volta com o @standupraiz .; 27905; 268; ; ; https://www.instagram.com/p/CG8-Q6bnt75/
2020-10-23 01:45:35+00:00; danilogentili; ; 9885; 258; ; ; https://www.instagram.com/p/CGqwXH_nycQ/
2020-10-20 14:52:50+00:00; danilogentili; A distância é como os ventos: apaga as velas e acende as grandes fogueiras. Não importa a distância que nos separa se há um céu que nos une. - foto: @gabrielcardosofoto; 57575; 1249; ; ; https://www.instagram.com/p/CGkcMPuHG8-/
2020-10-19 15:59:00+00:00; danilogentili; Me diverti muito no último golpe do drive-in. E pelo tanto que os faróis piscaram o público também se divertiu :) Obrigado pra todo mundo que foi!; 4115; 64; ; ; https://www.instagram.com/p/CGh-uDtHye9/
2020-10-18 14:45:56+00:00; danilogentili; Ontem eu me diverti muito nesse show. E pelas piscadas dos faróis o público também. Obrigado pra todo mundo que foi no último golpe!; 35903; 221; ; ; https://www.instagram.com/p/CGfRz_JH_3Q/
2020-10-16 03:50:52+00:00; danilogentili; O #StandupRaiz hoje foi demais! Dividir camarim com os amigos @diogoportugal @oscarfilho e @murilocouto não tem preço. Encontrar uma platéia muito afim de se divertir sem mimimi deixa tudo melhor ainda. Quinta que vem tem mais :); 19948; 283; ; ; https://www.instagram.com/p/CGY9QaOHJG1/
2020-10-15 21:20:52+00:00; danilogentili; Em breve THE NOITE ESPECIAL HALLOWEEN!; 35877; 533; ; ; https://www.instagram.com/p/CGYQn92HNp5/
2020-10-15 16:28:32+00:00; danilogentili; O @its.marcosarts soube captar todo meu estilo, elegância e requinte de alto padrão. Um gênio do ultra-realismo.; 27181; 258; ; ; https://www.instagram.com/p/CGXvK0gHxI6/
2020-10-14 22:26:44+00:00; danilogentili; THE NOITE ESPECIAL HALLOWEEN - BREVE!; 15857; 260; ; ; https://www.instagram.com/p/CGVzN_Knoi6/
2020-10-14 13:51:51+00:00; danilogentili; Sempre que eu tô trabalhando em alguma idéia nova e quero ficar em paz eu vou lá no @spamed - fico de boas, descanso, como direitinho e mantenho o foco pra trabalhar em coisa nova. É pertinho de São Paulo e recomendo muito!; 74150; 913; ; ; https://www.instagram.com/p/CGU4cXPiVF4/
2020-10-11 17:06:43+00:00; danilogentili; We are the champion, meoooo!; 46725; 347; ; ; https://www.instagram.com/p/CGNgXAjH65D/
2020-10-10 21:30:06+00:00; danilogentili; Hoje eu fiz coisas que eu não fazia faz tempo, como por exemplo, comer direito. Fora isso fiz massagem, relaxei e tive um dia muito legal :) Recomendo muito que vocês passem um tempinho aqui no @spamed :); 67873; 1509; ; ; https://www.instagram.com/p/CGLZtK0H4TQ/
