[2020-10-19 15:59:00+00:00; danilogentili; Me diverti muito no último golpe do drive-in. E pelo tanto que os faróis piscaram o público também se divertiu :) Obrigado pra todo mundo que foi!; https://www.instagram.com/p/CGh-uDtHye9/; 4096; 64] 
[2020-10-18 14:45:56+00:00; danilogentili; Ontem eu me diverti muito nesse show. E pelas piscadas dos faróis o público também. Obrigado pra todo mundo que foi no último golpe!; https://www.instagram.com/p/CGfRz_JH_3Q/; 35863; 221] 
[2020-10-16 03:50:52+00:00; danilogentili; O #StandupRaiz hoje foi demais! Dividir camarim com os amigos @diogoportugal @oscarfilho e @murilocouto não tem preço. Encontrar uma platéia muito afim de se divertir sem mimimi deixa tudo melhor ainda. Quinta que vem tem mais :); https://www.instagram.com/p/CGY9QaOHJG1/; 19927; 283] 
[2020-10-15 21:20:52+00:00; danilogentili; Em breve THE NOITE ESPECIAL HALLOWEEN!; https://www.instagram.com/p/CGYQn92HNp5/; 35850; 533] 
[2020-10-15 16:28:32+00:00; danilogentili; O @its.marcosarts soube captar todo meu estilo, elegância e requinte de alto padrão. Um gênio do ultra-realismo.; https://www.instagram.com/p/CGXvK0gHxI6/; 27158; 257] 
[2020-10-14 22:26:44+00:00; danilogentili; THE NOITE ESPECIAL HALLOWEEN - BREVE!; https://www.instagram.com/p/CGVzN_Knoi6/; 15817; 260] 
[2020-10-14 13:51:51+00:00; danilogentili; Sempre que eu tô trabalhando em alguma idéia nova e quero ficar em paz eu vou lá no @spamed - fico de boas, descanso, como direitinho e mantenho o foco pra trabalhar em coisa nova. É pertinho de São Paulo e recomendo muito!; https://www.instagram.com/p/CGU4cXPiVF4/; 74106; 913] 
[2020-10-11 17:06:43+00:00; danilogentili; We are the champion, meoooo!; https://www.instagram.com/p/CGNgXAjH65D/; 46697; 347] 
[2020-10-10 21:30:06+00:00; danilogentili; Hoje eu fiz coisas que eu não fazia faz tempo, como por exemplo, comer direito. Fora isso fiz massagem, relaxei e tive um dia muito legal :) Recomendo muito que vocês passem um tempinho aqui no @spamed :); https://www.instagram.com/p/CGLZtK0H4TQ/; 67846; 1509] 
[2020-10-08 17:04:22+00:00; danilogentili; Somos um programa falado em português que ultrapassou tradicionais programas falados em inglês. Estamos na madrugada e superamos programas de outras emissoras em horário nobre. Obrigado à todos que trabalham comigo, torcem à favor e obrigado à todos vocês que nos assistem :); https://www.instagram.com/p/CGFxtILnW1r/; 103080; 2453] 
[2020-10-08 13:37:23+00:00; danilogentili; Sou fã desses baitolas aqui! Passando a pandemia quero o @fundodequintal_ofc no meu estúdio pra meter voadoras! Aliás, no dia das crianças (próxima segunda) eles farão um musical especial pra gente no The Noite!; https://www.instagram.com/p/CGFZ2Q1nxvk/; 104335; 875] 
[2020-10-04 23:25:27+00:00; danilogentili; O @tatolagodas e o @dennysmotta ficaram me encoxando no @encrencaredetv - vou meter processo em todo mundo!; https://www.instagram.com/p/CF8KItYH-_f/; 23289; 242] 
[2020-10-03 21:34:30+00:00; danilogentili; Parabéns ao artista que criou essa obra de arte.; https://www.instagram.com/p/CF5YpTNnmMc/; 74287; 1171] 
[2020-10-02 21:33:47+00:00; danilogentili; Ontem foi noite de stand-up raiz no @comedysampaclub com @diogoportugal, @avivianafreitas e @murilocouto; https://www.instagram.com/p/CF2zxF0nk88/; 25237; 237] 
[2020-10-02 16:51:13+00:00; danilogentili; Sem dúvida alguma um dos mais belos e cobiçados galãs do Brasil. E ao lado dele @caiocastro.; https://www.instagram.com/p/CF2Tbkjn855/; 188682; 2701] 
[2020-09-24 15:30:32+00:00; danilogentili; #tbt de um golpe que rolou aí umas semanas atrás. - Vai rolar outro golpe! Confere aí nos meus stories!  filmagem: @maispix e @jeffilms; https://www.instagram.com/p/CFhjjxbHpv4/; 6941; 131] 
[2020-09-22 01:53:42+00:00; danilogentili; Recado Importante!; https://www.instagram.com/p/CFa8v3gn3Ha/; 44073; 1750] 
[2020-09-13 02:14:55+00:00; danilogentili; Estraguei o drive-in do @murilocouto hoje - o óculos é culpa do terçol.; https://www.instagram.com/p/CFD0CwQH9pp/; 30271; 249] 
[2020-09-11 16:43:54+00:00; danilogentili; Corre que o Sr. Xuca tá bravo. O @diguinhocoruja se grava fazendo a Xuca e depois não aguenta.; https://www.instagram.com/p/CFANzAhH3SF/; 12291; 488] 
[2020-09-09 23:51:24+00:00; danilogentili; Encontrei uma plataforma onde acho que terei mais liberdade, então farei umas lives por lá. Me segue lá que acho que será legal.; https://www.instagram.com/p/CE71FosHRpO/; 41087; 762] 
[2020-09-09 01:01:03+00:00; danilogentili; Eu falo assim por acaso? Não!; https://www.instagram.com/p/CE5YYgFHQAU/; 14245; 393] 
[2020-09-08 23:12:13+00:00; danilogentili; VÍDEO BOMBA: Vazou o @diguinhocoruja fazendo a chuca! @joaoklebersoueu , veja essa barbaridade!; https://www.instagram.com/p/CE5LlSBHIlc/; 43655; 5273] 
[2020-09-07 00:14:34+00:00; danilogentili; Tentei criar um formato de show maluco exclusivamente para quem fosse maluco o suficiente para sair de casa pra assistir comédia de dentro do carro num estádio de futebol. Fiquei feliz com as buzinadas que recebi de vocês. Espero que tenham tido uma noite diferente e divertida hoje. Obrigado pra todos vocês que foram assistir e fizeram parte disso :) E LEMBREM-SE: “Sou apenas um grão de açúcar no oceano” (Quem foi sabe do que estou falando).; https://www.instagram.com/p/CE0JgAyn0U3/; 77502; 784] 
[2020-09-06 00:28:10+00:00; danilogentili; Trabalhando para o show de amanhã no @allianzparque; https://www.instagram.com/p/CExmQtunP4s/; 22032; 313] 
[2020-09-05 17:10:23+00:00; danilogentili; Ela não é uma flor?; https://www.instagram.com/p/CEw0HGbn1mw/; 28679; 776] 
