[2020-12-03 12:49:45+00:00; sigaoflavio; @carapanarana E por isso já preenche os requisitos mínimos para assumir um Ministério; 1; 0; 46; 0; https://twitter.com/sigaoflavio/status/1334479939974950912; None; None] 
[2020-12-03 12:39:29+00:00; sigaoflavio; Sobre a (im)prescritibilidade do crime de injúria racial, escrevi esse texto aqui: https://t.co/S6QrfabpX6 https://t.co/56YwNXyy6b; 0; 1; 17; 0; https://twitter.com/sigaoflavio/status/1334477353423138816; None; None] 
[2020-12-03 11:48:43+00:00; sigaoflavio; Agora vemos que aqueles discursos ferozes contra as primeiras vacinas e seus riscos foram todos em vão. As primeiras vacinas não chegarão ao Brasil. A Europa já inicia a aplicação da vacina da Pfizer nos próximos dias. Pelo menos, temos o maior estoque de cloroquina do mundo 🇧🇷; 7; 18; 483; 3; https://twitter.com/sigaoflavio/status/1334464579338973185; None; None] 
[2020-12-03 11:04:30+00:00; sigaoflavio; @Izabell34138101 Obrigado pela gentileza!; 0; 0; 0; 0; https://twitter.com/sigaoflavio/status/1334453451070169089; None; None] 
[2020-12-03 03:13:15+00:00; sigaoflavio; @opropriolavo Por esse critério, a Beyoncée é a nova Presidente dos EUA 🤦🏻‍♂️😎; 3; 0; 31; 0; https://twitter.com/sigaoflavio/status/1334334856701075457; None; None] 
[2020-12-03 02:56:44+00:00; sigaoflavio; @Toomdaniel @madeiradez Obrigado!; 0; 0; 1; 0; https://twitter.com/sigaoflavio/status/1334330701848735748; None; None] 
[2020-12-03 02:53:44+00:00; sigaoflavio; @RodrigoHaidar Esse é, na minha opinião, o melhor final de um livro em todos os tempos. Que final! Que frase! Que verdade!; 1; 0; 4; 0; https://twitter.com/sigaoflavio/status/1334329944416149504; None; None] 
[2020-12-03 02:52:54+00:00; sigaoflavio; @pbernardoc George copiou Humberto. Rs; 1; 0; 5; 0; https://twitter.com/sigaoflavio/status/1334329734650621954; None; None] 
[2020-12-03 02:48:21+00:00; sigaoflavio; Vendo certos grupos de servidores tentando se colocar como prioritários na futura vacinação, faz-me lembrar de George Orwell: “todos são iguais, mas uns são mais iguais que os outros”.; 12; 68; 858; 4; https://twitter.com/sigaoflavio/status/1334328590238953475; None; None] 
[2020-12-03 00:01:13+00:00; sigaoflavio; @tetiizz_ Obrigado pela gentileza!; 0; 0; 1; 0; https://twitter.com/sigaoflavio/status/1334286532254052354; None; None] 
[2020-12-02 23:45:32+00:00; sigaoflavio; O general, Ministro da Saúde, afirmou que “não se fala mais em afastamento social”, pois, segundo ele, isso não causou efeitos nocivos. Enquanto isso, UTI’s novamente lotadas. Na boa, ser “detrator” é fácil nesse país. Assinado: 45; 8; 12; 522; 3; https://twitter.com/sigaoflavio/status/1334282585103593474; None; None] 
[2020-12-02 21:19:05+00:00; sigaoflavio; @jturetta Sim, decidimos trocar a capa também. Vai com a capa de “o morro dos ventos uivantes”. 😂; 0; 0; 3; 0; https://twitter.com/sigaoflavio/status/1334245728055664642; None; None] 
[2020-12-02 19:59:38+00:00; sigaoflavio; @lucianosenasilv @Madeira @madeiradez Então peça desculpas à Ilha da Madeira! Rsrs; 1; 0; 2; 0; https://twitter.com/sigaoflavio/status/1334225733456187396; None; None] 
[2020-12-02 19:55:32+00:00; sigaoflavio; @Madeira @lucianosenasilv @madeiradez A crítica é ao “Guilherme Madeira” (@madeiradez). Eu amo a Ilha da Madeira (@madeira). Abraço aos amigos portugueses.; 0; 0; 0; 0; https://twitter.com/sigaoflavio/status/1334224701531492352; None; None] 
[2020-12-02 19:52:59+00:00; sigaoflavio; @SLGBress E influencer. Rs; 1; 0; 3; 0; https://twitter.com/sigaoflavio/status/1334224061656862730; None; None] 
[2020-12-02 18:29:25+00:00; sigaoflavio; @madeiradez Ah, volta para o U2!; 1; 0; 17; 0; https://twitter.com/sigaoflavio/status/1334203032037429250; None; None] 
[2020-12-02 17:35:47+00:00; sigaoflavio; PAREM O DETRATOR! STOP THE COUNT! Acaba de ser publicado um novo livro do qual tenho a honra de participar: CONSTITUIÇÃO EM TEMPOS DE CRISE, escrito pelos membros da comissão de Constitucional da OAB/SP. Escrevo sobre "liberdade de expressão".  No site: https://t.co/3352FUaDHx https://t.co/PamDY4yDef; 0; 2; 66; 0; https://twitter.com/sigaoflavio/status/1334189534309912578; None; None] 
[2020-12-02 16:39:43+00:00; sigaoflavio; @AndejoGaucho Aqui não é comunismo, brother. 😂; 2; 0; 5; 0; https://twitter.com/sigaoflavio/status/1334175424369274885; None; None] 
[2020-12-02 16:01:58+00:00; sigaoflavio; A PROMOÇÃO VOLTOU! Aproveitando os 15 minutos de fama, por figurar numa lista governamental de detratores, meu livro "Curso de Direito Constitucional" (agora conhecido como "proibidão") está com 60% de desconto. Compre aqui e pratique esse ato de ousadia: https://t.co/NQ9w59pSB8 https://t.co/DffPi286wY; 18; 7; 254; 1; https://twitter.com/sigaoflavio/status/1334165924446875649; None; None] 
[2020-12-02 15:25:14+00:00; sigaoflavio; @LipeDXS Obrigado! Seja bem-vindo. Desculpe pelas propagandas que virão (livros, aulas etc). O movimento revolucionário dos detratores não paga nada pela atuação. Rs; 1; 1; 5; 0; https://twitter.com/sigaoflavio/status/1334156678397308930; None; None] 
[2020-12-02 14:43:06+00:00; sigaoflavio; STF suspendeu liminarmente o Decreto que instituiu a “Política Nacional de Educação Especial”, por clara violação à Convenção sobre os Direitos das Pessoas com Deficiência.  Escrevemos sobre isso: https://t.co/qfMnBd3UDy https://t.co/GzNMQ7Bxha; 5; 11; 132; 2; https://twitter.com/sigaoflavio/status/1334146074819366915; None; None] 
[2020-12-02 11:02:01+00:00; sigaoflavio; Que demais! Obrigado pelo carinho e pela audiência! https://t.co/PdmrwFW2Ne; 2; 0; 44; 0; https://twitter.com/sigaoflavio/status/1334090437397798912; None; https://twitter.com/dannyeldelgado/status/1334089232504262657] 
[2020-12-02 04:16:23+00:00; sigaoflavio; @profgjunqueira Valeu, Gustavo!!!! 👊🏻; 0; 0; 11; 0; https://twitter.com/sigaoflavio/status/1333988358809333760; None; None] 
[2020-12-02 04:14:37+00:00; sigaoflavio; @otavioestarque @profaflavia @ProfRenataOrsi Pelo menos não posso mais dizer que o Estado não investe em mim. Numa lista de 2,7 milhões de reais, pesquisar meu nome custou 34 mil. Da próxima vez que quiser saber de mim, em vez de gastar dinheiro público, é só ligar. 😂; 0; 0; 5; 0; https://twitter.com/sigaoflavio/status/1333987913013612546; None; None] 
[2020-12-02 04:01:50+00:00; sigaoflavio; @AdrianaCarranca @NatuzaNery @RicardoGalhardo STOP THE COUNT. Rs; 1; 0; 2; 0; https://twitter.com/sigaoflavio/status/1333984697874063361; None; None] 
[2020-12-02 03:56:22+00:00; sigaoflavio; Não tenho roupa pra isso não. Sou fã da @NatuzaNery. Sou apenas um professor de Constitucional que defende os valores constitucionais, republicanos e democráticos, o que é algo subversivo para alguns. Obrigado pela presença por aqui! https://t.co/Bkf7ZabRw1; 10; 0; 342; 0; https://twitter.com/sigaoflavio/status/1333983319474774021; None; None] 
[2020-12-02 03:51:29+00:00; sigaoflavio; @profaflavia @ProfRenataOrsi Quando eu estiver preso, quero ver se ainda vão dizer que são minhas amigas. Rs; 2; 0; 11; 0; https://twitter.com/sigaoflavio/status/1333982091554533376; None; None] 
[2020-12-02 03:47:19+00:00; sigaoflavio; @NatuzaNery @AdrianaCarranca @sergiotodoprosa Número 45 da lista ☝🏻. Já mandei colocar na moldura.; 2; 0; 11; 0; https://twitter.com/sigaoflavio/status/1333981044085821442; None; None] 
[2020-12-02 03:42:06+00:00; sigaoflavio; Uau! Muito obrigado!!! https://t.co/9LtsbGUI05; 0; 0; 9; 0; https://twitter.com/sigaoflavio/status/1333979728890507266; None; https://twitter.com/Marxxlopes/status/1333978954802323456] 
[2020-12-02 03:26:25+00:00; sigaoflavio; Que máximo! Valeu! https://t.co/fNhYnEZuuE; 0; 0; 17; 0; https://twitter.com/sigaoflavio/status/1333975783166062593; None; https://twitter.com/rafaelpimenta_/status/1333975433256325120] 
[2020-12-02 03:06:24+00:00; sigaoflavio; Obrigado pelo carinho e pela audiência! https://t.co/05AxOzBcru; 0; 0; 22; 0; https://twitter.com/sigaoflavio/status/1333970744418725891; None; https://twitter.com/wendellfernando/status/1333969269802070019] 
[2020-12-02 02:02:56+00:00; sigaoflavio; @davidsobreirabm @XadrezVerbal @madeiradez @andreazzaeditor @renataloprete Que honra; 0; 0; 1; 0; https://twitter.com/sigaoflavio/status/1333954773557649409; None; None] 
[2020-12-02 01:20:18+00:00; sigaoflavio; @Brunogabriel100 Obrigado pela gentileza!; 0; 0; 1; 0; https://twitter.com/sigaoflavio/status/1333944046587404288; None; None] 
[2020-12-02 01:17:41+00:00; sigaoflavio; @thim3108 @madeiradez E segue o velório de defunto vivo. Rs; 0; 0; 17; 0; https://twitter.com/sigaoflavio/status/1333943386777276420; None; None] 
[2020-12-01 23:55:53+00:00; sigaoflavio; @tbaghdadi @lidiabasoli @Danielhrs @tantotupiassu Kkkk; 0; 0; 2; 0; https://twitter.com/sigaoflavio/status/1333922802110435333; None; None] 
[2020-12-01 23:54:26+00:00; sigaoflavio; @tbaghdadi @lidiabasoli @Danielhrs @tantotupiassu Não mexam nessa lista, motivo de orgulho para mim e meus descendentes. STOP THE COUNT! rs; 3; 0; 5; 0; https://twitter.com/sigaoflavio/status/1333922436111327232; None; None] 
[2020-12-01 22:24:28+00:00; sigaoflavio; Acabo de contar para meu filho que o governo brasileiro gastou milhões de reais numa lista de críticos “detratores” e que sou o número 45. Ele disse “que legal, pai! Parabéns”. Eduquei bem o moleque! https://t.co/jNbzPgtS35; 22; 15; 1280; 3; https://twitter.com/sigaoflavio/status/1333899793265987587; None; None] 
[2020-12-01 22:13:35+00:00; sigaoflavio; @leofds_ E não sou influencer! Rs; 1; 0; 13; 0; https://twitter.com/sigaoflavio/status/1333897054796517379; None; None] 
[2020-12-01 22:08:26+00:00; sigaoflavio; @LuisCValois @CristianaFc É o que eu disse para meus amigos juízes. Imagine o que faria comigo o CNJ, a corregedoria, se eu fosse juiz! Imagine se não houvesse estabilidade, como querem alguns!; 1; 1; 33; 0; https://twitter.com/sigaoflavio/status/1333895758987325442; None; None] 
[2020-12-01 22:04:50+00:00; sigaoflavio; Esse neoliberalismo brasileiro é esquisito. Gasta 2,7 milhões de reais para fazer uma lista de excel com seus críticos. Já que sou parte dessa lista, posso dizer que nunca o Estado gastou tanto dinheiro comigo. Grande dia 👍; 9; 17; 504; 1; https://twitter.com/sigaoflavio/status/1333894854049488899; None; None] 
[2020-12-01 21:51:36+00:00; sigaoflavio; Se a democracia acabar, queime-o. https://t.co/v1YCDw2jhw; 5; 1; 79; 0; https://twitter.com/sigaoflavio/status/1333891525391093761; None; https://twitter.com/projetomagis1/status/1333891374484217856] 
[2020-12-01 21:51:09+00:00; sigaoflavio; ✅figurar na lista de 81 detratores do governo  ❌figurar na lista dos bilionários da Forbes  Eu estou numa lista. Edir Macedo está na outra.; 4; 4; 242; 0; https://twitter.com/sigaoflavio/status/1333891410311974912; None; None] 
[2020-12-01 21:47:12+00:00; sigaoflavio; Aos milhares de novos seguidores, além de ser o DETRATOR 45, sou professor de Constitucional e defendo os valores constitucionais, republicanos e democráticos, bem como a educação como mínimo existencial. Aparentemente, para muitos, parecem ser ideias perigosas.; 28; 33; 1210; 2; https://twitter.com/sigaoflavio/status/1333890417390219264; None; None] 
[2020-12-01 21:42:38+00:00; sigaoflavio; Agora, segundo o governo, sou professor, detrator e influencer. https://t.co/prb14lig7e; 2; 1; 100; 0; https://twitter.com/sigaoflavio/status/1333889267148476417; None; https://twitter.com/NaumIsaak/status/1333888956321193984] 
[2020-12-01 21:41:32+00:00; sigaoflavio; @sekhmet_rj @projetomagis1 Está me seguindo? Subversiva! Rs; 1; 0; 5; 0; https://twitter.com/sigaoflavio/status/1333888990794182664; None; None] 
[2020-12-01 21:40:39+00:00; sigaoflavio; .@gugachacra sou fã do seu trabalho e tenho orgulho imenso de figurar na mesma lista que você. Sou o detrator número 45. Se formos todos presos, gostaria de usar o codinome “cabelo” para me referir a você.; 32; 9; 894; 6; https://twitter.com/sigaoflavio/status/1333888769947295746; None; None] 
[2020-12-01 21:39:01+00:00; sigaoflavio; @euclidescj Já estou preparando uma live no YouTube jogando Among Us 😂; 0; 0; 10; 0; https://twitter.com/sigaoflavio/status/1333888359031328773; None; None] 
[2020-12-01 21:36:56+00:00; sigaoflavio; Aguardem! https://t.co/zOJUVU41BA; 1; 0; 47; 0; https://twitter.com/sigaoflavio/status/1333887833413722113; None; https://twitter.com/tgbcobra/status/1333887617952346119] 
[2020-12-01 21:22:11+00:00; sigaoflavio; @felipeneto @RachelSherazade Putz, sou o número 45. 😔 Como é na parte de cima da lista?; 0; 1; 139; 0; https://twitter.com/sigaoflavio/status/1333884119739195405; None; None] 
[2020-12-01 21:19:54+00:00; sigaoflavio; Melhor não. Nos dias de hoje, parece uma tradição brasileira mentir no currículo lattes. Até Ministros fazem isso. Se eu colocar lá, vão achar que eu estou mentindo https://t.co/o3hLJqDqYZ; 1; 0; 49; 0; https://twitter.com/sigaoflavio/status/1333883546369449986; None; https://twitter.com/gilmarmiranda/status/1333883034819579904] 
[2020-12-01 21:05:28+00:00; sigaoflavio; PUTZ! Se o governo já me chamava de “Influencer” até ontem, imagine agora!  C.c: @felipeneto https://t.co/nefGvWJ3MQ; 9; 0; 276; 0; https://twitter.com/sigaoflavio/status/1333879912973918209; None; None] 
[2020-12-01 21:03:26+00:00; sigaoflavio; @R_Stochiero @madeiradez Não acendam a vela ainda! O defunto está vivo! 👀; 0; 0; 19; 0; https://twitter.com/sigaoflavio/status/1333879403592511488; None; None] 
[2020-12-01 21:02:24+00:00; sigaoflavio; @R_Stochiero @madeiradez A música na cadeia será melhor que esse pop rock que vocês ouvem aqui fora; 6; 1; 34; 0; https://twitter.com/sigaoflavio/status/1333879143654682625; None; None] 
[2020-12-01 20:59:14+00:00; sigaoflavio; @ProfBunazar @madeiradez @elsonm Hay que endurecer sin perder l ternura jamás; 0; 0; 4; 0; https://twitter.com/sigaoflavio/status/1333878346657239040; None; None] 
[2020-12-01 20:57:13+00:00; sigaoflavio; NO DIA em que sou chamado pelo governo federal de “influencer”, chego a 145.000 seguidores no Twitter. Seus subversivos! https://t.co/dG2taJmtA1; 23; 0; 467; 0; https://twitter.com/sigaoflavio/status/1333877839700123648; None; None] 
[2020-12-01 20:53:20+00:00; sigaoflavio; @ProfBunazar @madeiradez @elsonm “Devolva o Neruda que você tomou e nunca leu”. Rsrsss; 1; 0; 7; 0; https://twitter.com/sigaoflavio/status/1333876859654823941; None; None] 
[2020-12-01 20:38:17+00:00; sigaoflavio; @felipeneto Está em ordem. O meu é 45, mas o seu deve estar bem na frente (ciúme entre os detratores. Rsrs); 1; 0; 61; 0; https://twitter.com/sigaoflavio/status/1333873073230123016; None; None] 
[2020-12-01 20:37:11+00:00; sigaoflavio; @rafa_2205 @carapanarana @gabrieldivan @viracasacas E falou na aula de um monte de gente que eu conheço mas não vou dizer quem é, porque não quero ser conhecido como Simonal da ciência jurídica; 1; 0; 4; 0; https://twitter.com/sigaoflavio/status/1333872796460609543; None; None] 
[2020-12-01 20:32:06+00:00; sigaoflavio; Eu não acredito que estou na lista de detratores e não o @carapanarana ou o @gabrieldivan. Esses caras não ouvem o @viracasacas? Gastaram quase 3 milhões e não ouviram podcasts? Se vão gastar nosso dinheiro com isso, façam direito!; 11; 4; 352; 3; https://twitter.com/sigaoflavio/status/1333871515750817792; None; None] 
[2020-12-01 20:19:58+00:00; sigaoflavio; Na internet ( e logo numa parede da minha casa). https://t.co/p48g8bsupK; 4; 0; 61; 0; https://twitter.com/sigaoflavio/status/1333868465371963392; None; https://twitter.com/CaioAzoth/status/1333868128028291072] 
[2020-12-01 20:19:28+00:00; sigaoflavio; .@felipeneto como o governo federal me chamou de INFLUENCER, posso contar com algumas aulas de como faz isso? Assinado: Detrator 45; 11; 2; 712; 0; https://twitter.com/sigaoflavio/status/1333868337030443019; None; None] 
[2020-12-01 20:17:32+00:00; sigaoflavio; @madeiradez @marcosscalercio Canalhas!; 2; 0; 13; 0; https://twitter.com/sigaoflavio/status/1333867851657211906; None; None] 
[2020-12-01 20:12:45+00:00; sigaoflavio; Uma lista dessas numa democracia é motivo de aborrecimento (ou orgulho, no meu caso). Numa ditadura, seria a diferença entre a vida e a morte, a liberdade e a tortura. Entenderam por que temos que lutar pela democracia?; 6; 18; 339; 6; https://twitter.com/sigaoflavio/status/1333866647682240513; None; None] 
[2020-12-01 20:11:14+00:00; sigaoflavio; Eu nem fui preso ainda e meus amigos professores já discutem o que farão na minha ausência https://t.co/e25epBl2VY; 37; 4; 534; 0; https://twitter.com/sigaoflavio/status/1333866264746479617; None; None] 
[2020-12-01 20:10:02+00:00; sigaoflavio; Pois é, de professor a detrator lá se foram duas décadas https://t.co/qSl4qLol6v; 2; 0; 63; 0; https://twitter.com/sigaoflavio/status/1333865965524840448; None; https://twitter.com/Aegonblackfyre1/status/1333865318431780866] 
[2020-12-01 20:08:28+00:00; sigaoflavio; Estão com medo de uma ação por danos morais por me chamarem de detrator? Honrem os 2,7 milhões que ganharam do dinheiro público! https://t.co/yXFCh5zjMi; 4; 4; 153; 3; https://twitter.com/sigaoflavio/status/1333865571176353794; None; None] 
[2020-12-01 20:06:38+00:00; sigaoflavio; Ao governo federal:  Eu não sou INFLUENCER! Sou professor de Constitucional há mais de 20 anos! Respeitem minha profissão!; 39; 34; 1589; 7; https://twitter.com/sigaoflavio/status/1333865108494307330; None; None] 
[2020-12-01 20:05:37+00:00; sigaoflavio; @rafa_2205 Eu também; 0; 0; 1; 0; https://twitter.com/sigaoflavio/status/1333864852377530374; None; None] 
[2020-12-01 20:03:46+00:00; sigaoflavio; Começou 🙄 https://t.co/XDOcB7kRbN; 1; 0; 37; 0; https://twitter.com/sigaoflavio/status/1333864388881756160; None; https://twitter.com/JeffersonSB_/status/1333863782389587969] 
[2020-12-01 19:59:09+00:00; sigaoflavio; #NovaFotoDoPerfil https://t.co/DpZiXKMNoe; 2; 1; 169; 0; https://twitter.com/sigaoflavio/status/1333863223636979712; None; None] 
[2020-12-01 19:58:04+00:00; sigaoflavio; @cristilobo Eu, como detrator n. 45, lamento. 😂; 1; 0; 41; 0; https://twitter.com/sigaoflavio/status/1333862952240377860; None; None] 
[2020-12-01 19:57:27+00:00; sigaoflavio; Graças a Deus estamos numa democracia. Imaginem se meu nome estivesse numa lista dessa nos anos 60 ou 70. Não poderia continuar no Brasil. Por isso lutarei ainda mais pela democracia. AGORA VÃO TER QUE ME ENGOLIR!; 8; 36; 915; 2; https://twitter.com/sigaoflavio/status/1333862797072064515; None; None] 
[2020-12-01 19:54:47+00:00; sigaoflavio; Estará! Isso é algo do qual meus netos precisam saber! https://t.co/bPxlWmCuA9; 1; 0; 56; 0; https://twitter.com/sigaoflavio/status/1333862127409524737; None; https://twitter.com/jvila1982/status/1333860779116773376] 
