2020-11-29 23:14:35+00:00; eduardomoreira; Manuela D’Avila e Boulos foram gigantes. Lutaram contra noticias falsas, contra jornais, contra canais de televisão, contra o preconceito e contra os donos do capital. Perderam hoje. Mas deram inicio a vitória maior de amanhã. Gratidão pela coragem e entrega 🙏🏻✊🏻; 165; 617; 10236; 67; https://twitter.com/eduardomoreira/status/1333187631035920384; None; None
2020-11-29 16:13:18+00:00; eduardomoreira; Boa Requiao! https://t.co/rGarqWokir; 6; 23; 521; 0; https://twitter.com/eduardomoreira/status/1333081613744398336; None; https://twitter.com/requiaopmdb/status/1333080713369939968
2020-11-28 20:45:06+00:00; eduardomoreira; @NkolasSilveira1 Eheheh, boa!; 1; 0; 10; 0; https://twitter.com/eduardomoreira/status/1332787625615257600; None; None
2020-11-28 20:42:14+00:00; eduardomoreira; Agora que você já descobriu que o Boulos não é o mortal invasor dos lares das famílias de bem, sobrou ainda algum motivo  pra continuar com Covas e a cidade do jeito que está?; 75; 506; 6780; 35; https://twitter.com/eduardomoreira/status/1332786905532993543; None; None
2020-11-27 20:18:03+00:00; eduardomoreira; Globo, ja que o Boulos não pode ir no debate por causa da Covid e vocês não topam fazer um debate online, que tal fazer com os vices? Tenho certeza que o vice do Covas vai topar, tenta lá...; 42; 195; 3204; 29; https://twitter.com/eduardomoreira/status/1332418430616662017; None; None
2020-11-27 20:16:45+00:00; eduardomoreira; Pra quem acha que empreender é coisa de bacana da Faria Lima... https://t.co/VWsUdcwOTz; 17; 59; 579; 24; https://twitter.com/eduardomoreira/status/1332418101690978311; None; None
2020-11-26 20:31:09+00:00; eduardomoreira; Depois do “se vira nos 30” do Faustão o UOL agora inaugura o “se vira nos 7 segundos” com Boulos, roubando todo o tempo de sua mensagem final na sabatina, a que costuma ser mais carregada de emoção e que fica na cabeça das pessoas...  Vergonhoso; 59; 354; 4880; 27; https://twitter.com/eduardomoreira/status/1332059337712422912; None; None
2020-11-26 19:48:30+00:00; eduardomoreira; Olha a onda cada vez maior. Domingo é Boulos! Todos por uma cidade mais justa https://t.co/0YSrSj50S1; 10; 28; 449; 2; https://twitter.com/eduardomoreira/status/1332048605407014912; None; https://twitter.com/AttuchLeonardo/status/1332018183377653762
2020-11-26 19:47:16+00:00; eduardomoreira; Dica do amigo Rocha eh sempre bem-vinda https://t.co/5yvMReCSx3; 0; 5; 60; 0; https://twitter.com/eduardomoreira/status/1332048296282558467; None; https://twitter.com/rocha_lcr/status/1332045579631857664
2020-11-26 17:31:55+00:00; eduardomoreira; Se a pesquisa divulgada pela XP  estiver errada na mesma magnitude que esteve no primeiro turno por conta da assimetria da abstenção entre os grupos (não existe motivo para imaginar que não estejam, já que a metodologia se manteve) Boulos ja esta empatado. Empatado e embalado; 11; 56; 901; 3; https://twitter.com/eduardomoreira/status/1332014232813056006; None; None
