[2017-12-28 22:22:06+00:00; Biakicis; Deputados de São Paulo aprovam lei que proíbe consumo de carne às segundas-feiras. Esperemos que o governador Alckmin vete esse absurdo. Ou no Estado de SP não existe mais liberdade de escolha e consciência? https://t.co/paNnLgvis1; 17; 47; 90; 9; https://twitter.com/Biakicis/status/946506572032864256; None; None]
[2017-12-28 22:15:47+00:00; Biakicis; Deputados de São Paulo proíbem consumo de carne às segundas-feiras.: https://t.co/7hHRofZAR7 via @YouTube; 7; 2; 11; 1; https://twitter.com/Biakicis/status/946504983444418560; None; None]
[2017-12-28 20:36:34+00:00; Biakicis; É muito absurdo! Totalitarismo odioso. Alckmin deve vetar, se bem que o cara é comunista e deve achar que o Estado pode se meter nas nossas escolhas. https://t.co/YDbLdqU4GQ; 17; 41; 130; 6; https://twitter.com/Biakicis/status/946480011833470976; None; https://twitter.com/PauloMartins10/status/946476572273467393]
[2017-12-28 19:16:50+00:00; Biakicis; Depende de qual função vc tá falando. Se guardião da Constituição, nenhum; mas se agente da Nova Ordem Mundial, Barroso, sem dúvida! https://t.co/XedpaBIHid; 1; 23; 61; 1; https://twitter.com/Biakicis/status/946459947138797569; None; https://twitter.com/robertolivianu/status/943157168437649408]
[2017-12-28 19:11:45+00:00; Biakicis; Temos que começar a reverter a vida fácil dos bandidos neste país. https://t.co/iYplg64YW1; 4; 17; 36; 2; https://twitter.com/Biakicis/status/946458666877816832; None; None]
[2017-12-28 18:46:40+00:00; Biakicis; Museu do amanhã no Rio. Pausa na política pra aproveitar o que resta cidade maravilhosa que os políticos estragaram. Meu Deus, como é lindo o meu Rio! https://t.co/52lSBJrwzr; 2; 0; 15; 0; https://twitter.com/Biakicis/status/946452354806796289; None; None]
[2017-12-28 13:18:07+00:00; Biakicis; Recomendo a leitura. https://t.co/3mwsaOQzs2; 0; 1; 4; 0; https://twitter.com/Biakicis/status/946369674975080448; None; https://twitter.com/Rconstantino/status/946031894528917504]
[2017-12-28 12:54:30+00:00; Biakicis; Quero ver quais crimes ele considerará não graves. Matar a esperança de uma Nação com desvios de dinheiro público, Caixa 2, 3, quebrar a economia de um país, roubar dinheiro da segurança pública, saúde e educação são crimes graves, Ministro @gilmarmendes ? https://t.co/fZBFsTK11S; 0; 9; 18; 0; https://twitter.com/Biakicis/status/946363728160837633; None; https://twitter.com/claudioedantas/status/946156036225986560]
[2017-12-28 06:46:53+00:00; Biakicis; 😂😂😂 https://t.co/E5r0MC9uhQ; 0; 3; 15; 0; https://twitter.com/Biakicis/status/946271215609634818; None; https://twitter.com/JoselitoMuller3/status/946205286318116865]
[2017-12-28 06:46:01+00:00; Biakicis; Tá mais  perigando pra Carnaval fora de época. https://t.co/eWJmvRM0qL; 0; 13; 48; 1; https://twitter.com/Biakicis/status/946271000135684096; None; https://twitter.com/BlogdoNoblat/status/946010763180826624]
