2020-12-02 06:28:07+00:00; MarcosBotelho; O bom de não ter medo do passado e nunca ter apagado a TL. É que qualquer um pode puxar a capivara que vai ver que devo ter errado em algumas coisas, mas esse erro de apoiar Bolsonaro nunca cometi. No Twitter desde 2009; 4; 3; 144; 0; https://twitter.com/MarcosBotelho/status/1334021511238340609; None; None
2020-12-02 06:26:17+00:00; MarcosBotelho; Opção 1 - ele é pastor deve ter apoiado no passado.  Opção 2 - ele criticava o PT deve ter apoiado o Bolsonaro Opção 3 - esse governo acredita até em terra plana, coloca qualquer coisa aí.; 0; 0; 35; 0; https://twitter.com/MarcosBotelho/status/1334021047709028354; None; None
2020-12-02 06:26:16+00:00; MarcosBotelho; Alguém consegue me explicar isso??? Incompetência até para fazer uma lista. https://t.co/jVXbcUBAKp; 3; 0; 32; 0; https://twitter.com/MarcosBotelho/status/1334021045892820996; None; None
2020-12-02 00:09:34+00:00; MarcosBotelho; Mudei meu nome no Twitter 🤔😉🤷🏼‍♂️; 48; 5; 355; 2; https://twitter.com/MarcosBotelho/status/1333926245965422594; None; None
2020-11-10 18:52:53+00:00; MarcosBotelho; Minha oração hoje: Que os nossos políticos (principalmente Bolsonaro) propagadores de teorias da conspiração, fake news, causadores do caos dos diálogos vigentes e negligentes nessa pandemia, tenham o mesmo destino do seu chefe do norte, sejam derrotados nas próximas eleições! 🙏🏼; 15; 23; 358; 9; https://twitter.com/MarcosBotelho/status/1326236401898319872; None; None
2020-10-24 21:47:45+00:00; MarcosBotelho; Você sabe que virou um gordo quando colocar um tênis é um exercício de apneia!; 1; 4; 97; 4; https://twitter.com/MarcosBotelho/status/1320119816397664256; None; None
2020-10-23 17:41:46+00:00; MarcosBotelho; @Family_Souza Hahahah aha; 0; 0; 0; 0; https://twitter.com/MarcosBotelho/status/1319695525466300417; None; None
2020-10-23 17:41:22+00:00; MarcosBotelho; E vc podia ver esses desenhos? Qual foi o que mais te marcou?; 6; 0; 4; 0; https://twitter.com/MarcosBotelho/status/1319695423322411010; None; None
2020-10-23 17:41:21+00:00; MarcosBotelho; Obrigado meus pais pelos meus aniversários, por ñ serem levados aos mitos da época que falavam que He-man, Caverna do Dragão, Thundercats, os Superamigos entre outros, eram do demônio.  Hoje sou mais saudável por ter tido uma infância em contato com narrativas pop. https://t.co/e4LY6e30Pw; 3; 0; 48; 0; https://twitter.com/MarcosBotelho/status/1319695421221015554; None; None
2020-10-22 16:57:21+00:00; MarcosBotelho; A igreja Romana com princípios da reforma do estado laico e a igreja evangélica com a cabeça medieval romana de valorizar mais o poder do que as doutrinas. https://t.co/upZwCH5qUP https://t.co/x2X7U5eCkB; 4; 3; 75; 1; https://twitter.com/MarcosBotelho/status/1319321958488723457; None; None
