2020-12-06 05:05:45+00:00; LeoJaime; @rachel_rrocha Dos exercícios que do este foi o que me pareceu mais completo, que me dava consciência corporal, flexibilidade, força, além da expressão artística e da boa música durante as aulas; 1; 1; 0; 0; https://twitter.com/LeoJaime/status/1335450335016574976; None; None
2020-12-06 03:08:05+00:00; LeoJaime; @camaraandrea @portoseguro Nem eu ligaria; 1; 1; 0; 0; https://twitter.com/LeoJaime/status/1335420719191248896; None; None
2020-12-06 03:07:44+00:00; LeoJaime; @rachel_rrocha Por que não? 😉; 1; 1; 0; 0; https://twitter.com/LeoJaime/status/1335420634445320192; None; None
2020-12-06 01:51:59+00:00; LeoJaime; @faxinaboa @portoseguro Maravilha. Ligo pra lá e falo com o SAC durante a semana; 3; 0; 0; 0; https://twitter.com/LeoJaime/status/1335401569957933056; None; None
2020-12-06 01:47:05+00:00; LeoJaime; @portoseguro era caro e bom. Agora é caro.; 0; 0; 0; 0; https://twitter.com/LeoJaime/status/1335400338447355904; None; None
2020-12-06 01:45:42+00:00; LeoJaime; @faxinaboa @portoseguro Com quem?; 0; 1; 0; 0; https://twitter.com/LeoJaime/status/1335399988130697222; None; None
2020-12-06 01:45:14+00:00; LeoJaime; O atendente chegou. Disse que saiu pra comer. Não avisou ninguém. Já tinha me ligado pra apressar. Não achou que devia ligar pra dizer que ia dar um rolê.; 74; 3; 2; 0; https://twitter.com/LeoJaime/status/1335399872946708486; None; None
2020-12-06 01:39:56+00:00; LeoJaime; Eu com a família de tri do carro parado em uma praça. Não me sinto seguro. Há 30 minutos. A @portoseguro não me respeita. Mente; 87; 4; 2; 1; https://twitter.com/LeoJaime/status/1335398536083628034; None; None
2020-12-06 01:38:58+00:00; LeoJaime; Pedi um motorista da vez na @portoseguro para 22:30. O atendente chegou 21:47 dizendo que não podia esperar. Entrei em contato e disseram que ele esperaria sim. Cheguei 22:12 no carro e ele já to há ido embora. Agora me informam que vai solicitar outro atendimento; 98; 17; 2; 0; https://twitter.com/LeoJaime/status/1335398296081338368; None; None
2020-12-05 23:38:49+00:00; LeoJaime; @DaniellaRossi Vai que o Natan ganha a vaga; 0; 1; 0; 0; https://twitter.com/LeoJaime/status/1335368058316214277; None; None
2020-12-05 21:55:02+00:00; LeoJaime; Já que o Ceni não tira , o Daronco tirou https://t.co/2gkJ7ymbZD; 33; 5; 2; 1; https://twitter.com/LeoJaime/status/1335341939479224320; None; https://twitter.com/AdemilsonNasc15/status/1335340628914409472
2020-12-05 21:48:56+00:00; LeoJaime; Valeu, Daronco!!; 55; 3; 0; 0; https://twitter.com/LeoJaime/status/1335340405181845510; None; None
2020-12-05 20:50:36+00:00; LeoJaime; Isso https://t.co/qCxxw4ayNR; 32; 8; 1; 0; https://twitter.com/LeoJaime/status/1335325723796627458; None; https://twitter.com/adriana_clima/status/1335322986266681347
2020-12-05 20:42:34+00:00; LeoJaime; Botafogo mirando os joelhos.; 28; 4; 0; 1; https://twitter.com/LeoJaime/status/1335323702758694920; None; None
2020-12-05 20:09:55+00:00; LeoJaime; No que o Ceni escalou o Gustavo Henrique mais uma vez eu acho que ele é a torcida jamais vai se entender. Realmente ele não percebe o mau momento de um jogador. E não percebe que o Flamengo tem uma das piores defesas do campeonato. Insiste que uma hora desanda de vez; 103; 18; 3; 3; https://twitter.com/LeoJaime/status/1335315486712721412; None; None
2020-12-05 19:11:38+00:00; LeoJaime; @luis_a___ Quem financia esse povo é o Atlas Network, Mike Pence é membro; 1; 0; 0; 0; https://twitter.com/LeoJaime/status/1335300816505368577; None; None
2020-12-05 19:10:21+00:00; LeoJaime; Resta saber quantas faltam e quais os valores que cada um recebeu https://t.co/d2ts2vKndo; 24; 6; 1; 0; https://twitter.com/LeoJaime/status/1335300496270168079; None; https://twitter.com/GilRodrix/status/1335266769771114497
