[2017-12-26 04:58:24+00:00; BolsonaroSP; Aqui não apedrejamos mulheres em praça pública nem arremessamos gays de prédios. Isso é Natal, é a presença de Jesus, sociedade de base judaico-cristã que prega o amor e tolerância. Mas não confunda esses nobres sentimentos com submissão. https://t.co/BZP0ZCY7di; 5; 139; 578; 3; https://twitter.com/BolsonaroSP/status/945519137895407616; None; None]
[2017-12-25 22:14:50+00:00; BolsonaroSP; Quem diria FHC... 🤔 https://t.co/7GW4UNnsvW; 25; 98; 452; 3; https://twitter.com/BolsonaroSP/status/945417580239577088; None; None]
[2017-12-24 22:04:07+00:00; BolsonaroSP; Este ano destinei R$ 1.000.000 ao Hospital do Câncer de Barretos por conhecer e acreditar no sério trabalho lá desenvolvido, referência internacional e que traduz em benefícios aos mais necessitados com atendimento 100% SUS! https://t.co/8GY2lz3xRh; 16; 112; 547; 4; https://twitter.com/BolsonaroSP/status/945052494316568578; None; None]
[2017-12-24 21:07:33+00:00; BolsonaroSP; Natal é sinônimo de alegria! 😜😊 Feliz Natal!🎄👼 🎄 https://t.co/IDMFm2xueQ; 24; 39; 514; 1; https://twitter.com/BolsonaroSP/status/945038257691217922; None; None]
[2017-12-24 20:46:47+00:00; BolsonaroSP; Eu falo, não adianta argumentar, mostrar a realidade e etc, o comunismo é uma doença. https://t.co/FcRprmdDYw; 64; 206; 853; 10; https://twitter.com/BolsonaroSP/status/945033031508742145; None; None]
[2017-12-24 13:24:04+00:00; BolsonaroSP; 🇻🇪🇧🇷ABERTA CRISE DEMOCRÁTICA ENTRE BRASIL E VENEZUELA Presidente da assembleia nacional constituinte da Venezuela,eleita com base em urnas comprovadamente fraudadas, diz que Brasil perdeu o fio-constitucional ao  se referir ao impeachment de Dilma.  https://t.co/3An1CSs73t https://t.co/1aqKilNP7z; 28; 80; 368; 6; https://twitter.com/BolsonaroSP/status/944921620254265346; None; None]
[2017-12-23 19:01:25+00:00; BolsonaroSP; Sempre que os governantes se distanciam do povo dá uma alteração.; 4; 37; 349; 2; https://twitter.com/BolsonaroSP/status/944644127764992000; None; None]
[2017-12-23 15:16:53+00:00; BolsonaroSP; Correr meio-dia debaixo de sol no verão carioca não sei se é muito saudável não, rs. 6km de leve...  &gt;Storie do instagram: BolsonaroSP https://t.co/A1EuB7r65k; 22; 9; 194; 0; https://twitter.com/BolsonaroSP/status/944587622046986241; None; None]
[2017-12-23 14:05:55+00:00; BolsonaroSP; Polônia tem se tornado uma ilha de segurança e esperança no coração da Europa. #exemplo https://t.co/xB52QFae8W; 8; 71; 315; 1; https://twitter.com/BolsonaroSP/status/944569763153444865; None; https://twitter.com/rodrigogurgel/status/940297327214039043]
[2017-12-23 14:04:32+00:00; BolsonaroSP; Lula/Dilma nomearam uns 80% do STJ  e 8 dos 11 ministros do STF... https://t.co/KV0d4Zhwnq; 13; 68; 236; 5; https://twitter.com/BolsonaroSP/status/944569416280367104; None; https://twitter.com/diogomainardi/status/944568708722249728]
[2017-12-23 14:03:27+00:00; BolsonaroSP; Será que o pessoal da marcha da maconha/drogas e marcha das vadias levaria um tiro por você sem nem te conhecer? #bope #rj #heróis https://t.co/WD2Muy5cp6; 9; 70; 347; 1; https://twitter.com/BolsonaroSP/status/944569142929223680; None; None]
[2017-12-23 11:40:48+00:00; BolsonaroSP; Pelo contrário, a imprensa européia recomenda que não  sejam noticiados crimes cujos autores sejam islâmicos. E não vou nem entrar na questão do livro negro do comunismo! https://t.co/ZSsZMxcosn; 3; 78; 236; 1; https://twitter.com/BolsonaroSP/status/944533242480390144; None; https://twitter.com/EsquerdaExposta/status/944517715275976704]
