2019-12-02 05:10:45+00:00; antonioprata; Se este vídeo e as demais notícias sobre a ação da polícia em Paraisópolis forem isso mesmo, temos que sair pra rua. Já. https://t.co/TkGzgGk5ok; 79; 1; 12; 0; https://twitter.com/antonioprata/status/1201368082616406017; None; https://twitter.com/MidiaNINJA/status/1201223080846200833
2019-12-02 05:02:12+00:00; antonioprata; @Kidids É muito foda em todos os sentidos.; 1; 0; 0; 0; https://twitter.com/antonioprata/status/1201365930296709120; None; None
2019-12-02 02:21:25+00:00; antonioprata; @SergiusAugustus @SergiusAugustus 🌼; 3; 0; 1; 0; https://twitter.com/antonioprata/status/1201325466679988225; None; None
2019-12-01 05:45:37+00:00; antonioprata; Pra vc que entrou agora, um resumo:  Leonardo DiCaprio foi a favor do golpe de 64 e Elizabeth Bishop está envolvida com as queimadas na Amazônia.; 199; 6; 9; 0; https://twitter.com/antonioprata/status/1201014469377380352; None; None
2019-12-01 04:27:38+00:00; antonioprata; O Uruguai é foda. https://t.co/7qBeMZnbBf; 27; 0; 1; 0; https://twitter.com/antonioprata/status/1200994844094664704; None; https://twitter.com/NPTO/status/1200939060933599232
2019-11-30 02:59:07+00:00; antonioprata; Todo mundo deveria assistir a esta pérola do Obama e só depois seguir com a vida. https://t.co/RsSfRi1B2k; 59; 3; 5; 2; https://twitter.com/antonioprata/status/1200610177902235650; None; None
2019-11-29 16:02:05+00:00; antonioprata; Extra! Extra! https://t.co/D3bOz9RI1t; 485; 9; 71; 5; https://twitter.com/antonioprata/status/1200444831467745281; None; None
2019-11-28 02:18:02+00:00; antonioprata; @silcalix De jeito nenhum! Se o Rimbaud viesse numa festa aqui em casa, eu o punha pra fora no ato. Mas ele está morto há 130 anos e reler “o barco bêbado” não fará com que ele se levante e trafique armas na África.; 0; 0; 0; 0; https://twitter.com/antonioprata/status/1199875065875193856; None; None
2019-11-27 03:55:12+00:00; antonioprata; @ciceciceci Não entendi: na sua visão, é desproporcional comparar Stálin com Castelo Branco pq Castelo Branco é muito pior?! (Não vai aqui nenhuma simpatia por Castelo Branco, ok?); 2; 1; 0; 0; https://twitter.com/antonioprata/status/1199537130780942341; None; None
2019-11-26 18:01:56+00:00; antonioprata; @MarsellusWall17 Olha que horror: https://t.co/7FHp9tXzDo; 9; 4; 0; 0; https://twitter.com/antonioprata/status/1199387830348333057; None; None
2019-11-26 18:00:06+00:00; antonioprata; @flaviaol Cara Flávia, conheço os organizadores, não compactuam de forma alguma com restrições democráticas ou com a ditadura. Escolheram-na pelo valor literário e pela sua relevância para entendermos o Brasil.; 17; 6; 1; 0; https://twitter.com/antonioprata/status/1199387366244397069; None; None
2019-11-26 16:28:44+00:00; antonioprata; @odisseia Caro, tb respeito a sua. Que bom um debate não raivoso. A base da democracia é a pluralidade de opiniões. Aceitar outras visões políticas que não as nossas. A da Bishop. A do Nelson. A do Jorge Amado. A do Saramago.; 14; 4; 0; 0; https://twitter.com/antonioprata/status/1199364374940524544; None; None
2019-11-26 16:15:01+00:00; antonioprata; Sim, E. Bishop elogiou o golpe de 64.   E Nelson Rodrigues tb. E Jorge Amado elogiava a União Soviética (como boa parte de nossos intelectuais). E Vinicius tem uma letra pedófila. Exijam alinhamento político e ideológico e pureza moral de artista e a arte acaba.; 752; 44; 75; 21; https://twitter.com/antonioprata/status/1199360923061882880; None; None
2019-11-24 17:11:06+00:00; antonioprata; Golaço do @BlogdoJuca https://t.co/WDrIJCagT6; 11; 0; 0; 0; https://twitter.com/antonioprata/status/1198650259594973191; None; None
2019-11-24 06:43:58+00:00; antonioprata; @jpcuenca Parabéns! Foi lindo!; 9; 1; 1; 0; https://twitter.com/antonioprata/status/1198492437209071616; None; None
2019-11-23 22:48:22+00:00; antonioprata; Parabéns, flamenguistas! Que vitória linda. O Rio merecia esta alegria.; 371; 10; 12; 2; https://twitter.com/antonioprata/status/1198372749317754880; None; None
2019-11-21 05:14:06+00:00; antonioprata; Que bom que a HOMENAGEM a PINOCHET será cancelada. A que ponto chegamos?! Não é a defesa do capitalismo, do liberalismo, da escola de Chicago ou de Davos. É a defesa do assassinato, da tortura, do estupro. É inacreditável. https://t.co/XtDD1bRbGC; 148; 5; 14; 0; https://twitter.com/antonioprata/status/1197382657103081472; None; https://twitter.com/cauemacris/status/1197324976023621632
2019-11-20 04:27:11+00:00; antonioprata; @penedix 👍; 1; 0; 0; 0; https://twitter.com/antonioprata/status/1197008463181893634; None; None
