2020-11-25 02:14:16+00:00; iza; Preparada pras rodadas de fogo no #TheVoiceBrasil 🔥🔥🔥 vem que começou AO VIVO!; 186747; 1626; ; ; https://www.instagram.com/p/CH_x_z_jcfz/
2020-11-22 01:22:48+00:00; iza; Que noite linda de celebração da nossa música brasileira, @devassa! Que honra dividir o palco com artistas tão potentes que eu admiro!!!! Esse #EncontrosTropicais vai ficar na memória! Obrigada Orkestra Rumpilezz, maestro @letieresleite, @bnegaooficial, @carlinhosbrown, @chicocorrea, @joaommeirelles, @larissaluzeluz, @lazzomatumbi, @mateusaleluia e @margarethmenezes! Foi lindo! Aguardem porque logo logo tem mais novidade vindo aí 💛 #EncontrosTropicais #BebaComModeração #Ad; 52541; 307; ; ; https://www.instagram.com/p/CH39uSODMcH/
2020-11-21 23:25:43+00:00; iza; A história se repete mais uma vez. Perdemos mais um dos nossos nessa narrativa racista. Uma narrativa que é reforçada todos os dias em vários espaços que também mereciam ser boicotados, porque a violência acontece de várias formas. Quem aqui, preto, nunca foi seguido em um supermercado ou temeu pela vida em qualquer outro lugar? Chega! Nós não vamos nos calar! E assim como todos os outros que já se foram, João Alberto, sua partida não foi em vão. Nós permanecemos lutando e contando a nossa história. Vidas negras importam. Convido agora todos aqueles que postaram quadrado preto a se revoltarem também tanto quanto se revoltaram com a morte de George Floyd.; 209189; 4460; ; ; https://www.instagram.com/p/CH3wQWWDHCZ/
2020-11-20 02:46:30+00:00; iza; Desistir nunca foi uma opção. Quem acredita no corre, corre junto. @olympikus  #OlympikuseIZA #AcreditaNoCorre #OCorreDela #FeitoParaBrasileiras; 49525; 499; ; ; https://www.instagram.com/p/CHy9tjkjEZu/
2020-11-20 02:13:12+00:00; iza; #TheVoiceBrasil 💫 . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / corset: @rosesathleroficial para @santistajeanswear / calça exclusiva: @santistajeanswear / jóias: @marisaclermannjoias / beleza: @mary_saavedra / cabelo: @maiaboitrago e @mary_saavedra / foto: @alexsantanaphotographer; 121578; 685; ; ; https://www.instagram.com/p/CHy55mujxeV/
2020-11-20 01:57:06+00:00; iza; Tá no ar a última noite de batalhas do #TheVoiceBrasil! ✨ . . beleza: @mary_saavedra / cabelo: @maiaboitrago e @mary_saavedra / styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / corset: @rosesathleroficial para @santistajeanswear / calça exclusiva: @santistajeanswear / jóias: @marisaclermannjoias / foto: @alexsantanaphotographer; 232215; 1199; ; ; https://www.instagram.com/p/CHy4DvDDu-u/
2020-11-19 18:36:51+00:00; iza; A Renner me chamou pra participar ao vivo do Saia Justa de ontem numa pauta super importante, que faz parte do projeto da Globo Sou + Elas, criado em parceria com a Renner. Foi incrível conversar com um time de mulheres inspiradoras, falar sobre influência negra, visibilidade feminina e a importância desse projeto tão necessário! E essa visibilidade é algo que eu valorizo muito, então abri lá nos meus stories uma caixinha de perguntas pra vocês me mandarem o @ de microinfluenciadoras negras que falam sobre temas que a gente viu no programa ontem! Bora dar voz pra essas mulheres maravilhosas? Eu vou escolher alguns @‘s pra brilharem lá no perfil @lojasrenner, então corre nos stories e deixa sua dica pra mim ❤️ #SouMaisElasSouRenner #ad; 191543; 1055; ; ; https://www.instagram.com/p/CHyFrMYjt8E/
2020-11-18 02:31:29+00:00; iza; #TheVoiceBrasil ✨  . . beleza: @mary_saavedra / cabelo: @maiaboitrago / styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look total: @dolcegabanna / @joias: @migjoalheria / fotos: @alexsantanaphotographer; 215253; 1638; ; ; https://www.instagram.com/p/CHtyZxwDt9m/
2020-11-18 01:47:33+00:00; iza; Mais uma noite de batalhas no #TheVoiceBrasil começando! Bora? ✨✌🏾✨ . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look total: @dolcegabanna / @joias: @migjoalheria / beleza: @mary_saavedra / cabelo: @maiaboitrago / fotos: @alexsantanaphotographer; 172796; 955; ; ; https://www.instagram.com/p/CHttYFfjOij/
2020-11-16 19:20:55+00:00; iza; A TOP BRASIL faz parte da minha história desde o início e é uma honra ser capa dessa playlist incrível! Obrigada pelo convite, @spotifybrasil! Quem ainda não conferiu, link nos stories. 🎧; 28371; 321; ; ; https://www.instagram.com/p/CHqcNtZjhG0/
2020-11-13 21:11:20+00:00; iza; Eu sempre tiro um tempinho só pra mim e não abro mão disso! Nessas horas cuido da minha pele e aproveito pra fazer outras coisas que eu também amo... ler um livro, colocar em dia uma série atrasada e me hidratar, né? Hoje rolou com a minha máscara de tecido Uniform & Matte de @garnierbrasil 🧡🍊 ela tem ácido hialurônico pra hidratar e vitamina C pra proteger, além de uniformizar o tom da pele. E vocês, como gostam de curtir esse momento de autocuidado? Me contem! #NaturalmenteGarnier #MeuMomentoMáscara #ad; 179832; 726; ; ; https://www.instagram.com/p/CHi6ldiDQkO/
2020-11-13 02:13:39+00:00; iza; Quem aí tá assistindo a terceira noite de batalhas do #TheVoiceBrasil? 🎶; 388733; 3470; ; ; https://www.instagram.com/p/CHg4Y26jRqI/
2020-11-13 01:53:31+00:00; iza; #PrêmioMultishow 2020 ✨ . . 🎥 @anendfor; 505100; 7722; ; ; https://www.instagram.com/p/CHg2D-pDUxe/
2020-11-13 01:51:53+00:00; iza; #PrêmioMultishow 2020 ✨ . . 🎥 @anendfor; 95662; 608; ; ; https://www.instagram.com/p/CHg1wZCDtOf/
2020-11-13 01:49:46+00:00; iza; Que noite inesquecível! Ainda tentando digerir tudo que aconteceu ontem. Muito obrigada a todos que fizeram parte desse momento tão especial! Que saudade eu tava do palco, dessa correria, de encontrar minha família nos bastidores, de trabalhar assim. Desejo do fundo do meu coração que tudo isso passe o quanto antes pra que eu possa ver essa gente que faz mágica e tudo isso com muita vontade o mais breve possível! Muito obrigada, família @multishow, @warnermusicbr, @agenciademusica, @perfexx_assessoria, @sergiosantos, @brunocosta_bc, @tatiananazario, @biancajahara, @mary_saavedra, @souluanamaria e todo #bondepesadão! Já tô louca pro próximo chegar! Amo vocês! ♥️ . . 🎥 @anendfor; 193728; 1290; ; ; https://www.instagram.com/p/CHg1n8Fjpj7/
2020-11-12 22:00:59+00:00; iza; Chegou a hora da nossa gente tropical mostrar seu valor! Por isso, eu tenho o maior orgulho de comandar, junto com @devassa, esse espetáculo que glorifica a nossa criatividade tropical através das raízes musicais. E eu não poderia fazer isso sem a presença de @letieresleite, @larissaluzeluz, @mateusaleluia, @margarethmenezes, @lazzomatumbi, @carlinhosbrown, @chicocorrea e @joaommeirelles 💛 Então vem comigo passear dos ritmos ancestrais às batidas vibrantes do pop. A gente se encontra no dia 21 de novembro, às 20h, no YouTube de Devassa. #EncontrosTropicais #UnidosPelaMúsicaBrasileira  #BebaComModeração; 14274; 127; ; ; https://www.instagram.com/p/CHgbeQUjFuG/
2020-11-12 03:59:25+00:00; iza; O último da noite #PrêmioMultishow  . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look exclusivo: @patriciabonaldi para @patbo / @joias: @beatrizwerebe / beleza: @mary_saavedra / cabelo: @maiaboitrago / fotos: @alexsantanaphotographer; 464957; 3328; ; ; https://www.instagram.com/p/CHefsoxDALr/
2020-11-12 03:46:25+00:00; iza; 💖 Meu talismã 💖 #PrêmioMultishow . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look exclusivo: @michellyx / @joias: @migjoalheria / beleza: @mary_saavedra / cabelo: @maiaboitrago / fotos: @alexsantanaphotographer; 675797; 5867; ; ; https://www.instagram.com/p/CHeeNVyjUzv/
2020-11-12 03:41:30+00:00; iza; 💘 Meu talismã 💘 #PrêmioMultishow . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look exclusivo: @michellyx / @joias: @migjoalheria / beleza: @mary_saavedra / cabelo: @maiaboitrago / fotos: @alexsantanaphotographer; 316608; 1696; ; ; https://www.instagram.com/p/CHedpaZDphd/
2020-11-12 02:58:50+00:00; iza; Pra homenagear nossa rainha Elza Soares com a @naturabroficial ✨ #PrêmioMultishow . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / vestido exclusivo: @helorocha / joias: @hsternofficial / beleza: @mary_saavedra / cabelo: @maiaboitrago / fotos: @alexsantanaphotographer; 235535; 1330; ; ; https://www.instagram.com/p/CHeYw4-jq8d/
2020-11-12 02:55:08+00:00; iza; O meu look pra surpresa que vai rolar no Prêmio Multishow a convite de Natura Essencial é inspirado em uma fragrância que é puro poder! Um poder que não vem só do brilho. Vem de resistir, lutar e tentar sempre. Foi assim que a Natura redescobriu um tesouro que é um ingrediente inédito: a mirra brasileira. Porque dos maiores desafios nascem as conquistas mais preciosas. Fica ligado que vem mais coisa por aí! @naturabroficial #PoderSer #ad; 236896; 1579; ; ; https://www.instagram.com/p/CHeYUYfjXDH/
2020-11-12 01:47:53+00:00; iza; Começou agora oficialmente o #PrêmioMultishow 2020! Tá assistindo?  . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / vestido exclusivo: @fabianamilazzo colab @andrea_pacci / joias: @marisaclermannjoias / beleza: @mary_saavedra / cabelo: @maiaboitrago / fotos: @alexsantanaphotographer; 571317; 6322; ; ; https://www.instagram.com/p/CHeQpO7j47G/
2020-11-12 00:18:34+00:00; iza; Cheguei #PrêmioMultishow ✨🔥✨ . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look exclusivo: @giullier_ / sandália: @cecconello_ / @joias: @marisaclermannjoias / beleza: @mary_saavedra / cabelo: @maiaboitrago / fotos: @alexsantanaphotographer; 324762; 2726; ; ; https://www.instagram.com/p/CHeGbHADBcW/
2020-11-11 02:10:28+00:00; iza; Mais uma noite me divertindo com as batalhas do #TheVoiceBrasil ✨ começou, hein? . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look: @emiliopucci / beleza: @mary_saavedra / cabelo: @maiaboitrago e @mary_saavedra / foto: @alexsantanaphotographer; 149366; 781; ; ; https://www.instagram.com/p/CHbubt4DtvV/
2020-11-10 21:48:24+00:00; iza; Me preparando aqui para mais uma novidade pra vocês. Vai ser agora em novembro junto com @devassa. Alguém arrisca um palpite? #Tropicaliza #Ad #BebaComModeração; 111001; 534; ; ; https://www.instagram.com/p/CHbQcRZjUCv/
2020-11-07 20:44:50+00:00; iza; #IZAnoCaldeirão ✨ . . beleza: @mary_saavedra / cabelo: @maiaboitrago / styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / full look: @johnjohn / jóias: @annaprata / foto: @alexsantanaphotographer; 406504; 4970; ; ; https://www.instagram.com/p/CHTayH8j7fH/
2020-11-07 19:13:48+00:00; iza; Vai começar o @caldeiraodohuck comigo cantando pra vocês e participando do #VisitandoOPassado! 🏘❤️ Chama todo mundo pra assistir porque tá lindo demais! . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / full look: @johnjohndenim / jóias: @annaprata / beleza: @mary_saavedra / cabelo: @maiaboitrago / foto: @alexsantanaphotographer; 204828; 1438; ; ; https://www.instagram.com/p/CHTQXUyDoqu/
2020-11-07 00:12:46+00:00; iza; Já me peguei pensando várias vezes como é inacreditável pra mim fazer parte de algo tão bonito e tão especial! Momentos como esse só me fazem sentir cada vez mais abençoada e grata pelas oportunidades que a música me traz! ✨🙌🏾✨ E ainda tem muito mais vindo aí, porque essa foi só a nossa primeira noite de batalhas! #TheVoiceBrasil @lulusantosoficial @micheltelo @carlinhosbrown @tiagoleifert @jeniffer_nascimento @jbboninho; 89364; 1947; ; ; https://www.instagram.com/p/CHRNv6QjwNG/
2020-11-06 01:57:03+00:00; iza; Vem que tá começando agora a primeira noite de batalhas do #TheVoiceBrasil! 💫 . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / corset: @rosesathleroficial para @santistajeanswear / calça exclusiva: @santistajeanswear / jóias: @marisaclermannjoias / beleza: @mary_saavedra / cabelo: @maiaboitrago e @mary_saavedra / foto: @alexsantanaphotographer; 327269; 2567; ; ; https://www.instagram.com/p/CHO07GzjWeq/
2020-11-04 17:01:21+00:00; iza; Estupro culposo não existe.; 76447; 560; ; ; https://www.instagram.com/p/CHLS0oLjXlB/
2020-11-04 03:01:01+00:00; iza; E aí, tá curtindo a última noite de audições às cegas do #TheVoiceBrasil? ✨ . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look: @lancaperfume / jóias: @beatrizwerebe / beleza: @mary_saavedra / cabelo: @maiaboitrago / foto: @alexsantanaphotographer; 680419; 5836; ; ; https://www.instagram.com/p/CHJyp3pjO_s/
2020-10-30 01:55:05+00:00; iza; Tô de olho em você que ainda não decorou que os dias de #TheVoiceBrasil são terça e quinta, hein? 👀 Começou AGORA!  . . beleza: @mary_saavedra / cabelo: @maiaboitrago / styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look: @lancaperfume / jóias: @beatrizwerebe / foto: @alexsantanaphotographer; 340861; 2413; ; ; https://www.instagram.com/p/CG8zIiODXdF/
2020-10-29 15:52:29+00:00; iza; ✨🍪✨; 1479399; 22177; ; ; https://www.instagram.com/p/CG7uLArjUIb/
2020-10-28 23:38:30+00:00; iza; Feriado tá vindo aí e eu já tô pronta pra um #SpaDay com minha máscara facial Uniform & Matte ✨ 15 minutinhos pra uma pele super hidratada e com efeito matte. @garnierbrasil #ad; 55148; 295; ; ; https://www.instagram.com/p/CG5-tWID1RR/
2020-10-28 02:01:51+00:00; iza; Quem fica assim em noite de @thevoicebrasil? ✨☝🏾✨ Vem que já começou!!!!; 214925; 2004; ; ; https://www.instagram.com/p/CG3qTOHDyAz/
2020-10-23 01:54:31+00:00; iza; Como eu me sinto quando uso o botão de bloqueio 😜 vem que começou mais uma noite de audições às cegas no @thevoicebrasil!  . . styling: @biancajahara / assist. styling: @souluanamaria / prod. moda: @alanmagomes / look: @lancaperfume / jóias: @beatrizwerebe / beleza: @mary_saavedra / cabelo: @maiaboitrago / foto: @alexsantanaphotographer; 316590; 2401; ; ; https://www.instagram.com/p/CGqxgRLDGen/
2020-10-21 02:02:26+00:00; iza; Liga a TV que tá começando o @thevoicebrasil! E hoje tem mais gente do #TimeIZA pra vocês conhecerem ✨; 187548; 1285; ; ; https://www.instagram.com/p/CGlo0fwjyyi/
2020-10-20 16:04:37+00:00; iza; Vocês sabiam que hoje é o Dia Mundial de Combate ao Bullying? Disfarçado de “brincadeira”, essa violência pode ser física ou psicológica e afeta a vida de muita gente, principalmente crianças e adolescentes. Esse é um assunto muito importante que nós precisamos falar sempre! Por isso, eu apoio a campanha #EuDigoNãoAoBullying, criada pelo @hospitalsobrapar. O Hospital Sobrapar é referência no tratamento cirúrgico de fissura labiopalatina e anomalias craniofaciais, oferecendo tratamento e reabilitação gratuitas. Você também pode ajudar a continuar transformando a vida de milhares de pessoas, indo lá no insta @hospitalsobrapar pra conhecer melhor o trabalho que eles realizam e entender como doar. #EuDigoNãoAoBullying NÃO é legal. NÃO tem graça. NÃO faça!; 158394; 1053; ; ; https://www.instagram.com/p/CGkkZ_IjiKE/
2020-10-19 20:50:19+00:00; iza; Me encheu de orgulho regravar essa música do querido Gonzaguinha pra embalar a nova campanha de @anhangueraedu 🧡 Assim como Gonzaguinha cantou, eu também acredito que a nossa fé e a nossa força nos fazem seguir em frente. E Anhanguera tá junto nessa, oferecendo oportunidades pra todo mundo poder estudar, sonhar e crescer. Acesse @anhangueraedu para saber mais! #PraTodoMundoPoder #ad; 36261; 404; ; ; https://www.instagram.com/p/CGigGVKjCMO/
2020-10-19 13:46:36+00:00; iza; Postei nos stories e agora tô postando aqui porque tirei os dreads e já tô com saudade ✨🦋✨; 746680; 8192; ; ; https://www.instagram.com/p/CGhvzY1jE1Y/
2020-10-16 16:37:10+00:00; iza; Muito orgulhosa em anunciar pra vocês que eu sou a nova diretora criativa da Olympikus 💙 Que sonho realizado! É maravilhoso ver os lugares que a musica me leva! Mal posso esperar pra mostrar pra vocês tudo que estamos preparando. Aguardem porque tem muita novidade incrível vindo aí! Muito obrigada família @olympikus, nossa parceria é linda!!!!; 145808; 1230; ; ; https://www.instagram.com/p/CGaU84bjspE/
