[2020-09-28 18:01:16+00:00; cristilobo; Carta de Paulo Brossard a Itamar Franco quando presidente, informando que iria se aposentar compulsóriamente no STF e esperava que o sucessor fosse melhor do ele. Outros tempos... https://t.co/eV3W05RN0h; 69; 57; 649; 5; https://twitter.com/cristilobo/status/1310640735406952450; None; None] 
[2020-09-28 17:52:54+00:00; cristilobo; Na disputa pela vaga para o STF corre por fora o advogado Admar Gonzaga. Ele recentemente se tornou “terrívelmente evangélico” e pode ser aquele que toma cerveja com Bolsonaro no fim de semana. Agora, está convidado para live com Crivella. Pauta completa.; 53; 49; 556; 8; https://twitter.com/cristilobo/status/1310638629564317696; None; None] 
[2020-09-20 19:23:59+00:00; cristilobo; Lembro-me dele falar isso, Mariazinha, que é como te chamavam. Ele, um grande brasileiro. https://t.co/ENUbtCEoK4; 26; 4; 146; 0; https://twitter.com/cristilobo/status/1307762448309587969; None; https://twitter.com/beltraomaria/status/1307736931191713795] 
[2020-09-19 22:33:26+00:00; cristilobo; Igual, igual! Mesma lindeza... https://t.co/37jo7LELHs; 28; 4; 188; 0; https://twitter.com/cristilobo/status/1307447737290493954; None; https://twitter.com/betepacheco_/status/1307141434387070977] 
[2020-09-19 22:31:42+00:00; cristilobo; Kkkkkkkk https://t.co/5fmTxkhVHC; 19; 2; 194; 1; https://twitter.com/cristilobo/status/1307447299799420934; None; https://twitter.com/beltraomaria/status/1307438114886111233] 
[2020-09-15 20:55:53+00:00; cristilobo; Oia... Vamos lá! Vamos falar também: Por que Bolsonaro desistiu do Renda Brasil e "agora é Bolsa-Família e ponto final?" . Acho que não tem dinheiro para justificar a mudança de nome do programa já conhecido da população. Seria trocar seis por meia dúzia? https://t.co/w5NizDq5fr; 53; 10; 118; 3; https://twitter.com/cristilobo/status/1305973636499726338; None; https://twitter.com/gcamarotti/status/1305972931827294208] 
[2020-09-15 13:17:39+00:00; cristilobo; A propósito, ele dá uma duríssima na equipe econômica. E diz que daria "cartão vermelho" a quem propusesse congelar aposentadoria, cortar auxílio para idosos e pobres com deficiência. "isso é um devaneio de alguém que está desconectado com a realidade", ele disse.; 98; 23; 502; 5; https://twitter.com/cristilobo/status/1305858317953175553; None; None] 
[2020-09-15 13:15:05+00:00; cristilobo; Bolsonaro muda a estratégia de marketing e diz que está proibido falar dentro do governo em Renda Brasil. "É Bolsa Família, e ponto final", ele disse. Antes, ele queria criar seu próprio programa social. Parece que desistiu - até porque, não tem como aumentar tanto o valor.; 79; 64; 786; 9; https://twitter.com/cristilobo/status/1305857673515147264; None; None] 
[2020-09-08 20:53:15+00:00; cristilobo; Vamos lá @gcamarottie @gabeiracombr  para o Edição das Seis na @Globonews com o @CesarTralli ? Tem assunto de sobra. Você não pode perder. Até já!; 61; 5; 82; 0; https://twitter.com/cristilobo/status/1303436258576863234; None; None] 
[2020-09-08 17:46:19+00:00; cristilobo; @movalente @GloboNews Olá! Respondi a você ontem por gentileza. Mas, pelo que vejo, este é seu trabalho. Forte abraço!; 7; 0; 1; 1; https://twitter.com/cristilobo/status/1303389217830166531; None; None] 
